,primary_term,permutation_1,permutation_2,permutation_3,permutation_4,permutation_5,permutation_6,permutation_7,permutation_8,permutation_9,permutation_10,permutation_11,permutation_12,permutation_13,permutation_14,permutation_15,permutation_16,permutation_17,permutation_18,permutation_19,permutation_20,permutation_21,permutation_22
25,RING TYPE JOINT SLIP ON FLANGE,RING TYPE JOINT SLIP ON FLG,RING TYPE JOINT SLIP ON,RING TYPE JOINT SO FLANGE,RING TYPE JOINT SO FLG,RING TYPE JOINT SO ,RTJ SLIP ON FLANGE,RTJ SLIP ON FLG,RTJ SLIP ON,RTJ SO FLANGE,RTJ SO FLG,RTJ SO,,,,,,,,,,,
26,SOCKET WELD FLANGE,SOCKETWELD FLANGE,SOCKET WELD,SOCKET WLD,SKT WELD,SKT WLD,SW,S/W,SOCKET WELD FLG,SOCKET WLD FLG,SKT WELD FLG,SKT WLD FLG,SW FLG,S/W FLG,SOCKET WELD FLANGE,SOCKET WLD FLANGE,SKT WELD FLANGE,SKT WLD FLANGE,SW FLANGE,S/W FLANGE,,,
27,RAISED FACE SOCKET WELD FLANGE,RAISED FACE SOCKET WELD FLG,RAISED FACE SOCKET WELD,RAISED FACE SW FLANGE,RAISED FACE SW FLG,RAISED FACE SW ,RF SOCKET WELD FLANGE,RF SOCKET WELD FLG,RF SOCKET WELD,RF SW FLANGE,RF SW FLG,RF SW,,,,,,,,,,,
28,FLAT FACE SOCKET WELD FLANGE,FLAT FACE SOCKET WELD FLG,FLAT FACE SOCKET WELD,FLAT FACE SW FLANGE,FLAT FACE SW FLG,FLAT FACE SW ,FF SOCKET WELD FLANGE,FF SOCKET WELD FLG,FF SOCKET WELD,FF SW FLANGE,FF SW FLG,FF SW,,,,,,,,,,,
29,RING TYPE JOINT SOCKET WELD FLANGE,RING TYPE JOINT SOCKET WELD FLG,RING TYPE JOINT SOCKET WELD,RING TYPE JOINT SW FLANGE,RING TYPE JOINT SW FLG,RING TYPE JOINT SW ,RTJ SOCKET WELD FLANGE,RTJ SOCKET WELD FLG,RTJ SOCKET WELD,RTJ SW FLANGE,RTJ SW FLG,RTJ SW,,,,,,,,,,,
30,BLIND FLANGE,BLIND,BLND,BL,BLIND FLG,BLND FLG,BL FLG,BLIND FLANGE,BLND FLANGE,BL FLANGE,,,,,,,,,,,,,
31,RAISED FACE BLIND FLANGE,RAISED FACE BLIND FLG,RAISED FACE BLIND,RAISED FACE BL FLANGE,RAISED FACE BL FLG,RAISED FACE BL ,RF BLIND FLANGE,RF BLIND FLG,RF BLIND,RF BL FLANGE,RF BL FLG,RF BL,,,,,,,,,,,
32,FLAT FACE BLIND FLANGE,FLAT FACE BLIND FLG,FLAT FACE BLIND,FLAT FACE BL FLANGE,FLAT FACE BL FLG,FLAT FACE BL ,FF BLIND FLANGE,FF BLIND FLG,FF BLIND,FF BL FLANGE,FF BL FLG,FF BL,,,,,,,,,,,
33,RING TYPE JOINT BLIND FLANGE,RING TYPE JOINT BLIND FLG,RING TYPE JOINT BLIND,RING TYPE JOINT BL FLANGE,RING TYPE JOINT BL FLG,RING TYPE JOINT BL ,RTJ BLIND FLANGE,RTJ BLIND FLG,RTJ BLIND,RTJ BL FLANGE,RTJ BL FLG,RTJ BL,,,,,,,,,,,
34,THREADED FLANGE,THREADED FLANGE,THD FLANGE,,,,,,,,,,,,,,,,,,,,
35,RAISED FACE THREADED FLANGE,RAISED FACE THREADED FLG,RAISED FACE THREADED,RAISED FACE THD FLANGE,RAISED FACE THD FLG,RAISED FACE THD ,RF THREADED FLANGE,RF THREADED FLG,RF THREADED,RF THD FLANGE,RF THD FLG,RF THD,,,,,,,,,,,
36,FLAT FACE THREADED FLANGE,FLAT FACE THREADED FLG,FLAT FACE THREADED,FLAT FACE THD FLANGE,FLAT FACE THD FLG,FLAT FACE THD ,FF THREADED FLANGE,FF THREADED FLG,FF THREADED,FF THD FLANGE,FF THD FLG,FF THD,,,,,,,,,,,
37,RING TYPE JOINT THREADED FLANGE,RING TYPE JOINT THREADED FLG,RING TYPE JOINT THREADED,RING TYPE JOINT THD FLANGE,RING TYPE JOINT THD FLG,RING TYPE JOINT THD ,RTJ THREADED FLANGE,RTJ THREADED FLG,RTJ THREADED,RTJ THD FLANGE,RTJ THD FLG,RTJ THD,,,,,,,,,,,
38,LAP JOINT FLANGE,LJ,LAP JOINT,,,,,,,,,,,,,,,,,,,,
39,RING TYPE JOINT FLANGE,RTJ FLANGE,RTJ FLG,RTJF,,,,,,,,,,,,,,,,,,,
40,RAISED FACE FLANGE,RAISED FACE FLANGE,RAISED FACE FLG,RF FLANGE,RF FLG,RF FL,,,,,,,,,,,,,,,,,
41,SPIRAL WOUND GASKET,SWG,SPWD,SWGSK,SPIRALW,SPW GSK,SPWG,SPIRG,SPRGSK,SWDG,SPWND,,,,,,,,,,,,
42,RING GASKET,RNG GSK,RGK,RNGGSK,,,,,,,,,,,,,,,,,,,
43,FULL FACE GASKET,FFGSK,FF GSK,FULL GSKT,,,,,,,,,,,,,,,,,,,
44,FLANGE INSULATION GASKET,INSUL GSK,INSGSK,INS GSK,,,,,,,,,,,,,,,,,,,
45,HEX BOLT,HEXB,HXBLT,HEXBL,HX BLT,HXBT,HEXBT,HBOLT,HXBOL,HXBOLT,HEX BT,H.B.,H-B,HB.,HEX.B.,H.BT.,HB.B.,HX.,H-BT,HEX-B,HEX HEAD,,
46,UNION HEAD, UNION H,U H,,,,,,,,,,,,,,,,,,,,
47,STUD BOLT,STDB,STDBT,STUDB,STD BLT,STDBT,STUDBT,SBOLT,STBOL,STBOLT,STD BLT,STUD BLT,S BOLT,STUDBOLT,,,,,,,,,
48,EYE BOLT,EYE B,EYEB,EYBT,EYEBL,EY BLT,EYBT,EYEBT,EBOLT,EYBOL,EYBOLT,EYE BT,E/B,,,,,,,,,,
49,U BOLT,UBLT,UBOLT,UBT,U BLT,UBLT,UBLT,UBOL,UBLTS,UBOLT,U-BOLT,,,,,,,,,,,,
50,ANCHOR BOLT,ANCB,ANBT,ANCHB,ANC BLT,ANCBT,ANCHBT,ABOLT,ANBOL,ANBOLT,ANCORBOLT,,,,,,,,,,,,
51,SOCKOLET,SOL,S-O-L,S O L,SOCKET WELD OUTLET,SW OUTLET,S.O.,SOCK O LET,,,,,,,,,,,,,,,
52,WELDOLET,WOL,W-O-L,W O L,WELDED OUTLET,WLD OUTLET,WELD O LET,,,,,,,,,,,,,,,,
53,THREADOLET,TOL,T-O-L,T O L,THREADED OUTLET,THD OUTLET,THREAD O LET,,,,,,,,,,,,,,,,
54,ELBOLET,EOL,E-O-L,E O L,ELBOW OUTLET,,,,,,,,,,,,,,,,,,
55,BALL VALVE,BV,B VLV,BALV,BALL,BALL VLV,,,,,,,,,,,,,,,,,
56,GATE VALVE,GV,G VLV,GATE,GATE VLV,,,,,,,,,,,,,,,,,,
57,GLOBE VALVE,GLV,GL VLV,GLOBE VLV,,,,,,,,,,,,,,,,,,,
58,CHECK VALVE,CV,CH VLV,CHCK VALVE,CHECK,,,,,,,,,,,,,,,,,,
59,BUTTERFLY VALVE,BFV,BF VLV,BFLY VLV,BFLY,B.F.V.,BF-V,,,,,,,,,,,,,,,,
60,SANITARY BALL VALVE,SBV,S-BV,SANBV,SANBALL,BV-SAN,SAN-BALL,SAN BALL VLV,S.B.V.,SAN-BV,SANITARY BV,SAN B VLV,,,,,,,,,,,
61,HIGH PRESSURE BUTTERFLY VALVE,HPBFV,HP-BFV,HPBFLY,BFVHP,BFV-HP,HP-BTRFLY,HP BFLY VLV,H.P.B.V.,HP-BFLY,HP BUTTERFLY,HP B VLV,HP BTRFLY,HP/BFV,HPBV,,,,,,,,
62,CRYOGENIC GATE VALVE,CRYOGV,CRYO-GV,CRYOGATE,GV-CRYO,CRYOG,CRYO GATE VLV,C.G.V.,CRYO-G,CRYO GATE,CRY G VLV,CRY/GV,CGV,CRY GV,C/GV,CRYV,,,,,,,
63,EXTENDED BODY GATE VALVE,EBGV,EXT-GV,EXTGV,GV-EXT,EXTBODY,EXT BODY GV,E.B.G.V.,EXT-BODY,EXT GATE,EXT B VLV,EB/GV,,,,,,,,,,,
64,HOSE BIBB VALVE,HBV,HOSE BIB VLV,H.B.V.,H-B-V,,,,,,,,,,,,,,,,,,
65,NEEDLE VALVE,NDL,NV,NDLV,NEE-V,NDLVLV,NDL VLV,N.V.,N-V,NDL VL,NDL.,N/V,NDL/V,NE-V,,,,,,,,,
66,NON-RETURN VALVE,NRV,NR,NRVALVE,NON-RET,N.R.V.,N-R-V,NON-RET VLV,,,,,,,,,,,,,,,
67,11 1/4 DEG ELBOW,11 1/4 ELBOW,11 1/4 ELL,11 1/4° ELBOW,11 1/4° ELL,,,,,,,,,,,,,,,,,,
68,22 1/2 DEG 3R ELBOW,22 1/2 ELBOW 3R,22 1/2 3R ELL,22 1/2 ELL 3R,22 1/2° ELBOW 3R,22 1/2° 3R ELL,22 1/2° ELL 3R,,,,,,,,,,,,,,,,
69,22 1/2 DEG ELBOW,22 1/2 ELBOW,22 1/2 ELL,22 1/2° ELBOW,22 1/2° ELL,,,,,,,,,,,,,,,,,,
70,30 DEG 3R ELBOW,30 ELBOW 3R,30 3R ELL,30 ELL 3R,30° ELBOW 3R,30° 3R ELL,30° ELL 3R,,,,,,,,,,,,,,,,
71,30 DEG ELBOW,30 ELBOW,30 ELL,30° ELBOW,30° ELL,,,,,,,,,,,,,,,,,,
72,3R 45 DEG ELBOW,3R 45,3R 45 ELL,45 ELL 3R,45 DEG ELL 3R,ELL 3R 45,3R 45°,3R 45° ELL,45° ELL 3R,ELL 3R 45°,,,,,,,,,,,,,
73,3R 90 DEG ELBOW,3R 90,3R 90 ELL,3R 90 DEG ELL,,,,,,,,,,,,,,,,,,,
74,5R 45 DEG ELBOW,5R 45 ELL,5R 45° ELL,5R 45 ELBOW,5R 45° ELBOW,ELBOW 5R 45,ELL 5R 45,,,,,,,,,,,,,,,,
75,5R 90 DEG ELBOW,5R 90 ELL,5R 90° ELL,5R 90 ELBOW,5R 90° ELBOW,ELBOW 5R 90,ELL 5R 90,,,,,,,,,,,,,,,,
76,60 DEG 3R ELBOW,3R 60 ELL,3R 60° ELL,3R 60 ELBOW,3R 60° ELBOW,ELBOW 3R 60,ELL 3R 60,,,,,,,,,,,,,,,,
77,60 DEG ELBOW,60 ELL,60° ELL,60 ELBOW,60° ELBOW,ELBOW 60,ELL 60,,,,,,,,,,,,,,,,
78,ADAPTER,ADPT,,,,,,,,,,,,,,,,,,,,,
79,AFR BACKUP FLANGE,DIBU,DUCTILE IRON BACKUP FLANGE,AFR BU FL,AFR BACK UP,AFR B/U,AFR BU,AFR B U,AFR BCK UP,,,,,,,,,,,,,,
80,BACK FERRULE,BK FER,BACK FER,,,,,,,,,,,,,,,,,,,,
81,BOSS,,,,,,,,,,,,,,,,,,,,,,
82,BOSS WITH LIP,BOSS W LIP,BOSS W/L,,,,,,,,,,,,,,,,,,,,
83,BULKHEAD ADAPTER,BLKHD ADPT,BKHD ADP,,,,,,,,,,,,,,,,,,,,
84,BULKHEAD CONNECTOR,BLKHD CONN,BKHD CON,,,,,,,,,,,,,,,,,,,,
85,BULKHEAD UNION,BKHD UN,BLKHD UN,BLKD UN,BLK UN,,,,,,,,,,,,,,,,,,
86,BULKHEAD UNION ELBOW,BL PLG HH,BULL PLG HEX,BP HH,B PLUG HEX,B PLG HX,BPLG HX,BLP HH,,,,,,,,,,,,,,,
87,BULL PLUG,BL PLG,B PLUG,B-PLG,BL-PLG,BULL PLG,,,,,,,,,,,,,,,,,
88,BULL PLUG HEX HEAD,BPHH,B Plug HH,B Plug Hex,BULL PLG HH,,,,,,,,,,,,,,,,,,
89,BULL PLUG ROUND HEAD,RND HD BULL PLUG,BL PLG RH,BULL PLG RND,BP RH,B PLUG RND,BULLP RH,B PLG RD,BL-P RH,BPLG RD,,,,,,,,,,,,,
90,CONCENTRIC SWAGE,CONC SWAGE,CONC SWG,CON SWG,CONSWG,CNSWG,,,,,,,,,,,,,,,,,
91,CONNECTOR,CONN,,,,,,,,,,,,,,,,,,,,,
92,CUSHION CROSS,CUSH X,CUSH CROSS,CSH X,C CROSS,CUSHX,CSHX,CUSHCR,,,,,,,,,,,,,,,
93,CUSHION TEE,CUSH T,CSH T,CUSH TEE,C TEE,CUSH T,,,,,,,,,,,,,,,,,
94,ECCENTRIC SWAGE,ECC SWAGE,ECC SWG,ECC SW,ECCSWG,ECSWG,ECC-S,ECC-SWG,,,,,,,,,,,,,,,
95,ELBOW,ELL,ELBW,ELB,ELBW,LBW,,,,,,,,,,,,,,,,,
96,ELBOW POSITIONABLE,EL POS,ELB POS,ELBW POS,ELP,,,,,,,,,,,,,,,,,,
97,FERRULE SET,FER SET,FER-SET,FERSET,FERR SET,F SET,F-SET,,,,,,,,,,,,,,,,
98,FLUSH BUSHING,FL BSH,FLUSH BUS,FLSH BUSH,FL-BSH,F BUSH,FLUSHBSH,FLBSH,FL-B,FLSH BSH,FLUSHB,F/F BSH,FL BSG,,,,,,,,,,
99,FRONT FERRULE,FT FER,FRNT FER,FRT FERRULE,FR FER,F FERRULE,,,,,,,,,,,,,,,,,
100,HEX BUSHING,HX BSH,HEX BUS,HX BUSH,HEX-BSH,H BUSH,HEXBSH,HXBSH,HX-B,HX BSG,HEXB,H/H BSH,HEX BSG,HX/B,,,,,,,,,
101,LATROLET,LOL,L-O-L,L O L,LATERAL OUTLET,LAT,LATRO LET,LTLT,LAT LET,LATROLT,LATLT,L LET,,,,,,,,,,,
102,LUGNUT UNION,LN UN,LUG UN,LUG-UN,,,,,,,,,,,,,,,,,,,
103,NIPPLE,NIP,NPL,NIPL,NPPL,,,,,,,,,,,,,,,,,,
104,NUT,NUT,,,,,,,,,,,,,,,,,,,,,
105,PLUG,PLG,PL G,PG,,,,,,,,,,,,,,,,,,,
106,PLUG HEX HEAD,PLUG HEXAGONAL HEAD, HEX HEAD PLUG,HEX HD PLUG,PLG HH,PLUG HX,PLG HEX HD,PLG-HX,P HEX,PLUGHEX,PLGHH,PLG-H,PLUG HX HD,PLG-HH,HEX PLG,PLUGHH,HEXPLG,PLGHX,,,,,
107,PLUG ROUND HEAD,ROUND HEAD PLUG,RND HD PLUG,PLG RH,PLUG RND,PLG RND HD,PLG-RD,RNDPLG,RND PLG,,,,,,,,,,,,,,
108,PLUG SQUARE HEAD,SQUARE HEAD PLUG,SQ HEAD PLUG,SQ HD PLUG,PLG SQ,PLUG SQ,PLG SQ HD,PLG-SQ,P SQ,PLUGSQ,PLGSQHD,PSQ,,,,,,,,,,,
109,PORT CONNECTOR,PORT CON,PRT CONN,PRTCON,PORT CONN,,,,,,,,,,,,,,,,,,
110,PRESSURE TUBING,PRES TBG,PRESS TUB,PR TBG,P TUBE,PRTBG,P-TBG,,,,,,,,,,,,,,,,
111,QUICKLEG 90,QL 90,QUICK LEG,Q LEG 90,QLEG90,QL-90,Q-90,QLEG,QL90,Q90L,QKL90,Q-LEG,QL 90°,QUICK 90,Q-90,QL-9O,Q L 90,,,,,,
112,RAISED FACE GASKET,RF GSK,RF-GSK,RFGSK,RFGAS,RF-GAS,RFACE,RFG,RFGSKT,RF GASKET,R F GSK,R-F-G,R/F GSK,RF-G,RF SEAL,R F G,R-F SEAL,R/F/G,RFG,R/FG,RF/G,R.F.G,
113,REDUCING INSERT,RED INS,RED INSERT,RED-INS,R INSERT,,,,,,,,,,,,,,,,,,
114,REDUCING UNION,RED UN,RED UNION,REDUC UN,RED-UN,R UNION,REDUN,RED UN,,,,,,,,,,,,,,,
115,REDUCING UNION TEE,RED UN T,RED UN TEE,RED-UN-T,REDUNT,,,,,,,,,,,,,,,,,,
116,RAISED FACE WELD NECK ORIFICE SINGLE SET,RF WN ORIF 1 SET,RF WN OR 1,RF WN ORIF 1,,,,,,,,,,,,,,,,,,,
117,ROCKWOOD UNION TYPE 601,RW 601,ROCK 601,ROCKWD 601,ROCK 601,RW UN 601,ROCK UN 601,RW TYPE 601,,,,,,,,,,,,,,,
118,ROCKWOOD UNION TYPE 602,RW 602,RW-602,RKW602,RW-602,RKW602,RW UN 602,ROCK UN 602,RW TYPE 602,,,,,,,,,,,,,,
119,RING TYPE JOINT OCTAGONAL,RTJ OCT,RTJ OCTA,RTJ-OCT,R T J OCT,RTJOCT,R-T-J-O,RTJOC,R/T/J OCT,,,,,,,,,,,,,,
120,RING TYPE JOINT OVAL,RTJO,RINGO,RTJOV,RTJ O,RTJ OVAL RING,,,,,,,,,,,,,,,,,
121,RUN TEE,RUN T,RN TEE,R.T.,RUNTEE,RTEE,,,,,,,,,,,,,,,,,
122,Slip-On/Snap Engagement Backup Flange,SEBF,SE BACK UP,SE BAKUP FLG,,,,,,,,,,,,,,,,,,,
123,SPIRAL WOUND NO IR,SWNI,SW NO INNER,SPRL WND NO IR,SPIRAL WOUND NO INNER RING,,,,,,,,,,,,,,,,,,
124,SPIRAL WOUND IR,SPRIAL WOUND WITH INNER RING,SW WITH INNER,SPRL WND IR,SWIR,SWWIR,SWITHRING,SW WITH IR,,,,,,,,,,,,,,,
125,STREET 45,ST45,STR 45,STRT 45,STR45,S45,ST45EL,S.T.45,ST-45,45ST,45 STR,,,,,,,,,,,,
126,STREET 90,ST90,STR 90,STRT 90,STR90,S.T.90,,,,,,,,,,,,,,,,,
127,STUB END,MSS TYPE A STUB END,MSS TYPE B STUB END,MSS TYPE C STUB END,ASA TYPE A STUB END,ASA TYPE B STUB END,ASA TYPE C STUB END,MSS TYPE A SE,MSS TYPE B SE,MSS TYPE C SE,ASA TYPE A SE,ASA TYPE B SE,ASA TYPE C SE,MSS TP A SE,MSS TP B SE,MSS TP C SE,ASA TP A SE,ASA TP B SE,ASA TP C SE,STUB E,STUBEND,STB END,STUB
128,THERMOCOUPLE CONNECTOR,TC CONN,THERMO CONN,,,,,,,,,,,,,,,,,,,,
129,TUBE INSERT,TUBE INS,TUB INSERT,,,,,,,,,,,,,,,,,,,,
130,UNION CROSS,UNCR,UNICR,UCROS,UN X,UNI CROSS,U.C.,UN-CR,UNC.,U CROSS,,,,,,,,,,,,,
131,UNION ELBOW,U ELBOW,UNION ELL,U ELL,,,,,,,,,,,,,,,,,,,
132,UNION TEE,UNION T,UNION-T,UNTEE,UN-TEE,,,,,,,,,,,,,,,,,,
133,VENT PROTECTOR,VNT PROT,VENT-PROT,VENTPROT,VENT-P,VENTPROTECT,VENT PROT,VNT-P,,,,,,,,,,,,,,,
134,WELD SADDLE,W SDL,WELD-SAD,WELDSAD,WLD-SDL,WLDSADDLE,WELD SAD,WELD SADLE,,,,,,,,,,,,,,,
135,WYE,Y PIECE,,,,,,,,,,,,,,,,,,,,,
136,LATERAL,,,,,,,,,,,,,,,,,,,,,,
137,LOW PRESSURE TUBING,LOW PRES TUBE,LO PRESS TUBE,L/P-T,LOW-P TUBE,,,,,,,,,,,,,,,,,,
138,HIGH PRESSURE TUBING,HIGH PRES TUBE,HI PRESS TUBE,H/P-T,HIGH-P TUBE,,,,,,,,,,,,,,,,,,
139,MEDIUM PRESSURE TUBING,MED PRES TUBE,MED PRESS TUBE,M/P-T,MED-P TUBE,,,,,,,,,,,,,,,,,,
140,VICTAULIC JOINT,VIC JT,VIC CPLG,V-I-C,VIC.,VIC JNT,VICJ,VJNT,,,,,,,,,,,,,,,
141,PLUG VALVE,PV,P VLV,PLUGV,PLUG VLV,PLG VALVE,PG VLV,P VALVE,,,,,,,,,,,,,,,
142,DIAPHRAGM VALVE,DV,DIAPH VLV,DIAPHRM VALVE,D VLV,DIAPH V,,,,,,,,,,,,,,,,,
143,PINCH VALVE,PN VLV,PINCH VLV,,,,,,,,,,,,,,,,,,,,
144,RELIEF VALVE,RELIEF VLV,R VLV,,,,,,,,,,,,,,,,,,,,
145,SAFETY VALVE,SAFETY VLV,S VLV,,,,,,,,,,,,,,,,,,,,
146,ANGLE VALVE,ANGLE VLV,A VLV,,,,,,,,,,,,,,,,,,,,
147,CONTROL VALVE,CONTROL VLV,CNTRL VALVE,,,,,,,,,,,,,,,,,,,,
148,SOLENOID VALVE,SOL VLV,S VLV,SOLV,SLND VALVE,,,,,,,,,,,,,,,,,,
149,TRUNNION BALL VALVE,TBV,TB VLV,TRUNBV,TRUN BALL,TRUN BALL VLV,T.B.V.,TB-V,TBV.,TRUN B V,TB VV,T/B/V,TRUN BV,,,,,,,,,,
150,FLOATING BALL VALVE,FBV,FLT BALL VLV,FLOAT VALVE,F/B/V,FB VLV,F.B.V.,FLOATINGV,FLTBV,FB-V,FLT B V,FLT BALL,FBV.,,,,,,,,,,
151,KNIFE GATE VALVE,KGV,KNF GT VLV,KNIF VALVE,KG VLV,K.G.V.,KNIFEV,KNIFEV,KG-V,KNIFE G V,KNIFE GT,,,,,,,,,,,,
152,DOUBLE BLOCK BLEED,DBB,DB&B VLV,DBL BLK VALVE,DB VLV,DBBV,DBL BLK,D.B.B.,DBB-V,DBB.,DBLBLKV,DBL B V,DB VV,,,,,,,,,,
153,DUAL PLATE CHECK VALVE,DPCV,DL PLT VLV,DP VLV,D.P.C.V.,DL PLT V,DL PLT,,,,,,,,,,,,,,,,
154,HIGH PERFORMANCE BFV,HPBV,HP VLV,HI PERF VLV,H.P.B.V.,HPB-V,H/P/B/V,,,,,,,,,,,,,,,,
155,SWING CHECK VALVE,SCV,SC VLV,SWGCHKV,SWING CHK,SWING CHK VLV,S.C.V.,SC-V,SCV.,SWG CHK,SCVALVE,SWING-CHK,SWNGVLV,,,,,,,,,,
156,BALL CHECK VALVE,BCV,BALL CHK VLV,BC VLV,BALCHKV,BALL CHK,BL CHK,BCVALVE,BALL-CHK,BALVLV,,,,,,,,,,,,,
157,PISTON CHECK VALVE,PST CHK,PCVALVE,PISTON-CHK,PSTVLV,PSTN CHK VLV,P.C.V.,PC-V,PCV.,PCV,PC VLV,PSTCHKV,PISTON CHK,,,,,,,,,,
158,FITTING,fitting, Fitting,,,,,,,,,,,,,,,,,,,,
159,ERW PIPE,ERW,,,,,,,,,,,,,,,,,,,,,
160,SEAMLESS PIPE,SEAMLESS,,,,,,,,,,,,,,,,,,,,,
161,PIPE WELDED,WELDED,WELDED PIPE,WELDED_PIPE,,,,,,,,,,,,,,,,,,,
162,PIPE SMLS,P-SMLS,PSMLS,SMLS,SMLS PIPE,,,,,,,,,,,,,,,,,,
163,REDUCING BUSHING,RB,REDUCING B,,,,,,,,,,,,,,,,,,,,
164,UNION TAIL, UT, U TAIL, U-TAIL,,,,,,,,,,,,,,,,,,,
165,EXPANSION JOINT,EXP JNT,EXP JOINT,EXP-JNT,EJ,EXPAN JT,EXPANSION JT,EXP. JOINT,EXPAN JOINT,E.J.,EXP-JOINT,,,,,,,,,,,,
