primary_term,permutation_1,permutation_2,permutation_3,permutation_4,permutation_5,permutation_6,permutation_7,permutation_8,permutation_9,permutation_10,permutation_11,permutation_12,permutation_13,permutation_14,permutation_15,permutation_16,permutation_17,permutation_18,permutation_19,permutation_20,permutation_21,permutation_22,permutation_23,permutation_24,permutation_25,permutation_26,permutation_27,permutation_28,permutation_29,permutation_30,permutation_31,permutation_32,permutation_33,permutation_34,permutation_35,permutation_36,permutation_37
MALLEABLE IRON,MI,M.I.,MALL IR,M-IRON,MALL EABLE IRON,MALLE IRON,MALLE-IRON,M.IR ON,MALLABLE IRON,MAL IRON,MALLEBLE IRON,MALLIBLE IRON,M-IR,M.I.,MALL IR.,M-IRON.,M IRON,MI UNIT,MALL IR PIECE,MALLEABLE ITEM,,,,,,,,,,,,,,,,,
STAINLESS SPECIAL GRADE,SSGR,S.S. GR,STAIN SPEC GRADE,SS-GR,SSGR,S.S. GR,STAIN SPEC GR,SS-GR,STAINLESS SPEC GRADE,S STAINLESS GRADE,SS SPEC GRADE,S.S. SPECIAL GRADE,STAINLESS SPEC GR,S STAINLESS GR,SS SPEC GR,S.S. SPECIAL GR,STAINLESS SPCL GR,STAINLESS SPEC GR,SS SPECL GRADE,STNLESS SPCL GRADE,STAINLESS SPEC GR,STAINLESS GRD,SS SPECL GR,STNLESS SPCL GR,S-SGR,S.SGR,SS-GRD,S.S.-GR,S-SGR,S.SGR,SS-GRD,S.S.-GR,SS SPECIAL GRADE,SS SPECIAL GR,STAINLESS GRADE,STNLESS SPEC PIECE,S SPEC GRADE
TITANIUM,TI,T.I.,TITAN,TIUM,TIT ANI UM,TITAN IUM,TI TANIUM,T.I.TANIUM,TITANIUMM,TITANIUN,TITANUM,TITINIUM,T-UM,T.I.,TI-METAL,TIUM.,TI METAL,TITANIUM UNIT,TITAN PIECE,TI ITEM,,,,,,,,,,,,,,,,,
ZIRCONIUM,ZR,Z.R.,ZIRC,ZRNIUM,ZIR CONIUM,ZIRCON IUM,ZR CONIUM,Z.R.CONIUM,ZIRCUNIUM,ZIRCONUM,ZIRCONIUN,ZIRKONIUM,Z-CM,Z.R.,ZR-METAL,ZIRC.,ZR METAL,ZIRCONIUM UNIT,ZIRC PIECE,ZR ITEM,,,,,,,,,,,,,,,,,
HIGH-DENSITY POLYETHYLENE,HDPE,HD PE,HIDPE,HI-DEN PE,HD POLY,HIGH DENSITY PE,H.D.P.E.,H-D-P-E,HDPE.,PE-HD,HI DENSITY PE,HIGHDENSITY PE,HI-DENSTY PE,HDENSE PE,HI DEN POLY,H/DPE,HD/PE,HD-P,H-PE,PE/HD,HIGH DENSITY POLY,HDPE PLASTIC,HIGH DENS PE,HD POLYETH,DENSITY PE,,,,,,,,,,,,
LOW TEMPERATURE CARBON STEEL,LTCS,LT CS,LTCARB,LT CRBN,LOW T,LT-STEEL,LOW TEMP CS,L.T.C.S.,L-T-C-S,LTCS.,LT C STL,LOW T-CS,LO TEMP C/S,LOWTEMP CS,LO-TEMP CS,LOW T CARBON,LTEMP CS,L TEMP CS,LT/CS,L/TCS,LT-C,L-CS,LTC/S,L-T-S,LT CARB STL,LOW T CS,LO TEMP STEEL,LOW T C/S,LT CARBON,LOW TEMP CARB,,,,,,,
POLYVINYL CHLORIDE,PVC,P.V.C.,PVCH,PV-C,PVC-U,PVC-M,POLY VINYL,PV CHLORIDE,P-V-C,PVC.,POLYVIYL,POLYVNYL,POLY V C,POLY CHL,PVCC,P/VC,PV/C,P-V,P/V,PVC1,UNPVC,VINYL,PVC PLASTIC,POLY VC,VINYL CHLOR,TYPE 1 PVC,UNPLAST PVC,,,,,,,,,,
WELDABLE HIGH YIELD,WHY,W.H.Y.,W H Y,WH-Y,WLD HY,WELD HIGH Y,WELD HY,W-H-Y,WHY.,WHYLD,WELDABL HY,WELDBLE HY,WELD H YIELD,WELD H Y,WELD-HI-Y,W/HY,WH/Y,W-Y,W/H-Y,WHY/,WELD HI YIELD,HIGH YIELD WELD,WELDABLE HY,HI YIELD WELD,WELDABLE H/Y,,,,,,,,,,,,
LOW TEMPERATURE STAINLESS STEEL,LOW_TEMPERATURE_STEEL,LTSS,LT SS,LT S/S,LT STAIN,LOW TEMP SS,L.T.S.S.,L-T-S-S,LTSS.,LO TEMP S/S,LOWTEMP SS,LO-TEMP SS,LOW T STAIN,LT/SS,L/TSS,LT-S,L-SS,LT STNLS,LOW T SS,LO TEMP STEEL,LOW T S/S,,,,,,,,,,,,,,,,
NON ASBESTOS, NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASBESTOS, ABEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MALLEABLE, MALLEABLE IRON, MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTFE,POLYTETRAFLUOROETHYLENE,TEFLON,P.T.F.E.,PTF-E,POLY-TFE,PTFE MATERIAL,TEFLON MATERIAL,P-TFE,PT-FE,POLY TFE,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON,FE,IRN,I-RON,IR.,I R,IR-ON,I.R.,IORN,IRON METAL,IR METAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
GALVANIZED,GALV,G.I.,GI,GALV.,GAL,GALVANISED,G.I.PIPE,GALV STEEL,GALVD,GALVANIZE,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,304SS,304-SS,304 SS,304 STAINLESS,304 STAINLESS STEEL,TYPE 304,TYPE-304,304 S.S.,304.SS,SS304,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,316SS,316 SS,SS316,SS 316,TYPE 316,316 STAINLESS,316 S.S.,316 STAINLESS STEEL,GRADE 316,316-SS,,,,,,,,,,,,,,,,,,,,,,,,,,,
304 STAINLESS STEEL,304SS,304 SS,304 S.S.,304 STAIN STL,TYPE 304 SS,304 STAINLESS,304 STN STL,304 STNLS,304 S/S,304-SS,,,,,,,,,,,,,,,,,,,,,,,,,,,
316 STAINLESS STEEL,316SS,316 SS,316 S.S.,316 STAIN STL,316 STAINLESS,SS316,S.S.316,STAINLESS 316,TYPE 316 SS,GR 316 SS,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALUMINUM BRONZE,AL BRONZE,ALU BRNZ,AL-BRZ,ALUM-BRONZE,AL BRNZ,ALUMINUM-BRONZE,ALU-BRONZE,AL.BRONZE,ALBRZ,ALBRONZE,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAST STEEL,CS STL,CST STL,CAST-STL,C/STL,CAST STEL,CST STEEL,CAST-STEEL,CASTED STL,CASTED STEEL,C.S.T.,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIBERGLASS,FG,F.G.,FIBER GLASS,FIBER-GLASS,F G,FIBR GLAS,FBR GLS,FIBERGLAS,F-GLASS,FBERGLS,,,,,,,,,,,,,,,,,,,,,,,,,,,
GARLOCK,GRL,GAR,GRLK,GAR-LOCK,G LOCK,GARR LOCK,GARLOK,GARRLOK,G-LOCK,G.LOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAPHOIL,GRAPHOIL,GRAFOIL,GRAPH OIL,GRAF OIL,GRAPHOYL,GRA FOIL,GRAPH FOIL,GRAPHITE OIL,GRPHL,GRFOIL,,,,,,,,,,,,,,,,,,,,,,,,,,,
GYLON,GYL,GYLN,GY LON,GY-LON,G.Y.L.,GYLON SEAL,GYLON GASKET,GYLON MATERIAL,GYL-ON,G-LON,,,,,,,,,,,,,,,,,,,,,,,,,,,
HASTELLOY,HASTELLOY C276,HAST C276,HC276,H-C276,HASTC276,HASTELLOY-C276,HAST-C276,HASTELOY C276,HASTALLOY C276,C276,,,,,,,,,,,,,,,,,,,,,,,,,,,
L441,LINE 441,L-441,L.441,LINE-441,LN441,L 441,LINE.441,LN-441,LN.441,L_441,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOW RESIDUAL,LR,L.R.,LOW RES,LOW-RES,L RESIDUAL,LOW RESID,L-RES,LOW RSD,L.RESIDUAL,LOW-RESIDUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEOPRENE,NEO,NPRN,NEO-PRENE,N.P.,NEOPR,NEO PRENE,N-PRN,NEOPRN,NEOP,NPRNE,,,,,,,,,,,,,,,,,,,,,,,,,,,
NICKEL,NI,NCK,NICKL,N.I.,NIC,NICL,NK,NIKL,NICKLE,NI-METAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
NON-ASBESTOS,NON ASBESTOS,NON-ASB,NON ASB,N-ASB,NONASB,NON_ASBESTOS,NONASBESTOS,N.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFA,PERFLUOROALKOXY,P.F.A.,PER-F-A,PERF ALK,PERFLUORO ALKOXY,P F A,PERFLUORO-ALKOXY,PERF-ALKOXY,PERFLURO ALKOXY,PFALKOXY,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVDF,POLYVINYLIDENE FLUORIDE,PVDF,P.V.D.F.,PV-DF,POLY VDF,POLYVINYLIDENE-F,PVDF PLASTIC,KYNAR,FLUOROPOLYMER,PVF2,,,,,,,,,,,,,,,,,,,,,,,,,,,
RED RUBBER,RR,R.R.,RED RBR,RED-RUBBER,R RUBBER,RED RUBR,RD RUBBER,RED-RBR,RED RUBER,R-RBR,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIGMA,SIG,SIGM,SIG-MA,S.I.G.M.A.,SIGMA ALLOY,SIGMA STEEL,SG,SGM,SGMA,SIG. MA,,,,,,,,,,,,,,,,,,,,,,,,,,,
STEEL,STL,STEL,ST,S.T.,STELL,STE,ST.L.,STEE,STEELE,STL.,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEFLON,TF,TEF,TFLN,T.F.,TEF-LON,T-FLON,TEFL,TEFLN,TEFLOW,PTFE,,,,,,,,,,,,,,,,,,,,,,,,,,,
WCB_MONEL,WCB/MONEL,WCB-MONEL,MONEL/WCB,MONEL-WCB,WCB MONEL,MONEL WCB,W.C.B/MNL,WCB/MNL,MNL/WCB,W.C.B.-MONEL,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZINC,ZN,ZNC,ZNCC,Z.N.,Z-NC,ZN METAL,ZINC METAL,ZNC PIECE,ZINC ITEM,ZN-MTL,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZINC NON ASBESTOS,ZNA,Z.N.A.,ZINC N/A,ZINC-NA,Z-NA,ZINC NON-ASB,ZNC NON ASB,ZINC NON-ASBESTOS,ZN NON ASB,ZINC N-ASB,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLS,GLASS,GL,G.L.,GL-S,G.L.S.,GLAS,GLSS,G LASS,GL SS,GL-ASS,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYLON,NYL,NY,N.Y.,NYL.,NY-LON,NYLON MTL,NYLON MATERIAL,NY MATERIAL,NYLON PIECE,NYL UNIT,,,,,,,,,,,,,,,,,,,,,,,,,,,
316L,316 L,316-L,316.L,SS316L,SS 316L,SS-316L,SS.316L,STAINLESS 316L,TYPE 316L,GRADE 316L,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLUEGARD,BLU-GARD,BLUE GARD,BLU GARD,BLGRD,BL-GRD,BLUE-GARD,B.GARD,BLUEGRD,BLUGARD,B-GRD,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARBON STEEL/MONEL,CS/MNL,C.S./M.L.,CARB STL/MONL,CARBON-STL/MON-EL,C S/M NL,CARBON STEEL/MO NEL,C-STL/MON-EL,CARBONSTEEL/MONEL,C/S-M/L,CARB. STL/MONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHROME MOLYBDENUM,CR-MO,CRMOLY,CR MOLY,CHROME MOLY,CHROME-MOLY,CR-MOLYBDENUM,CHROME-MO,CR.MO,CHROME-MOLYB,CHRM-MOLY,,,,,,,,,,,,,,,,,,,,,,,,,,,
MILD_STEEL,MILD STEEL,MS,M.S.,MILD STL,MILD-STL,M STL,M STEEL,MLD STL,MILD-STEEL,M-STL,,,,,,,,,,,,,,,,,,,,,,,,,,,
WCB,W.C.B.,W C B,W-C-B,WCBODY,WC-BODY,W.C.BODY,WCARBONBODY,W.CARBON.BODY,CARBON WCB,WCB CARBON,,,,,,,,,,,,,,,,,,,,,,,,,,,
304_CARBON_STEEL,304 CARBON STEEL,304CS,304-CS,304 CS,304CARBSTL,304 CARB STL,304 C.S.,304-CARBON STEEL,304 CARBON-STL,304C.S.,,,,,,,,,,,,,,,,,,,,,,,,,,,
TFE,TEFLON,PTFE,T.F.E.,POLYTETRAFLUOROETHYLENE,TEFLON-F,TEF-F,TEFL,T.F.E,TFE TEFLON,FLUOROPOLYMER,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLUOROPLASTIC,FP,FLUORO,F-PLASTIC,FL-PLASTIC,FLUROPLSTC,F.P.,FLUOROPLSTC,FLR-PLSTC,FLUORO-P,FL-PLAST,,,,,,,,,,,,,,,,,,,,,,,,,,,
F22,F-22,F.22,F 22,F22 ALLOY,F22 STEEL,F-22 STEEL,F22-STL,F22STL,F22-ALLOY,F22ALLOY,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPVC,C-PVC,C.PVC,CHLORINATED PVC,CHLORINATED-PVC,CPVC PIPE,CHL PVC,CHLOR PVC,C/PVC,CHLOR.PVC,CHL-PVC,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEFZEL,TFZ,TFZL,TEF-ZEL,T.F.Z,TEFZ,TEFZEL PIECE,TEFZEL UNIT,TEF-Z,TFZL ITEM,TEFZEL MATERIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRASS STEEL,BS,B.S.,BR-STL,BRASS-STL,B STEEL,BRASS STL,BR STEEL,BRS STL,BRASS-STEEL,BR-STEEL,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHROMOLY,CRMLY,CHRMLY,CR-MOLY,CHROME-MOLY,CHROMEMOLY,CRM,CR-MLY,CHRM-MLY,CROM-MOLY,CHROME MOLY,,,,,,,,,,,,,,,,,,,,,,,,,,,
GALVANIZED STEEL,GALV STL,GS,G.S.,GALV-STL,GAL STL,GALVANIZED,GALV.,GALV STEEL,G STEEL,GALVNZD STL,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORGED IRON,FI,F.I.,FORG IRN,FORG-IRON,F I,FORGED IRON,FI IRON,FORGD IRN,FORGE IRON,FORJED IRON,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLOY_IRON,ALLOY IRON,AI,A.I.,ALY IRN,ALLOY-IRN,A I,ALLOYIRON,AI IRN,ALLOY FE,ALLOYED IRON,,,,,,,,,,,,,,,,,,,,,,,,,,,
NICKEL IRON,NI,N.I.,NICK IRN,NIC-IRON,N I,NICKEL-IRON,NI IRON,NICKLE IRON,NICL IRON,NI-FE,,,,,,,,,,,,,,,,,,,,,,,,,,,
3504,35-04,35.04,TYPE 3504,ALLOY 3504,UNS 3504,GRADE 3504,3504 ALLOY,3504 GRADE,3504 SPEC,SPEC 3504,,,,,,,,,,,,,,,,,,,,,,,,,,,
30B,30-B,30 B,30.B,THIRTY B,THIRTY-B,THIRTY_B,30 SERIES B,30B SERIES,SERIES 30B,TYPE 30B,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUTYL LINED,BTL LND,BUTYL-LINED,BUTYL LND,BUT LINED,BUTYL-LND,B.L.,BUTYL-L,BUTYL LINE,BTL-LINED,BUTYL LINING,,,,,,,,,,,,,,,,,,,,,,,,,,,
CD4,CD-4,C.D.4,CD 4,CD.4,C D 4,C-D-4,CD4MCU,CD4-MCU,CD4 MCU,CD.4.MCU,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPDM,ETHYLENE PROPYLENE DIENE MONOMER,EPD,E.P.D.M.,EP DIENE,EPDM RUBBER,EPD-M,EP-DM,ETHYLENE-PROPYLENE,EP RUBBER,EPDM ELASTOMER,,,,,,,,,,,,,,,,,,,,,,,,,,,
G10,G-10,G.10,G 10,G.1.0,GRADE 10,GRADE-10,GR10,GR-10,GRD10,GRADE_10,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOW CARBON CAST,LCC,L.C.C.,LOW CARB CAST,LOW-CARBON CAST,L C CAST,LOW CARBON CST,LO CARB CAST,L.C. CAST,LOW C CAST,LOW CARBN CAST,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOW CARBON STEEL,LCS,L.C.S.,LOW CARB STL,LOW-CARBON STL,L C S,LO-CARB STEEL,LOW C-STL,LOW CARBON-STL,L/C STEEL,LOW-C STL,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUBBER,RBR,RUBB,RUB,R.B.R.,RUBR,RBR MAT,RUBBER MAT,RUBBER MATERIAL,RUB PIECE,R-B-R,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRMLY F22,CHROME MOLY F22,CHROMOLY F22,CR-MO F22,CHROME-MOLY F22,CR MOLY F22,CRM F22,CHRM-MLY F22,CRMOLY F22,CR-MOLY F22,CHROME MOLYBDENUM F22,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOFT_IRON,SOFT IRON,SI,S.I.,SFT IRN,SOFT-IRON,S IRON,SOFT IRN,SI MTL,SFT-IRN,SOFT_IRN,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARBON BRONZE,CB,C.B.,CARB BRZ,CARBON-BRZ,C BZ,CARBON BRNZ,CB BRZ,CARB BRNZ,CARBON BZ,CARB-BRONZE,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUCTILE IRON/CARBON STEEL,DI/CS,D.I./C.S.,DUCT IRON/CARB STL,DUCTILE-IRON/CARBON-STEEL,DI/CARBON STEEL,DUCTILE IRON/CS,D.I/CARB STL,DUCT-IRON/C-STL,DI-CS,DUCTILE/CARBON,,,,,,,,,,,,,,,,,,,,,,,,,,,
F11,F-11,F.11,F 11,F11 ALLOY,F-11 STEEL,F11 STL,F11-STL,F.11.STL,GRADE F11,F11 GRADE,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCONEL 825,INC 825,INCL 825,INCONEL825,INC-825,IN-825,INCO 825,INCONEL GR 825,INCL GRADE 825,INCONNEL 825,INCONEL-825,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHROMOLY,CHROM,CRMLY,CR-MOLY,CHROME-MOLY,CHROM-MOLY,CR MOLY,CHROME MOLY,CHRM-MLY,CHROMOLOY,CROM-MOLY,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRMOLY,CR-MOLY,CHROME MOLY,CHROMOLY,CR MOLY,CHROME-MOLY,CRM,CR.MOLY,CROME MOLY,CHROM-MOLY,CR-MLY,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARBON STEEL STAINLESS STEEL,CS SS,C.S. S.S.,CARB STL STAIN STL,CARBON-STL SS STL,CS STAINLESS,CARBON STAINLESS,C-STL S-STL,CARBONSTEEL SS,CS STAIN STL,CARBON STL SS STL,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRONZE/STAINLESS STEEL,BRZ/SS,BRNZ/SS,BZ/SS,BRONZE/SS,BRONZE/S.S.,BRZ-SS,BRONZE-SS,BZ-STAINLESS,BRONZE/STAINLESS,BRZ/STAINLESS STL,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUPLEX,DPX,DPLX,DX,DUP,DUPLEX STL,DUPLX STEEL,DPX STL,D-PLEX,DUP-LEX,DUPLEX STEEL,,,,,,,,,,,,,,,,,,,,,,,,,,,
LF2,LF-2,L.F.2,LF 2,L-F-2,LF.2,LOW FORGE 2,LOW-FORGE-2,L.FORGE.2,LOW FORGED 2,LF TWO,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARBON STEEL/DUPLEX,CS/DUP,C.S./DPX,CARB STL/DUPLEX,CARBON-STL/DUP,CS-DUPLEX,CARBON STL/DPX,C-STL/DUPLEX,CARBONSTL/DUP,CS/DUPLEX STL,CARBON/DPX,,,,,,,,,,,,,,,,,,,,,,,,,,,
CF8M/F51,CF-8M/F-51,CF8M F51,CF-8M F-51,CF8M.F51,CF-8-M/F-51,CF.8M/F.51,CF8M-F51,CF8M_F51,CF8-M/F-51,CF.8.M/F.51,,,,,,,,,,,,,,,,,,,,,,,,,,,
825,INCOLOY 825,UNS N08825,ALLOY 825,INC 825,I-825,INCLY 825,INCO 825,NICKEL 825,825 ALLOY,NI-825,,,,,,,,,,,,,,,,,,,,,,,,,,,
2205,DUPLEX 2205,UNS S32205,DSS 2205,2205 DUPLEX,DUPLEX SS 2205,2205 SS,2205 STAINLESS,GRADE 2205,TYPE 2205,SS 2205,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLOY 20,ALLOY_20,AL20,A20,A-20,ALLOY-20,AL-20,A.20,ALY20,ALLOY TWENTY,AL.20,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLACK,BLK,BK,BLCK,B.K.,BL-K,B-LK,BLAK,BLK-MTL,BLACK METAL,BLACK FINISH,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLACK IRON,BI,B.I.,BLK IRON,BLACK-IRON,B IRON,BLK IRN,BLK-IRON,BLACKIRON,BLK I,B-IRN,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUNA,BN,BUNA-N,BUNA N,B-N,BNA,BUN,BUNAN,BUNA-RUBBER,BUNA RUBBER,BUNA-R,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUNA-N,BUNA N,BN,B-N,B.N.,BUNA,BUNAN,BUNA-NITRILE,NITRILE,NBR,BUNA RUBBER,,,,,,,,,,,,,,,,,,,,,,,,,,,
CERAMIC,CER,CERM,CRM,CRMC,CE RAM,CE-RAM,CERAM-IC,CERAMIK,CER PIECE,CERAM UNIT,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHROME IRON,CR IRON,CR-IRON,CR.IRON,CHROME-IRON,CHR IRON,CHROME FE,CR FE,CHROMIUM IRON,CR-FE,CHROM IRON,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHROME PLATED,CR PLATED,CHROME PLT,CR PLT,CR-PLATED,CHROME-PLATED,CHROME PLATE,CHR PLATED,CHROM PLT,CR.PLT,CHROME-PLT,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHROME-MOLY,CHROME MOLY,CR-MO,CR-MOLY,CHROMOLY,CHRM-MOLY,CHROME MOLYBDENUM,CR-MOLYBDENUM,CROM-MOLY,CHROM-MOLY,CHROMEMOLY,,,,,,,,,,,,,,,,,,,,,,,,,,,
