COPPER NICKEL,CU-NI,CUNI,CN,CU/N,COPPER NI CKEL,CU NICKEL,CU-NICKEL,C.NICKEL,COPPER NICHEL,CU-NIKEL,COPR NICKEL,COPER NICKLE,CU-NI,CU/N,C.N.,CUNI,CU NI METAL,CU-NI UNIT,COPPER NI PIECE,COPPER NICK ITEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUCTILE IRON,DI,D.I.,DUCT IR,D-IRON,DUC TILE IRON,DUCT IRON,DUCT-IRON,D.IR ON,DUC TILE IRON,DUC IRON,DUCTIL IRON,DUCTLE IRON,D-IR,D.I.,DUCT IR.,D-IRON.,D IRON,DI UNIT,DUCT IR PIECE,DUCTILE ITEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MALLEABLE IRON,MI,M.I.,MALL IR,M-IRON,MALL EABLE IRON,MALLE IRON,MALLE-IRON,M.IR ON,MALLABLE IRON,MAL IRON,MALLEBLE IRON,MALLIBLE IRON,M-IR,M.I.,MALL IR.,M-IRON.,M IRON,MI UNIT,MALL IR PIECE,MALLEABLE ITEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAINLESS SPECIAL GRADE,SSGR,S.S. GR,STAIN SPEC GRADE,SS-GR,SSGR,S.S. GR,STAIN SPEC GR,SS-GR,STAINLESS SPEC GRADE,S STAINLESS GRADE,SS SPEC GRADE,S.S. SPECIAL GRADE,STAINLESS SPEC GR,S STAINLESS GR,SS SPEC GR,S.S. SPECIAL GR,STAINLESS SPCL GR,STAINLESS SPEC GR,SS SPECL GRADE,STNLESS SPCL GRADE,STAINLESS SPEC GR,STAINLESS GRD,SS SPECL GR,STNLESS SPCL GR,S-SGR,S.SGR,SS-GRD,S.S.-GR,S-SGR,S.SGR,SS-GRD,S.S.-GR,SS SPECIAL GRADE,SS SPECIAL GR,STAINLESS GRADE,STNLESS SPEC PIECE,S SPEC GRADE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TITANIUM,TI,T.I.,TITAN,TIUM,TIT ANI UM,TITAN IUM,TI TANIUM,T.I.TANIUM,TITANIUMM,TITANIUN,TITANUM,TITINIUM,T-UM,T.I.,TI-METAL,TIUM.,TI METAL,TITANIUM UNIT,TITAN PIECE,TI ITEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZIRCONIUM,ZR,Z.R.,ZIRC,ZRNIUM,ZIR CONIUM,ZIRCON IUM,ZR CONIUM,Z.R.CONIUM,ZIRCUNIUM,ZIRCONUM,ZIRCONIUN,ZIRKONIUM,Z-CM,Z.R.,ZR-METAL,ZIRC.,ZR METAL,ZIRCONIUM UNIT,ZIRC PIECE,ZR ITEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIGH-DENSITY POLYETHYLENE,HDPE,HD PE,HIDPE,HI-DEN PE,HD POLY,HIGH DENSITY PE,H.D.P.E.,H-D-P-E,HDPE.,PE-HD,HI DENSITY PE,HIGHDENSITY PE,HI-DENSTY PE,HDENSE PE,HI DEN POLY,H/DPE,HD/PE,HD-P,H-PE,PE/HD,HIGH DENSITY POLY,HDPE PLASTIC,HIGH DENS PE,HD POLYETH,DENSITY PE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOW TEMPERATURE CARBON STEEL,LTCS,LT CS,LTCARB,LT CRBN,LOW T,LT-STEEL,LOW TEMP CS,L.T.C.S.,L-T-C-S,LTCS.,LT C STL,LOW T-CS,LO TEMP C/S,LOWTEMP CS,LO-TEMP CS,LOW T CARBON,LTEMP CS,L TEMP CS,LT/CS,L/TCS,LT-C,L-CS,LTC/S,L-T-S,LT CARB STL,LOW T CS,LO TEMP STEEL,LOW T C/S,LT CARBON,LOW TEMP CARB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLYVINYL CHLORIDE,PVC,P.V.C.,PVCH,PV-C,PVC-U,PVC-M,POLY VINYL,PV CHLORIDE,P-V-C,PVC.,POLYVIYL,POLYVNYL,POLY V C,POLY CHL,PVCC,P/VC,PV/C,P-V,P/V,PVC1,UNPVC,VINYL,PVC PLASTIC,POLY VC,VINYL CHLOR,TYPE 1 PVC,UNPLAST PVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WELDABLE HIGH YIELD,WHY,W.H.Y.,W H Y,WH-Y,WLD HY,WELD HIGH Y,WELD HY,W-H-Y,WHY.,WHYLD,WELDABL HY,WELDBLE HY,WELD H YIELD,WELD H Y,WELD-HI-Y,W/HY,WH/Y,W-Y,W/H-Y,WHY/,WELD HI YIELD,HIGH YIELD WELD,WELDABLE HY,HI YIELD WELD,WELDABLE H/Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOW TEMPERATURE STAINLESS STEEL,LOW_TEMPERATURE_STEEL,LTSS,LT SS,LT S/S,LT STAIN,LOW TEMP SS,L.T.S.S.,L-T-S-S,LTSS.,LO TEMP S/S,LOWTEMP SS,LO-TEMP SS,LOW T STAIN,LT/SS,L/TSS,LT-S,L-SS,LT STNLS,LOW T SS,LO TEMP STEEL,LOW T S/S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARBON, CARBON STEEL
NON ASBESTOS, NA
ASBESTOS, ABEST
MALLEABLE, MALLEABLE IRON, MI
