,primary_term,permutation_1,permutation_2,permutation_3,permutation_4,permutation_5,permutation_6,permutation_7,permutation_8,permutation_9,permutation_10,permutation_11,permutation_12,permutation_13,permutation_14,permutation_15,permutation_16,permutation_17,permutation_18,permutation_19,permutation_20,permutation_21,permutation_22,permutation_23,permutation_24,permutation_25,permutation_26,permutation_27,permutation_28,permutation_29,permutation_30,permutation_31,permutation_32,permutation_33,permutation_34,permutation_35,permutation_36,permutation_37
10,BRONZE,BZ,BRNZ,BRZ,BZ.,BR-NZ,B.Z.,BZ-METAL,BRZ-MTL,BRZ METAL,BRONZE UNIT,BZ PIECE,BRONZE ITEM,,,,,,,,,,,,,,,,,,,,,,,,,
11,CARBON LOW TEMP,CLT,C.L.T.,CARB LT,C-LT,CARBON LOW-TEMP,CAR BON LOW TEMP,C LOW TEMP,CARBON L.T.,CARBON LOWTEMP,CARBON LOW TMP,CARBON LTEMP,CARB LOWTEMP,CARB LOW TEMP,CARBON LT,C LOW-TEMP,CLT PIECE,,,,,,,,,,,,,,,,,,,,,
12,CAST IRON,CI,C.I.,CAST IR,C-IRON,CAST IRON,C AST IRON,CAST-IRON,C.IR ON,CASTIRON,CAST IRN,CST IRON,CAST IRONE,C-IR,C.I.,CAST IR.,C-IRON.,C IRON,CI UNIT,CAST IR PIECE,CAST IRON ITEM,,,,,,,,,,,,,,,,,
13,CHROME,CHROME MOLY,CHR,CHRM,CR,C.H.,CH ROME,CHR OME,CH-OME,C.HROME,CHROM,CRHOME,CHRME,CROME,C-R,CHR-M,CHRM.,C.H.,CHROME UNIT,CHRM PIECE,CHROME ITEM,CR METAL,,,,,,,,,,,,,,,,
14,COPPER NICKEL,CU-NI,CUNI,CN,CU/N,COPPER NI CKEL,CU NICKEL,CU-NICKEL,C.NICKEL,COPPER NICHEL,CU-NIKEL,COPR NICKEL,COPER NICKLE,CU-NI,CU/N,C.N.,CUNI,CU NI METAL,CU-NI UNIT,COPPER NI PIECE,COPPER NICK ITEM,,,,,,,,,,,,,,,,,
15,DUCTILE IRON,DI,D.I.,DUCT IR,D-IRON,DUC TILE IRON,DUCT IRON,DUCT-IRON,D.IR ON,DUC TILE IRON,DUC IRON,DUCTIL IRON,DUCTLE IRON,D-IR,D.I.,DUCT IR.,D-IRON.,D IRON,DI UNIT,DUCT IR PIECE,DUCTILE ITEM,,,,,,,,,,,,,,,,,
16,MALLEABLE IRON,MI,M.I.,MALL IR,M-IRON,MALL EABLE IRON,MALLE IRON,MALLE-IRON,M.IR ON,MALLABLE IRON,MAL IRON,MALLEBLE IRON,MALLIBLE IRON,M-IR,M.I.,MALL IR.,M-IRON.,M IRON,MI UNIT,MALL IR PIECE,MALLEABLE ITEM,,,,,,,,,,,,,,,,,
17,STAINLESS SPECIAL GRADE,SSGR,S.S. GR,STAIN SPEC GRADE,SS-GR,SSGR,S.S. GR,STAIN SPEC GR,SS-GR,STAINLESS SPEC GRADE,S STAINLESS GRADE,SS SPEC GRADE,S.S. SPECIAL GRADE,STAINLESS SPEC GR,S STAINLESS GR,SS SPEC GR,S.S. SPECIAL GR,STAINLESS SPCL GR,STAINLESS SPEC GR,SS SPECL GRADE,STNLESS SPCL GRADE,STAINLESS SPEC GR,STAINLESS GRD,SS SPECL GR,STNLESS SPCL GR,S-SGR,S.SGR,SS-GRD,S.S.-GR,S-SGR,S.SGR,SS-GRD,S.S.-GR,SS SPECIAL GRADE,SS SPECIAL GR,STAINLESS GRADE,STNLESS SPEC PIECE,S SPEC GRADE
18,TITANIUM,TI,T.I.,TITAN,TIUM,TIT ANI UM,TITAN IUM,TI TANIUM,T.I.TANIUM,TITANIUMM,TITANIUN,TITANUM,TITINIUM,T-UM,T.I.,TI-METAL,TIUM.,TI METAL,TITANIUM UNIT,TITAN PIECE,TI ITEM,,,,,,,,,,,,,,,,,
19,ZIRCONIUM,ZR,Z.R.,ZIRC,ZRNIUM,ZIR CONIUM,ZIRCON IUM,ZR CONIUM,Z.R.CONIUM,ZIRCUNIUM,ZIRCONUM,ZIRCONIUN,ZIRKONIUM,Z-CM,Z.R.,ZR-METAL,ZIRC.,ZR METAL,ZIRCONIUM UNIT,ZIRC PIECE,ZR ITEM,,,,,,,,,,,,,,,,,
20,HIGH-DENSITY POLYETHYLENE,HDPE,HD PE,HIDPE,HI-DEN PE,HD POLY,HIGH DENSITY PE,H.D.P.E.,H-D-P-E,HDPE.,PE-HD,HI DENSITY PE,HIGHDENSITY PE,HI-DENSTY PE,HDENSE PE,HI DEN POLY,H/DPE,HD/PE,HD-P,H-PE,PE/HD,HIGH DENSITY POLY,HDPE PLASTIC,HIGH DENS PE,HD POLYETH,DENSITY PE,,,,,,,,,,,,
21,LOW TEMPERATURE CARBON STEEL,LTCS,LT CS,LTCARB,LT CRBN,LOW T,LT-STEEL,LOW TEMP CS,L.T.C.S.,L-T-C-S,LTCS.,LT C STL,LOW T-CS,LO TEMP C/S,LOWTEMP CS,LO-TEMP CS,LOW T CARBON,LTEMP CS,L TEMP CS,LT/CS,L/TCS,LT-C,L-CS,LTC/S,L-T-S,LT CARB STL,LOW T CS,LO TEMP STEEL,LOW T C/S,LT CARBON,LOW TEMP CARB,,,,,,,
22,POLYVINYL CHLORIDE,PVC,P.V.C.,PVCH,PV-C,PVC-U,PVC-M,POLY VINYL,PV CHLORIDE,P-V-C,PVC.,POLYVIYL,POLYVNYL,POLY V C,POLY CHL,PVCC,P/VC,PV/C,P-V,P/V,PVC1,UNPVC,VINYL,PVC PLASTIC,POLY VC,VINYL CHLOR,TYPE 1 PVC,UNPLAST PVC,,,,,,,,,,
23,WELDABLE HIGH YIELD,WHY,W.H.Y.,W H Y,WH-Y,WLD HY,WELD HIGH Y,WELD HY,W-H-Y,WHY.,WHYLD,WELDABL HY,WELDBLE HY,WELD H YIELD,WELD H Y,WELD-HI-Y,W/HY,WH/Y,W-Y,W/H-Y,WHY/,WELD HI YIELD,HIGH YIELD WELD,WELDABLE HY,HI YIELD WELD,WELDABLE H/Y,,,,,,,,,,,,
24,LOW TEMPERATURE STAINLESS STEEL,LOW_TEMPERATURE_STEEL,LTSS,LT SS,LT S/S,LT STAIN,LOW TEMP SS,L.T.S.S.,L-T-S-S,LTSS.,LO TEMP S/S,LOWTEMP SS,LO-TEMP SS,LOW T STAIN,LT/SS,L/TSS,LT-S,L-SS,LT STNLS,LOW T SS,LO TEMP STEEL,LOW T S/S,,,,,,,,,,,,,,,,
26,NON ASBESTOS, NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,ASBESTOS, ABEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,MALLEABLE, MALLEABLE IRON, MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,PTFE,POLYTETRAFLUOROETHYLENE,TEFLON,P.T.F.E.,PTF-E,POLY-TFE,PTFE MATERIAL,TEFLON MATERIAL,P-TFE,PT-FE,POLY TFE,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,IRON,FE,IRN,I-RON,IR.,I R,IR-ON,I.R.,IORN,IRON METAL,IR METAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,GALVANIZED,GALV,G.I.,GI,GALV.,GAL,GALVANISED,G.I.PIPE,GALV STEEL,GALVD,GALVANIZE,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,304,304SS,304-SS,304 SS,304 STAINLESS,304 STAINLESS STEEL,TYPE 304,TYPE-304,304 S.S.,304.SS,SS304,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,316,316SS,316 SS,SS316,SS 316,TYPE 316,316 STAINLESS,316 S.S.,316 STAINLESS STEEL,GRADE 316,316-SS,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,304 STAINLESS STEEL,304SS,304 SS,304 S.S.,304 STAIN STL,TYPE 304 SS,304 STAINLESS,304 STN STL,304 STNLS,304 S/S,304-SS,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,316 STAINLESS STEEL,316SS,316 SS,316 S.S.,316 STAIN STL,316 STAINLESS,SS316,S.S.316,STAINLESS 316,TYPE 316 SS,GR 316 SS,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,ALUMINUM BRONZE,AL BRONZE,ALU BRNZ,AL-BRZ,ALUM-BRONZE,AL BRNZ,ALUMINUM-BRONZE,ALU-BRONZE,AL.BRONZE,ALBRZ,ALBRONZE,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,CAST STEEL,CS STL,CST STL,CAST-STL,C/STL,CAST STEL,CST STEEL,CAST-STEEL,CASTED STL,CASTED STEEL,C.S.T.,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,FIBERGLASS,FG,F.G.,FIBER GLASS,FIBER-GLASS,F G,FIBR GLAS,FBR GLS,FIBERGLAS,F-GLASS,FBERGLS,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,GARLOCK,GRL,GAR,GRLK,GAR-LOCK,G LOCK,GARR LOCK,GARLOK,GARRLOK,G-LOCK,G.LOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,GRAPHOIL,GRAPHOIL,GRAFOIL,GRAPH OIL,GRAF OIL,GRAPHOYL,GRA FOIL,GRAPH FOIL,GRAPHITE OIL,GRPHL,GRFOIL,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,GYLON,GYL,GYLN,GY LON,GY-LON,G.Y.L.,GYLON SEAL,GYLON GASKET,GYLON MATERIAL,GYL-ON,G-LON,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,HASTELLOY,HASTELLOY C276,HAST C276,HC276,H-C276,HASTC276,HASTELLOY-C276,HAST-C276,HASTELOY C276,HASTALLOY C276,C276,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,L441,LINE 441,L-441,L.441,LINE-441,LN441,L 441,LINE.441,LN-441,LN.441,L_441,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,LOW RESIDUAL,LR,L.R.,LOW RES,LOW-RES,L RESIDUAL,LOW RESID,L-RES,LOW RSD,L.RESIDUAL,LOW-RESIDUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,NEOPRENE,NEO,NPRN,NEO-PRENE,N.P.,NEOPR,NEO PRENE,N-PRN,NEOPRN,NEOP,NPRNE,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,NICKEL,NI,NCK,NICKL,N.I.,NIC,NICL,NK,NIKL,NICKLE,NI-METAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,NON-ASBESTOS,NON ASBESTOS,NON-ASB,NON ASB,N-ASB,NONASB,NON_ASBESTOS,NONASBESTOS,N.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PFA,PERFLUOROALKOXY,P.F.A.,PER-F-A,PERF ALK,PERFLUORO ALKOXY,P F A,PERFLUORO-ALKOXY,PERF-ALKOXY,PERFLURO ALKOXY,PFALKOXY,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PVDF,POLYVINYLIDENE FLUORIDE,PVDF,P.V.D.F.,PV-DF,POLY VDF,POLYVINYLIDENE-F,PVDF PLASTIC,KYNAR,FLUOROPOLYMER,PVF2,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,RED RUBBER,RR,R.R.,RED RBR,RED-RUBBER,R RUBBER,RED RUBR,RD RUBBER,RED-RBR,RED RUBER,R-RBR,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,SIGMA,SIG,SIGM,SIG-MA,S.I.G.M.A.,SIGMA ALLOY,SIGMA STEEL,SG,SGM,SGMA,SIG. MA,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,STEEL,STL,STEL,ST,S.T.,STELL,STE,ST.L.,STEE,STEELE,STL.,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,TEFLON,TF,TEF,TFLN,T.F.,TEF-LON,T-FLON,TEFL,TEFLN,TEFLOW,PTFE,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,WCB_MONEL,WCB/MONEL,WCB-MONEL,MONEL/WCB,MONEL-WCB,WCB MONEL,MONEL WCB,W.C.B/MNL,WCB/MNL,MNL/WCB,W.C.B.-MONEL,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,ZINC,ZN,ZNC,ZNCC,Z.N.,Z-NC,ZN METAL,ZINC METAL,ZNC PIECE,ZINC ITEM,ZN-MTL,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,ZINC NON ASBESTOS,ZNA,Z.N.A.,ZINC N/A,ZINC-NA,Z-NA,ZINC NON-ASB,ZNC NON ASB,ZINC NON-ASBESTOS,ZN NON ASB,ZINC N-ASB,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,GLS,GLASS,GL,G.L.,GL-S,G.L.S.,GLAS,GLSS,G LASS,GL SS,GL-ASS,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,NYLON,NYL,NY,N.Y.,NYL.,NY-LON,NYLON MTL,NYLON MATERIAL,NY MATERIAL,NYLON PIECE,NYL UNIT,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,316L,316 L,316-L,316.L,SS316L,SS 316L,SS-316L,SS.316L,STAINLESS 316L,TYPE 316L,GRADE 316L,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,BLUEGARD,BLU-GARD,BLUE GARD,BLU GARD,BLGRD,BL-GRD,BLUE-GARD,B.GARD,BLUEGRD,BLUGARD,B-GRD,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,CARBON STEEL/MONEL,CS/MNL,C.S./M.L.,CARB STL/MONL,CARBON-STL/MON-EL,C S/M NL,CARBON STEEL/MO NEL,C-STL/MON-EL,CARBONSTEEL/MONEL,C/S-M/L,CARB. STL/MONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,CHROME MOLYBDENUM,CR-MO,CRMOLY,CR MOLY,CHROME MOLY,CHROME-MOLY,CR-MOLYBDENUM,CHROME-MO,CR.MO,CHROME-MOLYB,CHRM-MOLY,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,MILD_STEEL,MILD STEEL,MS,M.S.,MILD STL,MILD-STL,M STL,M STEEL,MLD STL,MILD-STEEL,M-STL,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,WCB,W.C.B.,W C B,W-C-B,WCBODY,WC-BODY,W.C.BODY,WCARBONBODY,W.CARBON.BODY,CARBON WCB,WCB CARBON,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,304_CARBON_STEEL,304 CARBON STEEL,304CS,304-CS,304 CS,304CARBSTL,304 CARB STL,304 C.S.,304-CARBON STEEL,304 CARBON-STL,304C.S.,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,TFE,TEFLON,PTFE,T.F.E.,POLYTETRAFLUOROETHYLENE,TEFLON-F,TEF-F,TEFL,T.F.E,TFE TEFLON,FLUOROPOLYMER,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,FLUOROPLASTIC,FP,FLUORO,F-PLASTIC,FL-PLASTIC,FLUROPLSTC,F.P.,FLUOROPLSTC,FLR-PLSTC,FLUORO-P,FL-PLAST,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,F22,F-22,F.22,F 22,F22 ALLOY,F22 STEEL,F-22 STEEL,F22-STL,F22STL,F22-ALLOY,F22ALLOY,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,CPVC,C-PVC,C.PVC,CHLORINATED PVC,CHLORINATED-PVC,CPVC PIPE,CHL PVC,CHLOR PVC,C/PVC,CHLOR.PVC,CHL-PVC,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,TEFZEL,TFZ,TFZL,TEF-ZEL,T.F.Z,TEFZ,TEFZEL PIECE,TEFZEL UNIT,TEF-Z,TFZL ITEM,TEFZEL MATERIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,BRASS STEEL,BS,B.S.,BR-STL,BRASS-STL,B STEEL,BRASS STL,BR STEEL,BRS STL,BRASS-STEEL,BR-STEEL,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,CHROMOLY,CRMLY,CHRMLY,CR-MOLY,CHROME-MOLY,CHROMEMOLY,CRM,CR-MLY,CHRM-MLY,CROM-MOLY,CHROME MOLY,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,GALVANIZED STEEL,GALV STL,GS,G.S.,GALV-STL,GAL STL,GALVANIZED,GALV.,GALV STEEL,G STEEL,GALVNZD STL,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,FORGED IRON,FI,F.I.,FORG IRN,FORG-IRON,F I,FORGED IRON,FI IRON,FORGD IRN,FORGE IRON,FORJED IRON,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,ALLOY_IRON,ALLOY IRON,AI,A.I.,ALY IRN,ALLOY-IRN,A I,ALLOYIRON,AI IRN,ALLOY FE,ALLOYED IRON,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,NICKEL IRON,NI,N.I.,NICK IRN,NIC-IRON,N I,NICKEL-IRON,NI IRON,NICKLE IRON,NICL IRON,NI-FE,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,3504,35-04,35.04,TYPE 3504,ALLOY 3504,UNS 3504,GRADE 3504,3504 ALLOY,3504 GRADE,3504 SPEC,SPEC 3504,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,30B,30-B,30 B,30.B,THIRTY B,THIRTY-B,THIRTY_B,30 SERIES B,30B SERIES,SERIES 30B,TYPE 30B,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,BUTYL LINED,BTL LND,BUTYL-LINED,BUTYL LND,BUT LINED,BUTYL-LND,B.L.,BUTYL-L,BUTYL LINE,BTL-LINED,BUTYL LINING,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,CD4,CD-4,C.D.4,CD 4,CD.4,C D 4,C-D-4,CD4MCU,CD4-MCU,CD4 MCU,CD.4.MCU,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,EPDM,ETHYLENE PROPYLENE DIENE MONOMER,EPD,E.P.D.M.,EP DIENE,EPDM RUBBER,EPD-M,EP-DM,ETHYLENE-PROPYLENE,EP RUBBER,EPDM ELASTOMER,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,G10,G-10,G.10,G 10,G.1.0,GRADE 10,GRADE-10,GR10,GR-10,GRD10,GRADE_10,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,LOW CARBON CAST,LCC,L.C.C.,LOW CARB CAST,LOW-CARBON CAST,L C CAST,LOW CARBON CST,LO CARB CAST,L.C. CAST,LOW C CAST,LOW CARBN CAST,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,LOW CARBON STEEL,LCS,L.C.S.,LOW CARB STL,LOW-CARBON STL,L C S,LO-CARB STEEL,LOW C-STL,LOW CARBON-STL,L/C STEEL,LOW-C STL,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,RUBBER,RBR,RUBB,RUB,R.B.R.,RUBR,RBR MAT,RUBBER MAT,RUBBER MATERIAL,RUB PIECE,R-B-R,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,CRMLY F22,CHROME MOLY F22,CHROMOLY F22,CR-MO F22,CHROME-MOLY F22,CR MOLY F22,CRM F22,CHRM-MLY F22,CRMOLY F22,CR-MOLY F22,CHROME MOLYBDENUM F22,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,SOFT_IRON,SOFT IRON,SI,S.I.,SFT IRN,SOFT-IRON,S IRON,SOFT IRN,SI MTL,SFT-IRN,SOFT_IRN,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,CARBON BRONZE,CB,C.B.,CARB BRZ,CARBON-BRZ,C BZ,CARBON BRNZ,CB BRZ,CARB BRNZ,CARBON BZ,CARB-BRONZE,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,DUCTILE IRON/CARBON STEEL,DI/CS,D.I./C.S.,DUCT IRON/CARB STL,DUCTILE-IRON/CARBON-STEEL,DI/CARBON STEEL,DUCTILE IRON/CS,D.I/CARB STL,DUCT-IRON/C-STL,DI-CS,DUCTILE/CARBON,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,F11,F-11,F.11,F 11,F11 ALLOY,F-11 STEEL,F11 STL,F11-STL,F.11.STL,GRADE F11,F11 GRADE,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,INCONEL 825,INC 825,INCL 825,INCONEL825,INC-825,IN-825,INCO 825,INCONEL GR 825,INCL GRADE 825,INCONNEL 825,INCONEL-825,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,CHROMOLY,CHROM,CRMLY,CR-MOLY,CHROME-MOLY,CHROM-MOLY,CR MOLY,CHROME MOLY,CHRM-MLY,CHROMOLOY,CROM-MOLY,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,CRMOLY,CR-MOLY,CHROME MOLY,CHROMOLY,CR MOLY,CHROME-MOLY,CRM,CR.MOLY,CROME MOLY,CHROM-MOLY,CR-MLY,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,CARBON STEEL STAINLESS STEEL,CS SS,C.S. S.S.,CARB STL STAIN STL,CARBON-STL SS STL,CS STAINLESS,CARBON STAINLESS,C-STL S-STL,CARBONSTEEL SS,CS STAIN STL,CARBON STL SS STL,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,BRONZE/STAINLESS STEEL,BRZ/SS,BRNZ/SS,BZ/SS,BRONZE/SS,BRONZE/S.S.,BRZ-SS,BRONZE-SS,BZ-STAINLESS,BRONZE/STAINLESS,BRZ/STAINLESS STL,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,DUPLEX,DPX,DPLX,DX,DUP,DUPLEX STL,DUPLX STEEL,DPX STL,D-PLEX,DUP-LEX,DUPLEX STEEL,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,LF2,LF-2,L.F.2,LF 2,L-F-2,LF.2,LOW FORGE 2,LOW-FORGE-2,L.FORGE.2,LOW FORGED 2,LF TWO,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,CARBON STEEL/DUPLEX,CS/DUP,C.S./DPX,CARB STL/DUPLEX,CARBON-STL/DUP,CS-DUPLEX,CARBON STL/DPX,C-STL/DUPLEX,CARBONSTL/DUP,CS/DUPLEX STL,CARBON/DPX,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,CF8M/F51,CF-8M/F-51,CF8M F51,CF-8M F-51,CF8M.F51,CF-8-M/F-51,CF.8M/F.51,CF8M-F51,CF8M_F51,CF8-M/F-51,CF.8.M/F.51,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,825,INCOLOY 825,UNS N08825,ALLOY 825,INC 825,I-825,INCLY 825,INCO 825,NICKEL 825,825 ALLOY,NI-825,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,2205,DUPLEX 2205,UNS S32205,DSS 2205,2205 DUPLEX,DUPLEX SS 2205,2205 SS,2205 STAINLESS,GRADE 2205,TYPE 2205,SS 2205,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,ALLOY 20,ALLOY_20,AL20,A20,A-20,ALLOY-20,AL-20,A.20,ALY20,ALLOY TWENTY,AL.20,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,BLACK,BLK,BK,BLCK,B.K.,BL-K,B-LK,BLAK,BLK-MTL,BLACK METAL,BLACK FINISH,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,BLACK IRON,BI,B.I.,BLK IRON,BLACK-IRON,B IRON,BLK IRN,BLK-IRON,BLACKIRON,BLK I,B-IRN,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,BUNA,BN,BUNA-N,BUNA N,B-N,BNA,BUN,BUNAN,BUNA-RUBBER,BUNA RUBBER,BUNA-R,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,BUNA-N,BUNA N,BN,B-N,B.N.,BUNA,BUNAN,BUNA-NITRILE,NITRILE,NBR,BUNA RUBBER,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,CERAMIC,CER,CERM,CRM,CRMC,CE RAM,CE-RAM,CERAM-IC,CERAMIK,CER PIECE,CERAM UNIT,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,CHROME IRON,CR IRON,CR-IRON,CR.IRON,CHROME-IRON,CHR IRON,CHROME FE,CR FE,CHROMIUM IRON,CR-FE,CHROM IRON,,,,,,,,,,,,,,,,,,,,,,,,,,,
