Primary Term,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
10.75 IN,0.8X0.8X0.8,"0.75"" ","0.75""",0.75X0.75X0.75,0.75INX0.75INX0.75IN,0.8 ,3/4X3/4X3/4,0.75IN,0.75,0.75IN ,0.75 ,"0.75""X0.75""X0.75""",3/4,0.75 INX0.75 INX0.75 IN,0.75 IN ,0.8, 3/4,3/4 ,0.75X0.75X0.75 ,,,,,,
0.8X0.8X0.8,3/4X3/4X3/4 ,"3/4"" ",3/4 IN,3/4INX3/4INX3/4IN,3/4IN,3/4 IN ,0.8 ,0.75X0.75X0.75,3/4X3/4X3/4,3/4 INX3/4 INX3/4 IN,0.75,3/4 ,0.75 ,"3/4""X3/4""X3/4""",3/4,0.8, 3/4,3/4IN ,"3/4""",,,,,,
"7/8""",7/8 INX7/8 INX7/8 IN, 7/8,7/8INX7/8INX7/8IN,7/8IN ,"7/8""X7/8""X7/8""",7/8,7/8X7/8X7/8,7/8IN,0.875X0.875X0.875,0.9,0.875,7/8 ,0.9X0.9X0.9,0.875 ,7/8 IN ,7/8X7/8X7/8 ,"7/8"" ",7/8 IN,0.9 ,,,,,,
7/8,"0.875""X0.875""X0.875""",7/8,7/8X7/8X7/8,0.875X0.875X0.875,0.875 INX0.875 INX0.875 IN,0.9,0.875IN,0.875IN ,0.875,0.875 IN ,"0.875""",7/8 ,0.875 IN,0.9X0.9X0.9,0.9 ,0.875 ,0.875INX0.875INX0.875IN,0.875X0.875X0.875 ,"0.875"" ",,,,,,
1X1X1 ,1 IN,"1"" ","1""X1""X1""",1.0 ,1 ,"1""",1X1X1,1,1 INX1 INX1 IN,1INX1INX1IN,1 IN ,1.0X1.0X1.0,1IN,1.0,1IN ,,,,,,,,,,
1,"1    ",1" ,1.0,'1".1.0IN ,1.0 ,1 ,1.0IN,1.0 IN,1.0INX1.0INX1.0IN,1.0 INX1.0 INX1.0 IN,1.0X1.0X1.0 ,1X1X1,1,"1.0""X1.0""X1.0""",1.0 IN ,1.0X1.0X1.0,1.0,"1.0""","1.0"" ",,,,,
9/8,1.1,1.125 IN ,1.125X1.125X1.125,"1.125"" ",1.125 ,9/8X9/8X9/8,1.1X1.1X1.1,1 1/8X1 1/8X1 1/8,9/8 ,1.125,"1.125""X1.125""X1.125""",1.125 IN,1.125INX1.125INX1.125IN,1.125IN ,1 1/8 ,1.125X1.125X1.125 ,11/8,1 1/8,1.1 ,1.125IN,1.125 INX1.125 INX1.125 IN,"1.125""",,,
9/8,1.1,1 1/8 INX1 1/8 INX1 1/8 IN,11/8IN,1.125X1.125X1.125,1 1/8IN ,1.125 ,9/8X9/8X9/8,1.1X1.1X1.1,1 1/8X1 1/8X1 1/8,11/8X11/8X11/8,"1 1/8"" ",1 1/8IN,9/8 ,1 1/8 IN,1.125,"1 1/8""",1 1/8 IN ,1 1/8X1 1/8X1 1/8 ,"11/8""",1 1/8 ,11/8,1 1/8,1.1 ,"1 1/8""X1 1/8""X1 1/8""",1 1/8INX1 1/8INX1 1/8IN
1.25INX1.25INX1.25IN,1.25,1.25IN,1 1/4X1 1/4X1 1/4,1.2X1.2X1.2,"1.25"" ",1 1/4,1.25X1.25X1.25,1.2 ,5/4X5/4X5/4,1.25 ,1.25X1.25X1.25 ,11/4,1.25 INX1.25 INX1.25 IN,1 1/4 ,1.25 IN ,5/4,"1.25""","1.25""X1.25""X1.25""",1.2,1.25IN ,1.25 IN,5/4 ,,,
1 1/4IN ,1 1/4IN,11/4X11/4X11/4,1.25,1 1/4X1 1/4X1 1/4,1 1/4INX1 1/4INX1 1/4IN,1.2X1.2X1.2,11/4IN,1 1/4,1.25X1.25X1.25,1.2 ,5/4X5/4X5/4,1.25 ,11/4,"11/4""",1 1/4 IN ,1 1/4 ,"1 1/4""","1 1/4""X1 1/4""X1 1/4""","1 1/4"" ",5/4,1 1/4 INX1 1/4 INX1 1/4 IN,1 1/4X1 1/4X1 1/4 ,1 1/4 IN,1.2,5/4 
1.375 ,1.375 INX1.375 INX1.375 IN,"1.375""X1.375""X1.375""",1.375X1.375X1.375 ,1 3/8X1 3/8X1 3/8,1.4,"1.375""",1.4 ,11/8X11/8X11/8,1.375IN ,13/8,11/8 ,1.375,1 3/8,1.375INX1.375INX1.375IN,"1.375"" ",11/8,1.375 IN,1.4X1.4X1.4,1 3/8 ,1.375X1.375X1.375,1.375 IN ,1.375IN,,,
1.375 ,1 3/8IN,1 3/8 IN ,1 3/8X1 3/8X1 3/8,1.4,13/8IN,1 3/8 IN,1.4 ,11/8X11/8X11/8,"13/8""","1 3/8""X1 3/8""X1 3/8""",13/8,11/8 ,"1 3/8"" ",1.375,1 3/8,1 3/8 INX1 3/8 INX1 3/8 IN,11/8,"1 3/8""",1.4X1.4X1.4,13/8X13/8X13/8,1 3/8IN ,1 3/8 ,1 3/8INX1 3/8INX1 3/8IN,1 3/8X1 3/8X1 3/8 ,1.375X1.375X1.375
3/2 ,1 1/2,1 1/2 INX1 1/2 INX1 1/2 IN,1 1/2 IN ,"1 1/2"" ",3/2,1.5,1 1/2 ,1 1/2X1 1/2X1 1/2,"1 1/2""",11/2IN,1 1/2 IN,11/2X11/2X11/2,1 1/2IN,3/2X3/2X3/2,"1 1/2""X1 1/2""X1 1/2""",11/2,"11/2""",1 1/2X1 1/2X1 1/2 ,1 1/2INX1 1/2INX1 1/2IN,1.5X1.5X1.5,1 1/2IN ,1.5 ,,,
1.5 IN,3/2 ,1 1/2,1.5 INX1.5 INX1.5 IN,"1.5"" ",3/2,1.5,1.5 IN ,1 1/2 ,1 1/2X1 1/2X1 1/2,3/2X3/2X3/2,"1.5""X1.5""X1.5""",11/2,1.5X1.5X1.5 ,1.5IN ,1.5INX1.5INX1.5IN,"1.5""",1.5IN,1.5X1.5X1.5,1.5 ,,,,,,
1.625 IN ,1.625,1.625 ,1.6,1 5/8X1 5/8X1 5/8,1.625INX1.625INX1.625IN,1.625X1.625X1.625,1.6 ,"1.625""X1.625""X1.625""",1 5/8 ,13/8 ,1.625X1.625X1.625 ,13/8,1.6X1.6X1.6,15/8,13/8X13/8X13/8,1.625 INX1.625 INX1.625 IN,1.625IN ,"1.625""",1.625IN,"1.625"" ",1.625 IN,1 5/8,,,
1 5/8 INX1 5/8 INX1 5/8 IN,"1 5/8"" ",1.625,1.625 ,1.6,1 5/8X1 5/8X1 5/8,1 5/8X1 5/8X1 5/8 ,"15/8""","1 5/8""",1.625X1.625X1.625,1.6 ,15/8X15/8X15/8,1 5/8 ,1 5/8 IN,13/8 ,13/8,"1 5/8""X1 5/8""X1 5/8""",1 5/8IN,15/8IN,1 5/8INX1 5/8INX1 5/8IN,1.6X1.6X1.6,1 5/8 IN ,15/8,13/8X13/8X13/8,1 5/8IN ,1 5/8
13/4X13/4X13/4,1 3/4INX1 3/4INX1 3/4IN,1.75,13/4,7/4,1 3/4X1 3/4X1 3/4 ,1.8,1.75X1.75X1.75,1 3/4 ,"1 3/4""",7/4 ,7/4X7/4X7/4,1 3/4 IN ,1 3/4X1 3/4X1 3/4,"13/4""",1 3/4 INX1 3/4 INX1 3/4 IN,1 3/4 IN,13/4IN,1.8 ,1 3/4,1.8X1.8X1.8,"1 3/4"" ","1 3/4""X1 3/4""X1 3/4""",1 3/4IN ,1 3/4IN,1.75 
1.75X1.75X1.75 ,1.75,13/4,7/4,1.75IN,1.75IN ,1.8,1.75X1.75X1.75,1 3/4 ,7/4 ,7/4X7/4X7/4,1.75 IN ,1 3/4X1 3/4X1 3/4,"1.75""X1.75""X1.75""",1.75 IN,1.8 ,1 3/4,"1.75"" ",1.8X1.8X1.8,"1.75""",1.75 ,1.75 INX1.75 INX1.75 IN,1.75INX1.75INX1.75IN,,,
1.875X1.875X1.875,"1.875""X1.875""X1.875""",1.9X1.9X1.9,1.875,1.875IN ,15/8X15/8X15/8,1 7/8 ,1.875 ,17/8,1 7/8X1 7/8X1 7/8,1 7/8,1.9,15/8 ,1.875IN,1.875 IN ,15/8,1.875INX1.875INX1.875IN,1.9 ,"1.875""",1.875X1.875X1.875 ,1.875 INX1.875 INX1.875 IN,1.875 IN,"1.875"" ",,,
1 7/8IN,1.875X1.875X1.875,1.9X1.9X1.9,1.875,17/8IN,15/8X15/8X15/8,1 7/8 INX1 7/8 INX1 7/8 IN,1 7/8INX1 7/8INX1 7/8IN,17/8X17/8X17/8,1 7/8 IN ,1 7/8IN ,1 7/8X1 7/8X1 7/8 ,1 7/8 ,1.875 ,17/8,"1 7/8""X1 7/8""X1 7/8""",1 7/8 IN,"1 7/8"" ",1 7/8X1 7/8X1 7/8,1 7/8,1.9,15/8 ,15/8,1.9 ,"1 7/8""","17/8"""
2 IN ,2.0X2.0X2.0,2 IN,2 ,2 INX2 INX2 IN,"2""X2""X2""","2"" ",2INX2INX2IN,2.0,2IN,2X2X2,2IN ,2X2X2 ,2.0 ,2,"2""",,,,,,,,,,
2.0X2.0X2.0,2.0IN,"2.0"" ","2.0""X2.0""X2.0""",2 ,2.0 IN,2.0X2.0X2.0 ,2.0 IN ,2.0,2X2X2,2.0 INX2.0 INX2.0 IN,2.0 ,2,"2.0""",2.0IN ,2.0INX2.0INX2.0IN,,,,,,,,,,
2 1/4INX2 1/4INX2 1/4IN,"21/4""",9/4 ,2 1/4X2 1/4X2 1/4 ,"2 1/4""X2 1/4""X2 1/4""",21/4,9/4X9/4X9/4,2 1/4X2 1/4X2 1/4,21/4X21/4X21/4,2 1/4 IN,"2 1/4""",2 1/4IN,2 1/4 IN ,2 1/4,2 1/4 ,2.2 ,"2 1/4"" ",2.25X2.25X2.25,21/4IN,2.25,2 1/4 INX2 1/4 INX2 1/4 IN,9/4,2.25 ,2 1/4IN ,2.2,2.2X2.2X2.2
"2.25""X2.25""X2.25""",9/4 ,2.25INX2.25INX2.25IN,2.25IN,2.25 INX2.25 INX2.25 IN,2.25IN ,21/4,2.25 IN,9/4X9/4X9/4,2 1/4X2 1/4X2 1/4,2.25 IN ,2.25X2.25X2.25 ,2 1/4,2 1/4 ,2.2 ,2.25X2.25X2.25,"2.25"" ",2.25,9/4,2.25 ,2.2,2.2X2.2X2.2,"2.25""",,,
2.375IN ,2.375X2.375X2.375 ,2.375INX2.375INX2.375IN,2.375 ,2.375 IN ,2.4X2.4X2.4,19/8 ,"2.375""",2.375IN,2.375 INX2.375 INX2.375 IN,19/8X19/8X19/8,23/8,2 3/8 ,2.4,2.375,2.375X2.375X2.375,2.4 ,2 3/8X2 3/8X2 3/8,19/8,2.375 IN,"2.375"" ",2 3/8,"2.375""X2.375""X2.375""",,,
2.375 ,2 3/8 INX2 3/8 INX2 3/8 IN,2.4X2.4X2.4,"2 3/8""",2 3/8IN,19/8 ,2 3/8IN ,19/8X19/8X19/8,23/8,"2 3/8"" ",2 3/8INX2 3/8INX2 3/8IN,2 3/8 ,23/8X23/8X23/8,2.4,2.375,2.375X2.375X2.375,2.4 ,2 3/8X2 3/8X2 3/8,2 3/8X2 3/8X2 3/8 ,23/8IN,"2 3/8""X2 3/8""X2 3/8""",19/8,2 3/8 IN,2 3/8 IN ,2 3/8,"23/8"""
"2 1/2""","2 1/2"" ",5/2 ,2 1/2INX2 1/2INX2 1/2IN,2 1/2IN,2 1/2,2 1/2X2 1/2X2 1/2,21/2IN,2.5 ,2 1/2X2 1/2X2 1/2 ,2 1/2 ,"21/2""",21/2X21/2X21/2,21/2,"2 1/2""X2 1/2""X2 1/2""",5/2X5/2X5/2,2 1/2IN ,2 1/2 IN,2.5,2 1/2 INX2 1/2 INX2 1/2 IN,2 1/2 IN ,2.5X2.5X2.5,5/2,,,
2.5IN,5/2 ,2.5 INX2.5 INX2.5 IN,2.5IN ,2 1/2X2 1/2X2 1/2,2.5X2.5X2.5 ,2 1/2,2.5 ,2 1/2 ,2.5 IN ,"2.5"" ",21/2,"2.5""",5/2X5/2X5/2,2.5INX2.5INX2.5IN,2.5,2.5X2.5X2.5,2.5 IN,5/2,"2.5""X2.5""X2.5""",,,,,,
2 7/8 IN,2 7/8IN ,2 7/8,2 7/8 IN ,2.875X2.875X2.875,2 7/8IN,2.9X2.9X2.9,2.9 ,"2 7/8""",27/8X27/8X27/8,23/8,27/8,2 7/8X2 7/8X2 7/8 ,2 7/8 INX2 7/8 INX2 7/8 IN,2.875,"27/8""",23/8X23/8X23/8,2.9,2 7/8INX2 7/8INX2 7/8IN,"2 7/8""X2 7/8""X2 7/8""",2 7/8X2 7/8X2 7/8,2.875 ,2 7/8 ,27/8IN,"2 7/8"" ",23/8 
2.875IN ,2 7/8,2.875X2.875X2.875,2.9X2.9X2.9,2.9 ,"2.875""X2.875""X2.875""",2.875 IN,23/8,2.875IN,27/8,"2.875""",2.875X2.875X2.875 ,2.875INX2.875INX2.875IN,"2.875"" ",2.875,23/8X23/8X23/8,2.9,2.875 INX2.875 INX2.875 IN,2 7/8X2 7/8X2 7/8,2.875 ,2 7/8 ,2.875 IN ,23/8 ,,,
3.0X3.0X3.0 ,3.0,3.0IN ,3.0 IN ,3.0 ,"3.0""",3.0 INX3.0 INX3.0 IN,3.0IN,3,3X3X3,3 ,"3.0"" ",3.0INX3.0INX3.0IN,3.0X3.0X3.0,3.0 IN,"3.0""X3.0""X3.0""",,,,,,,,,,
"3"" ",3.0,3.0 ,3 INX3 INX3 IN,"3""",3IN,3 IN ,3,3X3X3,3 ,3X3X3 ,3 IN,3.0X3.0X3.0,3IN ,"3""X3""X3""",3INX3INX3IN,,,,,,,,,,
3 1/4X3 1/4X3 1/4,13/4X13/4X13/4,3 1/4 IN,3 1/4X3 1/4X3 1/4 ,13/4,"3 1/4""X3 1/4""X3 1/4""",3 1/4 INX3 1/4 INX3 1/4 IN,"31/4""",3 1/4,"3 1/4""",31/4IN,31/4,31/4X31/4X31/4,3 1/4IN ,3 1/4 ,"3 1/4"" ",3 1/4IN,3 1/4INX3 1/4INX3 1/4IN,3.2 ,13/4 ,3.25 ,3.25X3.25X3.25,3.25,3.2,3 1/4 IN ,3.2X3.2X3.2
3 1/4X3 1/4X3 1/4,13/4X13/4X13/4,13/4,"3.25""",3 1/4,3.25IN ,3.25 IN ,3.25IN,31/4,3.25X3.25X3.25 ,3 1/4 ,3.25 INX3.25 INX3.25 IN,3.2 ,3.25INX3.25INX3.25IN,13/4 ,3.25 ,"3.25"" ",3.25X3.25X3.25,3.25,3.2,3.25 IN,"3.25""X3.25""X3.25""",3.2X3.2X3.2,,,
3.333 ,3333/1000X3333/1000X3333/1000,3.333IN,3.333IN ,3.333X3.333X3.333,3.3 ,3.333,"3.333""",3 333/1000 ,"3.333""X3.333""X3.333""",3.333INX3.333INX3.333IN,3.333 INX3.333 INX3.333 IN,3.333X3.333X3.333 ,3 333/1000,3.3,3.3X3.3X3.3,3 333/1000X3 333/1000X3 333/1000,3.333 IN ,3.333 IN,3333/1000 ,"3.333"" ",3333/1000,,,,
"3 1/3""",10/3,31/3X31/3X31/3,3 1/3 IN ,"3 1/3"" ",3 1/3,3 1/3INX3 1/3INX3 1/3IN,3 1/3 INX3 1/3 INX3 1/3 IN,3.3333333333333335,10/3X10/3X10/3,3.3333333333333335 ,3.3 ,31/3IN,3 1/3IN,"3 1/3""X3 1/3""X3 1/3""",3 1/3IN ,31/3,3.3,3.3X3.3X3.3,3 1/3 IN,3 1/3 ,"31/3""",3.3333333333333335X3.3333333333333335X3.3333333333333335,3 1/3X3 1/3X3 1/3,3 1/3X3 1/3X3 1/3 ,10/3 
3.5,3 1/2 INX3 1/2 INX3 1/2 IN,3 1/2IN,3 1/2IN ,3 1/2 IN,"3 1/2"" ",7/2X7/2X7/2,31/2X31/2X31/2,3 1/2X3 1/2X3 1/2,3 1/2,3.5X3.5X3.5,3 1/2X3 1/2X3 1/2 ,3 1/2 ,3 1/2INX3 1/2INX3 1/2IN,7/2,31/2IN,"3 1/2""X3 1/2""X3 1/2""",31/2,3.5 ,"31/2""","3 1/2""",3 1/2 IN ,7/2 ,,,
3.5,"3.5"" ",7/2X7/2X7/2,3.5X3.5X3.5,3 1/2,3.5 INX3.5 INX3.5 IN,3 1/2 ,3 1/2X3 1/2X3 1/2,3.5IN ,"3.5""X3.5""X3.5""",7/2,3.5X3.5X3.5 ,31/2,3.5 IN ,3.5 ,3.5 IN,3.5INX3.5INX3.5IN,3.5IN,"3.5""",7/2 ,,,,,,
3.571INX3.571INX3.571IN,3 571/1000X3 571/1000X3 571/1000,"3.571""X3.571""X3.571""","3.571""",3.6 ,3.571 INX3.571 INX3.571 IN,3.6X3.6X3.6,3571/1000X3571/1000X3571/1000,3.571X3.571X3.571 ,3.571,3.571IN ,3.571X3.571X3.571,3.571IN,3 571/1000,3 571/1000 ,3.571 IN,3571/1000,"3.571"" ",3571/1000 ,3.571 IN ,3.571 ,3.6,,,,
25/7 ,3 4/7 IN ,"3 4/7""",34/7IN,3 4/7 ,3 4/7X3 4/7X3 4/7 ,3 4/7,3.6 ,3 4/7X3 4/7X3 4/7,3 4/7INX3 4/7INX3 4/7IN,3.6X3.6X3.6,25/7X25/7X25/7,3 4/7 IN,34/7X34/7X34/7,3.571428571428571X3.571428571428571X3.571428571428571,3 4/7IN ,3.571428571428571,3.571428571428571 ,"34/7""",34/7,3 4/7 INX3 4/7 INX3 4/7 IN,25/7,3 4/7IN,"3 4/7""X3 4/7""X3 4/7""","3 4/7"" ",3.6
35/8,3.625 ,3.6 ,29/8X29/8X29/8,3.625X3.625X3.625,3.625INX3.625INX3.625IN,"3.625""",3.6X3.6X3.6,"3.625"" ",3 5/8 ,29/8,"3.625""X3.625""X3.625""",29/8 ,3 5/8,3.625IN,3.625X3.625X3.625 ,3.625,3 5/8X3 5/8X3 5/8,3.625 INX3.625 INX3.625 IN,3.625IN ,3.625 IN ,3.625 IN,3.6,,,
3 5/8 IN,35/8,3.625 ,3.6 ,3 5/8 INX3 5/8 INX3 5/8 IN,29/8X29/8X29/8,3.625X3.625X3.625,"3 5/8"" ","3 5/8""",3 5/8INX3 5/8INX3 5/8IN,35/8X35/8X35/8,3.6X3.6X3.6,"35/8""",3 5/8 ,3 5/8IN,29/8,3 5/8X3 5/8X3 5/8 ,3 5/8 IN ,29/8 ,3 5/8,3.625,3 5/8IN ,3 5/8X3 5/8X3 5/8,35/8IN,"3 5/8""X3 5/8""X3 5/8""",3.6
3.9,3 7/8 IN,37/8IN,"3 7/8""","3 7/8""X3 7/8""X3 7/8""",37/8,3 7/8,3 7/8IN ,3.9X3.9X3.9,3 7/8 IN ,3 7/8INX3 7/8INX3 7/8IN,31/8 ,3 7/8 INX3 7/8 INX3 7/8 IN,37/8X37/8X37/8,3.875 ,3 7/8X3 7/8X3 7/8,3 7/8 ,"3 7/8"" ",3.875,3.875X3.875X3.875,"37/8""",3.9 ,31/8X31/8X31/8,3 7/8IN,31/8,3 7/8X3 7/8X3 7/8 
3.9,3.875IN ,37/8,3 7/8,3.875X3.875X3.875 ,"3.875"" ",3.9X3.9X3.9,31/8 ,3.875 ,3 7/8X3 7/8X3 7/8,3.875 IN,3 7/8 ,"3.875""",3.875,3.875X3.875X3.875,3.875 IN ,3.875INX3.875INX3.875IN,3.875 INX3.875 INX3.875 IN,3.9 ,3.875IN,31/8X31/8X31/8,31/8,"3.875""X3.875""X3.875""",,,
4,4.0X4.0X4.0,4.0IN ,4.0 IN,4.0 IN ,4.0INX4.0INX4.0IN,4.0 ,4.0X4.0X4.0 ,"4.0""X4.0""X4.0""",4 ,4.0IN,"4.0""",4.0 INX4.0 INX4.0 IN,4X4X4,4.0,"4.0"" ",,,,,,,,,,
4,4 IN ,"4"" ",4.0 ,4 IN,"4""X4""X4""",4 INX4 INX4 IN,4.0X4.0X4.0,4INX4INX4IN,4 ,"4""",4X4X4 ,4IN ,4X4X4,4.0,4IN,,,,,,,,,,
4.125X4.125X4.125,4.1,33/8X33/8X33/8,"41/8""",4.125,33/8 ,33/8,41/8X41/8X41/8,4 1/8 IN ,4 1/8X4 1/8X4 1/8,4 1/8 INX4 1/8 INX4 1/8 IN,"4 1/8"" ","4 1/8""",4.1X4.1X4.1,4 1/8 IN,4 1/8 ,4 1/8IN,41/8IN,4.1 ,4.125 ,4 1/8,4 1/8X4 1/8X4 1/8 ,4 1/8INX4 1/8INX4 1/8IN,4 1/8IN ,41/8,"4 1/8""X4 1/8""X4 1/8"""
4.125X4.125X4.125,4.1,4.125 IN,33/8X33/8X33/8,4.125IN ,4.125 IN ,4.125,33/8 ,33/8,4.125INX4.125INX4.125IN,"4.125""",4.125IN,4 1/8X4 1/8X4 1/8,4.1X4.1X4.1,4 1/8 ,4.1 ,4.125 ,"4.125"" ","4.125""X4.125""X4.125""",4 1/8,41/8,4.125 INX4.125 INX4.125 IN,4.125X4.125X4.125 ,,,
4 1/4X4 1/4X4 1/4 ,17/4,4.2X4.2X4.2,4.25 ,4 1/4 IN,4 1/4 IN ,41/4X41/4X41/4,17/4X17/4X17/4,4.2 ,41/4IN,4 1/4 ,"4 1/4""",4 1/4 INX4 1/4 INX4 1/4 IN,"4 1/4"" ","4 1/4""X4 1/4""X4 1/4""",4 1/4,4 1/4IN,41/4,4 1/4X4 1/4X4 1/4,4 1/4IN ,4 1/4INX4 1/4INX4 1/4IN,17/4 ,4.25,4.25X4.25X4.25,"41/4""",4.2
"4.25"" ",17/4,4.25IN ,4.2X4.2X4.2,4.25 ,4.25X4.25X4.25 ,17/4X17/4X17/4,4.2 ,4 1/4 ,4.25 IN,4 1/4,4.25INX4.25INX4.25IN,4.25 IN ,41/4,4 1/4X4 1/4X4 1/4,4.25 INX4.25 INX4.25 IN,"4.25""",17/4 ,4.25,4.25X4.25X4.25,"4.25""X4.25""X4.25""",4.25IN,4.2,,,
4.5 IN,4.5,4 1/2 ,4.5IN ,4.5X4.5X4.5,4.5 INX4.5 INX4.5 IN,"4.5""X4.5""X4.5""",9/2X9/2X9/2,4.5 ,9/2 ,"4.5""",4 1/2X4 1/2X4 1/2,41/2,4 1/2,9/2,4.5X4.5X4.5 ,4.5INX4.5INX4.5IN,4.5 IN ,4.5IN,"4.5"" ",,,,,,
"41/2""",41/2X41/2X41/2,4 1/2 ,4 1/2IN ,4.5X4.5X4.5,4 1/2IN,9/2X9/2X9/2,4.5 ,9/2 ,"4 1/2""X4 1/2""X4 1/2""",4 1/2X4 1/2X4 1/2,41/2,4 1/2,4 1/2X4 1/2X4 1/2 ,9/2,4 1/2 IN ,"4 1/2"" ",41/2IN,"4 1/2""",4 1/2 IN,4.5,4 1/2INX4 1/2INX4 1/2IN,4 1/2 INX4 1/2 INX4 1/2 IN,,,
5.0 INX5.0 INX5.0 IN,5.0X5.0X5.0 ,5,5.0IN,5.0X5.0X5.0,5.0 IN ,"5.0""X5.0""X5.0""",5.0IN ,5.0 ,5 ,5.0 IN,5X5X5,5.0INX5.0INX5.0IN,"5.0""",5.0,"5.0"" ",,,,,,,,,,
5IN ,5,5.0X5.0X5.0,5 IN,5INX5INX5IN,5.0 ,5 ,"5"" ",5 IN ,5X5X5,"5""X5""X5""",5IN,5X5X5 ,"5""",5.0,5 INX5 INX5 IN,,,,,,,,,,
5.25X5.25X5.25,5 1/4 ,5.25INX5.25INX5.25IN,5.25,5 1/4,5.25 INX5.25 INX5.25 IN,"5.25""",51/4,5.25IN,5.25 ,21/4,5.25IN ,"5.25""X5.25""X5.25""",5.2 ,5.25X5.25X5.25 ,21/4X21/4X21/4,"5.25"" ",5.2,5.25 IN ,5.25 IN,21/4 ,5.2X5.2X5.2,5 1/4X5 1/4X5 1/4,,,
