,Primary Term,perm_1,perm_2,perm_3,perm_4,perm_5,perm_6,perm_7,perm_8,perm_9,perm_10
21,PVDF,POLYVINYLIDENE FLUORIDE,PVDF,P.V.D.F.,PV-DF,POLY VDF,POLYVINYLIDENE-F,PVDF PLASTIC,KYNAR,FLUOROPOLYMER,PVF2
22,RED RUBBER,RR,R.R.,RED RBR,RED-RUBBER,R RUBBER,RED RUBR,RD RUBBER,RED-RBR,RED RUBER,R-RBR
23,SIGMA,SIG,SIGM,SIG-MA,S.I.G.M.A.,SIGMA ALLOY,SIGMA STEEL,SG,SGM,SGMA,SIG. MA
24,STEEL,STL,STEL,ST,S.T.,STELL,STE,ST.L.,STEE,STEELE,STL.
25,TEFLON,TF,TEF,TFLN,T.F.,TEF-LON,T-FLON,TEFL,TEFLN,TEFLOW,PTFE
26,WCB_MONEL,WCB/MONEL,WCB-MONEL,MONEL/WCB,MONEL-WCB,WCB MONEL,MONEL WCB,W.C.B/MNL,WCB/MNL,MNL/WCB,W.C.B.-MONEL
27,ZINC,ZN,ZNC,ZNCC,Z.N.,Z-NC,ZN METAL,ZINC METAL,ZNC PIECE,ZINC ITEM,ZN-MTL
28,ZINC NON ASBESTOS,ZNA,Z.N.A.,ZINC N/A,ZINC-NA,Z-NA,ZINC NON-ASB,ZNC NON ASB,ZINC NON-ASBESTOS,ZN NON ASB,ZINC N-ASB
29,GLS,GLASS,GL,G.L.,GL-S,G.L.S.,GLAS,GLSS,G LASS,GL SS,GL-ASS
30,NYLON,NYL,NY,N.Y.,NYL.,NY-LON,NYLON MTL,NYLON MATERIAL,NY MATERIAL,NYLON PIECE,NYL UNIT
31,316L,316 L,316-L,316.L,SS316L,SS 316L,SS-316L,SS.316L,STAINLESS 316L,TYPE 316L,GRADE 316L
32,BLUEGARD,BLU-GARD,BLUE GARD,BLU GARD,BLGRD,BL-GRD,BLUE-GARD,B.GARD,BLUEGRD,BLUGARD,B-GRD
33,CARBON STEEL/MONEL,CS/MNL,C.S./M.L.,CARB STL/MONL,CARBON-STL/MON-EL,C S/M NL,CARBON STEEL/MO NEL,C-STL/MON-EL,CARBONSTEEL/MONEL,C/S-M/L,CARB. STL/MONAL
34,CHROME MOLYBDENUM,CR-MO,CRMOLY,CR MOLY,CHROME MOLY,CHROME-MOLY,CR-MOLYBDENUM,CHROME-MO,CR.MO,CHROME-MOLYB,CHRM-MOLY
35,MILD_STEEL,MILD STEEL,MS,M.S.,MILD STL,MILD-STL,M STL,M STEEL,MLD STL,MILD-STEEL,M-STL
36,WCB,W.C.B.,W C B,W-C-B,WCBODY,WC-BODY,W.C.BODY,WCARBONBODY,W.CARBON.BODY,CARBON WCB,WCB CARBON
37,304_CARBON_STEEL,304 CARBON STEEL,304CS,304-CS,304 CS,304CARBSTL,304 CARB STL,304 C.S.,304-CARBON STEEL,304 CARBON-STL,304C.S.
38,TFE,TEFLON,PTFE,T.F.E.,POLYTETRAFLUOROETHYLENE,TEFLON-F,TEF-F,TEFL,T.F.E,TFE TEFLON,FLUOROPOLYMER
39,FLUOROPLASTIC,FP,FLUORO,F-PLASTIC,FL-PLASTIC,FLUROPLSTC,F.P.,FLUOROPLSTC,FLR-PLSTC,FLUORO-P,FL-PLAST
40,F22,F-22,F.22,F 22,F22 ALLOY,F22 STEEL,F-22 STEEL,F22-STL,F22STL,F22-ALLOY,F22ALLOY
41,CPVC,C-PVC,C.PVC,CHLORINATED PVC,CHLORINATED-PVC,CPVC PIPE,CHL PVC,CHLOR PVC,C/PVC,CHLOR.PVC,CHL-PVC
42,TEFZEL,TFZ,TFZL,TEF-ZEL,T.F.Z,TEFZ,TEFZEL PIECE,TEFZEL UNIT,TEF-Z,TFZL ITEM,TEFZEL MATERIAL
43,BRASS STEEL,BS,B.S.,BR-STL,BRASS-STL,B STEEL,BRASS STL,BR STEEL,BRS STL,BRASS-STEEL,BR-STEEL
44,CHROMOLY,CRMLY,CHRMLY,CR-MOLY,CHROME-MOLY,CHROMEMOLY,CRM,CR-MLY,CHRM-MLY,CROM-MOLY,CHROME MOLY
45,GALVANIZED STEEL,GALV STL,GS,G.S.,GALV-STL,GAL STL,GALVANIZED,GALV.,GALV STEEL,G STEEL,GALVNZD STL
46,FORGED IRON,FI,F.I.,FORG IRN,FORG-IRON,F I,FORGED IRON,FI IRON,FORGD IRN,FORGE IRON,FORJED IRON
47,ALLOY_IRON,ALLOY IRON,AI,A.I.,ALY IRN,ALLOY-IRN,A I,ALLOYIRON,AI IRN,ALLOY FE,ALLOYED IRON
48,NICKEL IRON,NI,N.I.,NICK IRN,NIC-IRON,N I,NICKEL-IRON,NI IRON,NICKLE IRON,NICL IRON,NI-FE
49,3504,35-04,35.04,TYPE 3504,ALLOY 3504,UNS 3504,GRADE 3504,3504 ALLOY,3504 GRADE,3504 SPEC,SPEC 3504
50,30B,30-B,30 B,30.B,THIRTY B,THIRTY-B,THIRTY_B,30 SERIES B,30B SERIES,SERIES 30B,TYPE 30B
51,BUTYL LINED,BTL LND,BUTYL-LINED,BUTYL LND,BUT LINED,BUTYL-LND,B.L.,BUTYL-L,BUTYL LINE,BTL-LINED,BUTYL LINING
52,CD4,CD-4,C.D.4,CD 4,CD.4,C D 4,C-D-4,CD4MCU,CD4-MCU,CD4 MCU,CD.4.MCU
53,EPDM,ETHYLENE PROPYLENE DIENE MONOMER,EPD,E.P.D.M.,EP DIENE,EPDM RUBBER,EPD-M,EP-DM,ETHYLENE-PROPYLENE,EP RUBBER,EPDM ELASTOMER
54,G10,G-10,G.10,G 10,G.1.0,GRADE 10,GRADE-10,GR10,GR-10,GRD10,GRADE_10
55,LOW CARBON CAST,LCC,L.C.C.,LOW CARB CAST,LOW-CARBON CAST,L C CAST,LOW CARBON CST,LO CARB CAST,L.C. CAST,LOW C CAST,LOW CARBN CAST
56,LOW CARBON STEEL,LCS,L.C.S.,LOW CARB STL,LOW-CARBON STL,L C S,LO-CARB STEEL,LOW C-STL,LOW CARBON-STL,L/C STEEL,LOW-C STL
57,RUBBER,RBR,RUBB,RUB,R.B.R.,RUBR,RBR MAT,RUBBER MAT,RUBBER MATERIAL,RUB PIECE,R-B-R
58,CRMLY F22,CHROME MOLY F22,CHROMOLY F22,CR-MO F22,CHROME-MOLY F22,CR MOLY F22,CRM F22,CHRM-MLY F22,CRMOLY F22,CR-MOLY F22,CHROME MOLYBDENUM F22
59,SOFT_IRON,SOFT IRON,SI,S.I.,SFT IRN,SOFT-IRON,S IRON,SOFT IRN,SI MTL,SFT-IRN,SOFT_IRN
60,CARBON BRONZE,CB,C.B.,CARB BRZ,CARBON-BRZ,C BZ,CARBON BRNZ,CB BRZ,CARB BRNZ,CARBON BZ,CARB-BRONZE
61,DUCTILE IRON/CARBON STEEL,DI/CS,D.I./C.S.,DUCT IRON/CARB STL,DUCTILE-IRON/CARBON-STEEL,DI/CARBON STEEL,DUCTILE IRON/CS,D.I/CARB STL,DUCT-IRON/C-STL,DI-CS,DUCTILE/CARBON
62,F11,F-11,F.11,F 11,F11 ALLOY,F-11 STEEL,F11 STL,F11-STL,F.11.STL,GRADE F11,F11 GRADE
63,INCONEL 825,INC 825,INCL 825,INCONEL825,INC-825,IN-825,INCO 825,INCONEL GR 825,INCL GRADE 825,INCONNEL 825,INCONEL-825
64,CHROMOLY,CHROM,CRMLY,CR-MOLY,CHROME-MOLY,CHROM-MOLY,CR MOLY,CHROME MOLY,CHRM-MLY,CHROMOLOY,CROM-MOLY
65,CRMOLY,CR-MOLY,CHROME MOLY,CHROMOLY,CR MOLY,CHROME-MOLY,CRM,CR.MOLY,CROME MOLY,CHROM-MOLY,CR-MLY
66,CARBON STEEL STAINLESS STEEL,CS SS,C.S. S.S.,CARB STL STAIN STL,CARBON-STL SS STL,CS STAINLESS,CARBON STAINLESS,C-STL S-STL,CARBONSTEEL SS,CS STAIN STL,CARBON STL SS STL
67,BRONZE/STAINLESS STEEL,BRZ/SS,BRNZ/SS,BZ/SS,BRONZE/SS,BRONZE/S.S.,BRZ-SS,BRONZE-SS,BZ-STAINLESS,BRONZE/STAINLESS,BRZ/STAINLESS STL
68,DUPLEX,DPX,DPLX,DX,DUP,DUPLEX STL,DUPLX STEEL,DPX STL,D-PLEX,DUP-LEX,DUPLEX STEEL
69,LF2,LF-2,L.F.2,LF 2,L-F-2,LF.2,LOW FORGE 2,LOW-FORGE-2,L.FORGE.2,LOW FORGED 2,LF TWO
70,CARBON STEEL/DUPLEX,CS/DUP,C.S./DPX,CARB STL/DUPLEX,CARBON-STL/DUP,CS-DUPLEX,CARBON STL/DPX,C-STL/DUPLEX,CARBONSTL/DUP,CS/DUPLEX STL,CARBON/DPX
71,CF8M/F51,CF-8M/F-51,CF8M F51,CF-8M F-51,CF8M.F51,CF-8-M/F-51,CF.8M/F.51,CF8M-F51,CF8M_F51,CF8-M/F-51,CF.8.M/F.51
72,825,INCOLOY 825,UNS N08825,ALLOY 825,INC 825,I-825,INCLY 825,INCO 825,NICKEL 825,825 ALLOY,NI-825
73,2205,DUPLEX 2205,UNS S32205,DSS 2205,2205 DUPLEX,DUPLEX SS 2205,2205 SS,2205 STAINLESS,GRADE 2205,TYPE 2205,SS 2205
74,ALLOY 20,ALLOY_20,AL20,A20,A-20,ALLOY-20,AL-20,A.20,ALY20,ALLOY TWENTY,AL.20
75,BLACK,BLK,BK,BLCK,B.K.,BL-K,B-LK,BLAK,BLK-MTL,BLACK METAL,BLACK FINISH
76,BLACK IRON,BI,B.I.,BLK IRON,BLACK-IRON,B IRON,BLK IRN,BLK-IRON,BLACKIRON,BLK I,B-IRN
77,BUNA,BN,BUNA-N,BUNA N,B-N,BNA,BUN,BUNAN,BUNA-RUBBER,BUNA RUBBER,BUNA-R
78,BUNA-N,BUNA N,BN,B-N,B.N.,BUNA,BUNAN,BUNA-NITRILE,NITRILE,NBR,BUNA RUBBER
79,CERAMIC,CER,CERM,CRM,CRMC,CE RAM,CE-RAM,CERAM-IC,CERAMIK,CER PIECE,CERAM UNIT
80,CHROME IRON,CR IRON,CR-IRON,CR.IRON,CHROME-IRON,CHR IRON,CHROME FE,CR FE,CHROMIUM IRON,CR-FE,CHROM IRON
81,CHROME PLATED,CR PLATED,CHROME PLT,CR PLT,CR-PLATED,CHROME-PLATED,CHROME PLATE,CHR PLATED,CHROM PLT,CR.PLT,CHROME-PLT
82,CHROME-MOLY,CHROME MOLY,CR-MO,CR-MOLY,CHROMOLY,CHRM-MOLY,CHROME MOLYBDENUM,CR-MOLYBDENUM,CROM-MOLY,CHROM-MOLY,CHROMEMOLY
83,COPPER,CU,CPR,COPR,COP,C-U,CPR-MTL,COPPER METAL,CU PIECE,COPPER ITEM,CU-MTL
84,CHROME MOLY P11,CRMLY P11,CR-MO P11,CHROME MOLYBDENUM P11,CR MOLY P11,CRMLY-P11,CHROME-MOLY P11,CR.MO.P11,CHROMOLY P11,CRM P11,CR-MOLY-P11
85,CUSHION,CSHN,CUSHN,CSH,CUSH,CSHN PAD,CUSHIONING,CUSHON,CUSH PAD,CUSHION PAD,CSH PAD
86,EPR,ETHYLENE PROPYLENE RUBBER,E.P.R.,ETH-PROP-RUB,ETHYL PROP RUBBER,E P R,ETH-PRO-RUB,ETHYLENE-PROPYLENE,EPR RUBBER,ETH-PROP,EP RUBBER
87,FLURPLY,FLR,FLRP,FL-PL,FLU RPL,FLUR PLY,FLUR-PLY,F.P.,FLRPLY,FLPLY,FLP
88,GRAPHITE,GR,GRPH,GRAF,GRAFIT,GRA-ITE,GRAPHT,GRFT,G.R.,GR-ITE,GRAPH
89,GREE FASER,GF,G.F.,GREEFASER,GREE-FASER,G FASER,GREE FAS,GRE FASER,GREE FSR,G.FASER,GREEN FASER
90,HDPE POLYBUTYLENE,HDPE PB,HIGH DENSITY POLYBUTYLENE,HD-PB,H.D.P.E. PB,HDPE-PB,HIGH DENSITY PB,HD POLYBUTYLENE,HDPE POLY-B,H.D. POLYBUTYLENE,HIGH-DENSITY POLYBUTYLENE
91,HIGH PRESSURE,HP,H.P.,HIGH-PRESSURE,HI PRESSURE,H PRESSURE,HIGH PRESS,HI-PRESS,H-PRESS,HI PRESS,HIGH-PRESS
92,HIGH YIELD,HY,H.Y.,HIGH-YIELD,HI YIELD,H YIELD,HIGH YLD,HI-YLD,H-YLD,HI.YLD,HIGH.YLD
93,INCOLOY,INCLY,INC-LOY,IN-COL,INCOL,IN COLOY,INCO LOY,INCOLOY ALLOY,INCOLOY MTL,INCO-LOY,INCOLOY METAL
94,LEAD-FREE,PB-FREE,LEAD FREE,LF,L.F.,LD FREE,NO LEAD,NO-LEAD,LEADFREE,PB FREE,LEAD-FREE MATERIAL
95,MDPE,MEDIUM DENSITY POLYETHYLENE,MD PE,M.D.P.E.,MED DEN PE,MEDIUM-DENSITY PE,MD POLYETHYLENE,MEDIUM DENSITY PE,MED-DEN-PE,M D P E,MED.DEN.PE
96,MONEL,MONEL 400,MNL 400,M400,MONEL-400,MON-400,MONL 400,M.400,M-400,MONEL400,MNL400
97,NICKEL ALLOY 20,NA20,N.A.20,NICK ALY 20,NIC-ALLOY 20,NICKEL ALLOY-20,NA-20 ALLOY,NICKLE ALLOY 20,NICKEL ALY 20,NIC20 ALLOY,N/A-20
98,PE2406,PE-2406,PE 2406,P.E.2406,PE.2406,POLY 2406,POLYETHYLENE 2406,PE-2406 PIPE,PE2406 HDPE,2406PE,2406 PE
99,PE3408,PE-3408,PE 3408,PE.3408,PE_3408,POLY3408,POLYETHYLENE3408,POLY-3408,PE-3408-HDPE,PE3408HDPE,PE3408-POLY
100,PE4710,PE 4710,P.E. 4710,PE-4710,PE.4710,POLY PE4710,PE 4710 PIPE,PE4710 HDPE,HDPE PE4710,PE4710 POLY,POLYETHYLENE 4710
101,PE710,PE 710,PE-710,PE.710,P E 710,POLY 710,PE 710 PIPE,PE-710 PIPE,PE710 GRADE,PE-710 GRADE,POLYETHYLENE 710
102,PLASTIC,PLSTC,PL,PLAS,PLST,PLAST-IC,P LASTIC,PLASTC,P.L.,PLAS-TIC,PLSTK
103,PLATED,PLT,PLTD,PL.,P-TD,PLTED,PL-TD,P.L.T.,PLAT,PLATD,PLATING
104,PLYWOOD,PLY WOOD,PLY-WOOD,PLY WD,PLWD,P/W,PW,PLY.WD,PLYWD,P-WOOD,P.W.
105,POLY,POLYETHYLENE,PY,P.Y.,POLY-E,P E,POLYE,PE,P.E.,POLY MATERIAL,POLYMER
106,POLYBUTYLENE,PB,POLY-B,P.B.,POLYB,POLY BUTYLENE,POLY-BUTYLENE,P BUTYLENE,POLYBUTYL,POLY BUT,P-BUTYLENE
107,POLYETHYLENE,PE,P.E.,POLY,POLY-E,P-E,POLYETH,POLY ETH,PE PLASTIC,POLY-ETHYLENE,P.ETHYLENE
108,POLYMER,POLYM,PLY,POLYMR,POLY-MER,P MER,POLY MATERIAL,PLM,POLY-M,P.M.,POLY MTL
109,POLYPROPYLENE,PP,P.P.,POLYPROP,POLY-PROP,POLY PROP,PPE,POLY-P,P-PROP,POLYP,PPL
110,PP,POLYPROPYLENE,POLY PROPYLENE,POLY-PROPYLENE,P.P.,PPE,P-P,POLY P,POLYPROP,P PROP,POLY-P
111,QUARTZ,QTZ,QRTZ,Q.T.Z.,QURTZ,QUA RTZ,Q-TZ,QUART-Z,QRTZ PIECE,QUARTZ UNIT,QTZ ITEM
112,SILICONE,SI,SIL,SLCN,SLCNE,SI LICONE,SIL ICONE,SI-LICONE,SILICN,SILCONE,SILCON
113,STAINLESS,STAINLESS,SS,S.S.,STAIN,STNLS,STLSS,STLS,S/S,ST.STL,STANLESS
114,TEFLON_COATED,TEFLON COATED,TFE COATED,PTFE COATED,TEF-COATED,T COATED,TEFLON CTD,TFE CTD,TEFL-CTD,TEF COAT,T-COATED
115,THERMOPLASTIC,THERMO,TP,T.P.,THERM PLAS,THERMO-PLAS,T PLASTIC,THERMOPLAS,THRM PLSTC,THERMAL PLASTIC,THERM-PLASTIC
116,VITON,VIT,VTN,VI TON,V TON,V-TON,VIT-ON,VITN,V.T.,VT-N,VTON
117,VITON-A,VITON A,VIT-A,V-A,VITON_A,VIT.A,VITON TYPE A,VITON GRADE A,VITON-A GRADE,VIT A,VITON A TYPE
118,WAX,WAX,WX,W.X.,WAX MATERIAL,WAX MTL,WAX PIECE,WAX ITEM,WAX UNIT,WAX-MTL,W-X
119,ZINC PLATED,ZP,Z.P.,ZINC PLT,ZINC-PLATED,Z PLATED,ZNC PLTD,ZINC COATING,ZN PLATED,ZINC PLATE,Z-PLATED
120,LOW TEMP CARBON STEEL,LTCS,LOW-TEMP CS,LT CARBON STL,LOW TEMP C.S.,L.T.C.S.,LOW TEMPERATURE CS,LOW-T CARBON STEEL,LT CARB STL,LOW TEMP CARB STL,LOW-T C.S.
