,Primary Term,perm_1,perm_2,perm_3,perm_4,perm_5,perm_6,perm_7,perm_8,perm_9,perm_10
23,Y STRAINER,Y STR,Y-STR,Y-STRAINER,WYES,Y TYPE STRAINER,Y-TYPE STR,WHY STRAINER,Y STRAIN,YS,Y-S
24,REDUCING PIPE,RED PIPE,REDUCER PIPE,REDUC PIPE,RDC PIPE,RED PP,RDCR PIPE,REDUCING PIP,RED PPE,REDUCER PPE,RDC PPE
25,BACKUP RING,BU RING,B/U RING,BACK-UP RING,B.U. RING,BKUP RING,BUR,B-U RING,BACK UP RNG,B/U RNG,BKUP RNG
26,SPIRAL WOUND,SW,SP WND,SPRL WND,SWG,SP-WND,SPRL-WND,SPIRAL WOUND GASKET,SWG GASKET,SW GASKET,SPRL WOUND
27,SPIRAL,SPRL,SPR,SPRL WND,SPIRAL WOUND,SPIRAL-WOUND,SPRL-WND,SPR-WND,SP-WND,SWG,SW
28,RING,RNG,R,RINGO,RG,RINGS,RGING,RGS,RING JOINT,RJ,RNG JNT
29,ACTUATOR,ACT,ACTR,ACTUATR,ACTU,ACTUA,VALVE ACTUATOR,VLV ACT,V/ACT,ACT/V,ACTVR
30,ANGLE,ANG,ANGL,ANGV,ANGLE VALVE,ANG VLV,ANGVLV,ANGLVLV,ANG V,A.V.,ANGLEV
31,Y-STRAINER,Y STRAINER,Y-STR,YSTR,Y STR,Y-STRAIN,Y TYPE STRAINER,Y TYPE STR,Y.STR,Y/STR,WSTR
32,32. ATL TEE,ATLATERAL TEE,ASYMMETRICAL TEE,ATL T,A-TEE,ASYMMETRIC TEE,A-LATERAL,ASYMMETRICAL LATERAL TEE,A LAT TEE,ALAT T,A-LAT
33,BALL VALVE FULL PORT,BVFP,BV FP,FULL PORT BALL VALVE,FP BALL VALVE,BALL VLV FP,FP BALL VLV,FULL PORT BV,FP BV,F.P.B.V.,BALL VALVE F/P
34,BASKET,BSKT,BSK,BASK,BASKT,BASKET STRAINER,BSKT STRAINER,BSK STRAINER,BASK STRAINER,BASKT STRAINER,STRAINER BASKET
35,DUO CHECK,DUO CHK,DUO CK,DUAL CHECK,DUAL CHK,DUAL CK,DC VALVE,DC VLV,DUO CHECK VALVE,DUAL CHECK VALVE,DCV
36,FLOATING BALL,FLT BALL,FLOAT BALL,FLT BL,FLTG BALL,FLOATING BL,FB VALVE,F.B.,FLT B,FLOAT BL,F BALL
37,PTFE INSERT TEE,PTFE INS TEE,TFE INSERT TEE,TEFLON INSERT TEE,TEFLON INS TEE,PTFE LINED TEE,TFE LINED TEE,TEFLON LINED TEE,PTFE-LINED TEE,PTFE TEE,FLUOROPOLYMER TEE
38,RAISED FACE LONG WELD NECK FLANGE,RAISED FACE LONG WN FLANGE,RAISED FACE LWN FLANGE,RF LONG WELD NECK FLANGE,RF LWN FLANGE,RF LONG WN FLANGE,RAISED FACE LONG WELD NECK FLG,RF LONG WELD NECK FLG,RF LWN FLG,RFLWN FLANGE,RFLWN FLG
39,RAISED FACE SOCKETWELD FLANGE,RAISED FACE SW FLANGE,RAISED FACE SW FLG,RF SOCKETWELD FLANGE,RF SOCKETWELD FLG,RF SW FLANGE,RF SW FLG,RF-SW-FLG,RFSW FLANGE,RFSW FLG,RF-SW
40,RAISED FACE SOCKETWELD,RAISED FACE SW,RF SOCKETWELD,RF SW,RFSW,RF-SW,RF SOCKET WELD,RAISED FACE SOCKET WELD,RAISED FACE SKT WLD,RF SKT WLD,RFACE SW
41,REDUCING FLANGE,RED FLG,RED FLANGE,REDUC FLG,REDUC FLANGE,REDUCING FLG,RED. FLG,RED. FLANGE,REDUCER FLANGE,REDUCER FLG,RDC FLANGE
42,REDUCING INSERT TEE,RED INSERT TEE,REDUCER INSERT TEE,RED INS TEE,REDUCING TEE INSERT,RED TEE INSERT,RIT,REDIT,RED INS T,REDUCING INSERT T,REDUCER INS TEE
43,STANDARD,STD,STND,STAND,STNDR,STD.,STDRD,STNDRD,STANDARD WEIGHT,STD WT,STD WEIGHT
44,STRAIGHT,STRGHT,STR,STRT,STRGT,STRAGHT,STRAIT,STRT RUN,STR RUN,STRAIGHT RUN,STRG
45,STRAIGHT PIPE,STR PIPE,STRGHT PIPE,STRAIGHT PIP,STR PIP,PIPE STRAIGHT,PIPE STR,ST PIPE,STRGHT PIP,S PIPE,PIPE S
46,STRAINER,STRNR,STR,STRAIN,STRNR ASSY,STRAINER ASSEMBLY,FILTER,FILTR,FLTR,FTR,STRNR-ASSY
47,THREADED RAISED FACE FLANGE,THRD RF FLANGE,THD RF FLG,THREADED RF FLANGE,THD RAISED FACE FLG,THRD RAISED FACE FLANGE,RF THREADED FLANGE,RF THD FLG,RAISED FACE THD FLANGE,RAISED FACE THRD FLG,RF THRD FLG
48,TRUNNION BALL,TRUN BALL,TRUNN BALL,TRN BALL,TRUN BL,TB VLV,TRUN VLV,TRUNNION BV,TRUN B VLV,TRUNNION BALL VLV,TRUNNION BALL VALVE
49,POPPET CHECK,POPPET CHK,POP CHK,POPPET CHECK VALVE,POP CHECK VALVE,POPPET CHK VLV,POP CHK VLV,POPPET CV,POP CV,PCVA,P.C.V.
50,WAFER CHECK,WFR CHK,WAFER CHK,WFR CHECK VLV,WAFER CHECK VLV,WFR CHK VLV,WCV,W.C.V.,WAFER CK,WFR CK,WF CHK
51,WELD NECK RAISED FACE,WELD NECK RF,WN RF,WNRF,RAISED FACE WELD NECK,RF WELD NECK,RF WN,WELD NECK R.F.,WN R.F.,RAISED FACE WN,RF-WN
52,52 45 ELBOW,52 45 ELL,52 45° ELL,52 45 ELBOW,52 45° ELBOW,ELBOW 52 45,ELL 52 45,52 45DEG ELL,52 45DEG ELBOW,52-45 ELBOW,52-45 ELL
53,PUSH PULL TEE,PP TEE,P-P TEE,PUSH-PULL TEE,PUSH/PULL TEE,P/P TEE,PUSH & PULL TEE,PUSH&PULL TEE,PUSH-PULL T,PP T,P&P TEE
54,BALL CHECK,BALL CHK,BALL CK,B CHK,BCK,B CK,BALL CHECK VLV,BALL CHECK VALVE,BC VLV,BC VALVE,BCV
55,PUSH PULL,PSH PLL,PUSH-PULL,P-P,PUSH/PULL,P/P,P.P.,PUSHPULL,PSH-PLL,PSH/PLL,P PULL
56,FLOOR FLANGE,FL FLG,FLOOR FLG,FLR FLANGE,FLR FLG,FLG FLOOR,FLANGE FLOOR,FL. FLANGE,FL. FLG,FLOOR FLNG,FLR FLNG
57,GROUND JOINT UNION,GJ UNION,GROUND JT UNION,GRD JT UNION,GJ UNN,GRD JOINT UNN,GRND JT UNN,G.J. UNION,G.J.U.,GND JT UNION,GROUND JOINT UNN
58,REDUCER COUPLING,RED CPLG,RED COUPLING,REDUCING CPLG,REDUCING COUPLING,RED COUPLINGS,REDUCER CPLG,RED CPLNG,REDUCING CPLNG,RDCR CPLG,RDC CPLG
59,STREET 45 DEGREE ELBOW,STR 45 ELL,STR 45° ELL,STREET 45 ELL,STREET 45° ELL,STR 45 ELBOW,STR 45° ELBOW,STREET 45° ELBOW,45° STREET ELBOW,45 STR ELBOW,45° STR ELL
60,STREET 45 ELBOW,STR 45 ELL,STR 45° ELL,STR 45 ELBOW,STR 45° ELBOW,STREET 45 ELL,STREET 45° ELL,ELBOW STR 45,ELL STR 45,45 STR ELBOW,45° STR ELL
61,STREET 90 DEGREE ELBOW,STREET 90 DEG ELBOW,STREET 90° ELBOW,ST 90 DEG ELBOW,ST 90° ELBOW,STREET 90 ELL,STREET 90° ELL,ST 90 ELL,ST 90° ELL,STR 90 ELBOW,STR 90° ELL
62,STREET 90 ELBOW,STR 90 ELL,STR 90° ELL,STREET 90° ELBOW,STREET 90 ELL,STR 90 ELBOW,STREET ELBOW 90,90 STREET ELBOW,90° STREET ELL,90 STR ELBOW,90° STR ELL
63,FULL FACE,FF,F/F,F.F.,F-F,FULL-FACE,FULL FACED,F FACE,FULL/FACE,F/FACE,FULL.FACE
64,FLAT,FLT,FL,FLAT FACE,FF,F/F,F.F.,F-F,FLAT FC,FLAT FACED,F FACE
65,AIR VENT RELEASE,AIR VENT,AUTO AIR VENT,AIR RELEASE VALVE,AIR RELIEF VALVE,AIR VENT VALVE,AUTO AIR RELEASE,AIR RELEASE,AIR RELIEF,ARV,AV
66,AIR VENT VALVE,AV VALVE,AIR VNT VLV,AVV,A.V.V.,AIR VENT VLV,AIR RELEASE VALVE,AIR REL VLV,AIR RELIEF VALVE,AIR RLF VLV,VENT VALVE
67,CONTROL,CTRL,CNTRL,CONTRL,CNT,CTL,CNTL,CONT,CONTR,C-TRL,CTR
68,DRAIN TRAP,DRN TRAP,DRAIN TRP,DRN TRP,DRNTRAP,DRNTRP,D TRAP,D TRP,DTRP,D.TRAP,D.TRP
69,FLANGE NUT/BOLT SET,FLG NUT/BOLT SET,FLANGE BOLT SET,FLG BOLT SET,FLANGE FASTENER SET,FLG FASTENER SET,NUT AND BOLT SET,STUD BOLT SET,STUD AND NUT SET,FLANGE STUD SET,FLG STUD SET
70,NIPPLE ADAPTER,NIP ADPTR,NPADP,NIP ADP,NIPADP,NIPPLE ADPTR,NIP-ADP,NIPLE ADAPTER,NIPLE ADPTR,N-ADP,NADP
71,SIGHT FLOW INDICATOR,SFI,SIGHT GLASS,FLOW INDICATOR,SIGHT FLOW,FLOW SIGHT,S.F.I.,SIGHT FLW IND,FLOW SIGHT GLASS,SIGHT GLASS INDICATOR,FLOW SIGHT IND
72,SLEEVED PLUG,SLVD PLUG,SLV PLUG,SLEEVE PLUG,SLEEVED PLG,SL PLUG,SLVD PLG,SLV PLG,SLEEVE PLG,SL PLG,SLPLG
73,STUD AND NUT KIT,STUD & NUT KIT,STD & NUT KIT,STUD N NUT KIT,STUD/NUT KIT,S&N KIT,STUD NUT SET,STD/NUT SET,STUD/NUT ASSEMBLY,STUD AND NUT SET,STUD & NUT ASSEMBLY
74,STUD BOLT KIT,SB KIT,STD BLT KIT,STUD BLT KIT,SBK,STD BOLT SET,STUD SET,STUD/NUT SET,STUD AND NUT KIT,BOLT/NUT KIT,STUD/NUT KIT
75,STUD NUT SET,STD NUT SET,STUD & NUT SET,STUD AND NUT SET,STUD/NUT SET,STD/NUT SET,STUD N NUT SET,STUDNUT SET,STD & NUT SET,STUD-NUT SET,SNS
76,TANK FLANGE,TNK FLG,TANK FLG,TNK FLANGE,TK FLANGE,TK FLG,STORAGE TANK FLANGE,STORAGE TANK FLG,VESSEL FLANGE,VESSEL FLG,T-FLG
77,WEIR,WR,WIR,WER,WEIER,WYR,WEAR,WIER,W-R,W.R.,WYRE
78,RED RUBBER FLAT FACE,RED RBR FF,RED RUBBER FF,RR FF,RED RBR FLAT FACE,RRFF,RED RBR F/F,RED RUBBER F/F,RR F/F,RED RBR FLAT FCE,RED RUBBER FLAT FCE
79,BUSHING,BSH,BUSH,BSHG,REDUCER BUSH,REDUCING BUSH,RED BUSH,BUSHN,BSHING,BSHNG,BSG
80,CONE STRAINER,CONE STRNR,CONE STRN,CONE STR,CONE FILTER,CN STRAINER,CN STRNR,CN STRN,CONICAL STRAINER,CONICAL STRNR,CONICAL FILTER
81,HEX CSK PLUG,HEX COUNTERSUNK PLUG,HEXAGONAL COUNTERSUNK PLUG,HEX CS PLUG,HEX CSNK PLUG,HEXAGON CSK PLUG,HEX COUNTRSUNK PLUG,HEXAGONAL CSK PLUG,HEX COUNTER SUNK PLUG,HEXAGON COUNTER SUNK PLUG,HEX C/S PLUG
82,HEX HEAD BLIND FLANGE,HEX HD BLIND FLG,HEX HEAD BLIND FLG,HH BLIND FLANGE,HH BLIND FLG,HHBLIND FLANGE,HHBLIND FLG,HEX BLIND FLANGE,HEX BLIND FLG,HEX HD BL FLG,HH BL FLG
83,HEX PLUG,HEX PL,HEX PLG,HEXPLG,HX PLG,HXPLG,H PLG,HP,HEXAGONAL PLUG,HEX HEAD PLUG,HEX HD PLG
84,KNIFE GATE,KGV,KNFE GT,KNF GT,K.G.V.,KNIFE GT,KN GT,K GT,KNIFE-GATE,KNF-GT,K/G/V
85,MALE ADAPTER,MA,MALE ADPT,M ADAPTER,M ADPT,MALE ADP,M ADP,ML ADPT,MALE FITTING,M-ADPT,M.A.
86,RAISED FACE REDUCING FLANGE,RF REDUCING FLANGE,RF RED FLANGE,RF RED FLG,RAISED FACE RED FLANGE,RAISED FACE RED FLG,RF REDUCING FLG,RFRED FLG,RF RED,RAISED FACE REDUCER,RF REDUCER
87,RAISED FACE REDUCING THREADED FLANGE,RAISED FACE RED THD FLANGE,RAISED FACE RED THD FLG,RF REDUCING THREADED FLANGE,RF RED THREADED FLG,RF RED THD FLANGE,RF RED THD FLG,RF RTF,RFRTF,RF RED THRD FLG,RAISED FACE RED THRD FLG
88,REDUCING THREADED RAISED FACE FLANGE,RED THD RF FLANGE,RED THD RF FLG,REDUCING THD RF FLANGE,REDUCING THD RF FLG,RED THRD RF FLANGE,RED THRD RF FLG,REDUCING THREADED RF FLG,RED NPT RF FLANGE,RED NPT RF FLG,REDUCING NPT RF FLG
89,THREADED BUSHING,THD BUSHING,THRD BUSHING,THD BUSH,THRD BUSH,TH BUSH,THREADED BSH,THD BSH,THRD BSH,T BUSH,TB
90,90. BOLT SET,90° BOLT SET,90DEG BOLT SET,90 DEGREE BOLT SET,90 DEG BST,90° BST,90 BSET,90DEG BS,90° BS,90 BS,90 B/S
91,22-0.5 ELBOW,22-1/2 ELBOW,22.5 ELBOW,22-0.5 ELL,22-1/2 ELL,22.5 ELL,22-0.5° ELBOW,22-1/2° ELBOW,22.5° ELBOW,22-0.5° ELL,22-1/2° ELL
92,2-PIECE 22-0.5 DEGREE ELBOW,2PC 22-0.5 DEG ELL,2 PC 22-0.5° ELBOW,2-PC 22-0.5° ELL,2 PIECE 22-0.5° ELL,2-PIECE 22-0.5 DEG ELL,2PC 22-0.5° ELBOW,2 PC 22-0.5 DEG ELBOW,ELBOW 2PC 22-0.5°,ELL 2PC 22-0.5 DEG,2-PC 22-0.5 ELBOW
93,30 DEGREE ELBOW,30 DEG ELL,30° ELL,30 ELBOW,30° ELBOW,ELBOW 30,ELL 30,30 DEG BEND,30° BEND,30 DEG,30°
94,FABRICATED TEE,FAB TEE,FABRICATED T,FAB T,FABR TEE,FABR T,FABRICATED-TEE,FABRICATED T,FABRICATED-T,FAB-TEE,FAB-T
95,BACK UP FLANGE,BACKUP FLANGE,BACK-UP FLANGE,BUF,B/U FLANGE,B.U. FLANGE,BACK UP FLG,BACKUP FLG,B/U FLG,BU FLANGE,BU FLG
96,BACKUP FLANGE,BU FLANGE,BACKUP FLG,BU FLG,B/U FLANGE,B/U FLG,BACK-UP FLANGE,BACK-UP FLG,B.U. FLANGE,B.U. FLG,BKUP FLG
97,30 ELBOW 2-PIECE,30° ELBOW 2PC,30 DEG ELBOW 2-PC,30° ELL 2-PIECE,30 DEG ELL 2PC,2PC 30° ELBOW,2-PIECE 30 DEG ELL,2PC 30 DEG ELBOW,30° 2PC ELBOW,30 DEG 2-PC ELL,2-PC 30° ELL
98,MECHANICAL JOINT ADAPTER,MJ ADAPTER,MECH JT ADAPTER,MJ ADPTR,MECHANICAL JT ADPTR,MECH JOINT ADAPTER,MJ ADP,MECH JT ADP,MECHANICAL JOINT ADP,MJ-ADAPTER,MECH-JOINT-ADAPTER
99,WATER ANCHOR PIPE,WAP,WATER ANCHOR,W/A PIPE,WA PIPE,H2O ANCHOR PIPE,ANCHOR PIPE WATER,W.A.P.,H2O A/P,WATER A/P,W-A-P
100,2-PIECE ELBOW,2 PC ELBOW,2PC ELBOW,2-PC ELBOW,TWO PIECE ELBOW,TWO-PIECE ELBOW,2 PIECE ELL,2-PC ELL,2PC ELL,TWO PIECE ELL,TWO-PIECE ELL
101,BRANCH SADDLE,BRCH SDL,BR SDL,BRANCH SDL,BR SADDLE,BRCH SADDLE,BRNCH SDL,B SDL,SADDLE BRANCH,SDL BRANCH,B SADDLE
102,HAMMER LUG UNION,HAMMER UNION,HAMMER LUG,HMR LUG UNION,HMR UNION,HMR LUG,H/L UNION,H.L.U.,H L U,HLU,HL UNION
103,VALVE,VLV,V/V,VV,VALV,V,VAL,VLE,VL,VA,V.V.
104,VICTAULIC TRANSITION,VIC TRANS,VICTAULIC TRANS,VIC TRANSITION,VICT TRANS,VICT TRANSITION,VIC-TRANS,VICTAULIC-TRANS,VIC TRANSITION COUPLING,VICTAULIC TRANSITION COUPLING,VIC TRANS CPLG
105,THERMODYNAMIC TRAP,TD TRAP,THERMO TRAP,TDT,THERMODYNAMIC STEAM TRAP,TD STEAM TRAP,THERMO-DYNAMIC TRAP,T/D TRAP,DISC TRAP,THERMODYNAMIC DISC TRAP,T.D. TRAP
106,VOLUME BOOSTER,VOL BOOSTER,VOL BOOST,V BOOSTER,V-BOOST,VB,V.B.,VOLM BOOSTER,VOLM BOOST,V BOOST,VOL BST
107,TUBE,TUB,TB,TUBING,TBG,TUBULAR,T.B.,T.U.B.E.,TBING,TBE,TUBES
108,STUD AND NUT SET,STUD & NUT SET,STUD AND NUTS,STUD & NUTS,STUD/NUT SET,STUD/NUTS,STD & NUT,S&N SET,S/N SET,STUD/NUT ASSEMBLY,STUD-NUT SET
109,GLOBE PLUG,GLB PLG,GL PLG,GLOBE PLG,GL PLUG,G PLG,GLB PL,GB PLG,GLBE PLG,GLB PLUG,G PLUG
110,PISTON CHECK,PIST CHK,PST CHK,PSTN CHK,PISTON CHK VLV,PIST CHECK VLV,PISTON CHK VALVE,P.C.V.,PSTN CHECK,PST CHECK,PIST CK
111,DUAL PLATE CHECK,DPCV,DL PLT CK,DP CK,D.P.C.V.,DL PLT CHK,DUAL PLT CHECK,DUAL PLATE CK,DP CHECK,DPC VALVE,DUAL CHECK
112,RAISED FACE,RF,R/F,R.F.,R F,R-F,RFACE,RAISED FCE,RSD FACE,RSDFACE,R.FACE
113,SOCKETWELD,SW,SCKT WLD,SKT WLD,S/W,SOCKET WELD,SCKT WELD,S.W.,SKT-WLD,SCKT-WLD,S-W
114,FLAT RING,FR,FLT RNG,FLAT RNG,F/R,F.R.,F-R,FLAT-RING,FLAT/RING,F RING,FLT RING
115,ALARM CHECK,ALARM CHK,ALRM CHK,ALM CHK,ALARM CHECK VLV,ALARM CHECK VALVE,ALM CHECK VALVE,ALRM CHK VLV,A.C.V.,ACV,ALARM CK
116,ALARM VALVE,ALRM VLV,ALM VLV,ALARM VLV,A VLV,ALRM V,ALM V,AL VLV,A.V.,ALRM VALVE,AL V
117,MOUNTING GAUGE,MTG GAUGE,MOUNT GAUGE,MNT GAUGE,MTG GA,MOUNT GA,MNT GA,MOUNTING GG,MTG GG,MNT GG,M GAUGE
118,CROSS GASKET,CROSS GSK,X GSK,CROSS-GSK,X-GSK,CROSS SEAL,X SEAL,XGSK,X-G,CROSS-G,CROSS G
119,SPIRAL WOUND CROSS,SW CROSS,SWG CROSS,SPRL WND CROSS,SPIRAL WND CROSS,SP WND CROSS,SPW CROSS,SPC CROSS,SPWC,SWGC,SW-CROSS
120,NON-ASBESTOS,NON ASBESTOS,NON-ASB,NON ASB,N-A,NA,N/A,ASBESTOS FREE,ASB FREE,ASB-FREE,NON ASBESTOS MATERIAL
121,IRON PIPE,IP,I PIPE,I-PIPE,IRON PIP,I.P.,FE PIPE,IRON PPE,I.PIPE,IRN PIPE,IRON P
122,MOUNT,MTN,MNT,MTG,MOUNTING,MNTG,MT,MOUNTER,MOUNTED,MOUNTINGS,MNTS
123,BALL VALVE REDUCED PORT,BALL VLV RED PORT,BALL VLV RP,BV RED PORT,BV RP,BVRP,RED PORT BALL VLV,RP BALL VLV,REDUCED PORT BV,RP BV,BALL VALVE RP
124,REDUCED PORT BALL,RED PORT BALL,RP BALL,REDUCED PORT BALL VALVE,RED PORT BALL VALVE,RP BALL VALVE,RPBV,RPB,RED PORT BV,REDUCED PORT BV,R.P.B.V.
125,STEAM AIR VENT,STM AIR VENT,STEAM VENT,STM VENT,AIR VENT,STEAM A/V,STM A/V,S.A.V.,SAV,STEAM AV,STM AV
126,CLOSURE,CLSR,PIPE CLOSURE,END CLOSURE,CLR,CLS,CLOSR,PIPE CLSR,END CLSR,CLSURE,PIPING CLOSURE
127,SIMPLE,SIMP,SMPL,SMP,SIM,SIMPL,BASIC,STD,STANDARD,PLAIN,REGULAR
128,CROSS GROOVE INSERT,CGI,CROSS GRV INSERT,CROSS GROOVE INSRT,CROSS-GROOVE INSERT,CG INSERT,CROSS GRV INSRT,C/G INSERT,C.G.I.,CROSS-GRV INSERT,CRS GRV INSERT
129,COVER,CVR,COVR,COV,CVER,PLATE COVER,CLOSURE,CAP COVER,BLIND COVER,ACCESS COVER,PROTECTIVE COVER
130,Y-BALL CHECK,Y BALL CHK,Y-BALL CHK,Y BALL CHECK VLV,Y-BALL CHECK VLV,Y-BALL CHK VLV,YBC,Y.B.C.,Y BALL CV,Y-B-C,Y/B/C
131,WELD NECK RTJ FLANGE,WN RTJ FLANGE,WELD NECK RTJ FLG,WN RTJ FLG,RTJ WELD NECK FLANGE,RTJ WELD NECK FLG,RTJ WN FLANGE,RTJ WN FLG,WNRTJ FLANGE,WNRTJ FLG,WN-RTJ FLANGE
132,FLEXITALLIC,FLEXITALIC,FLEXI,FLX,FLEX-GSK,FLEXITALLIC GSK,FLEX GASKET,FLEXITALLIC SEAL,FLEX SEAL,FLX GSK,FLEX-SEAL
133,FLURPLY,FLURPLY,FLP,FLPLY,FLPL,FL PLY,FL-PLY,F.P.,F/P,FL.PLY,FL/PLY
134,WELD NECK RF,WN RF,WELD NECK RAISED FACE,WN RAISED FACE,RF WELD NECK,RF WN,RAISED FACE WELD NECK,RAISED FACE WN,W/N RF,WELD-NECK RF,W.N. RF
135,OVAL RING,OVAL RNG,OV RING,OV RNG,OVAL R,OVL RING,OVL RNG,O RING,O RNG,O-RING,O/RING
136,Y GLOBE,Y GLB,Y-GLOBE,Y PATTERN GLOBE,Y-PATTERN GLOBE,Y TYPE GLOBE,Y-TYPE GLOBE,Y GLOBE VALVE,Y-GLOBE VALVE,YGLOBE,Y GLV
137,HAMMER UNION,HAMR UNION,HAMMER UN,HAMR UN,HMR UNION,HMR UN,HAMMER U,HAM UNION,HAM UN,H UNION,HU
138,THREADED TEE,THD TEE,THRD TEE,THREAD TEE,T-TEE,SCREWED TEE,SCR TEE,NPT TEE,THRD T,THD T,SCR T
139,BELL COUPLING,BELL CPLG,BL CPLG,BELL CPL,BL CPL,BELL-CPLG,B/CPLG,BELL COUPL,BL COUPL,B.CPLG,BELL-CPL
140,FLANGE RING,FLG RING,FL RING,FLNG RNG,FLG RNG,FL RNG,FLANGE RNG,F/RING,F RING,F.RING,F/RNG
141,RING FLANGE,RNG FLG,RING FLG,RNG FLANGE,R/FLG,R.FLG,R-FLG,RING-FLG,RING-FLANGE,R FLANGE,R/FLANGE
142,STUB FLANGE,STUB FLG,STB FLANGE,STB FLG,STUBBED FLANGE,STUBBED FLG,STUB-FLG,STB-FLG,STUB-FLANGE,STB-FLANGE,STUB
143,TAPER NIPPLE,TAPERED NIPPLE,TAP NIPPLE,TPR NIPPLE,REDUCING NIPPLE,RED NIPPLE,REDUCER NIPPLE,TP NIPPLE,TAP NIP,TPR NIP,RED NIP
144,ELBOWOLET,ELBOW-O-LET,ELBOWLET,ELBOW-LET,ELBOW O LET,ELB-O-LET,ELBL,ELBOW OLET,ELBOW-OLET,ELBOLET,ELB OLET
145,ELBOWELDOLET,ELBOW WELDOLET,ELB WELDOLET,ELBO WELDOLET,ELBOWLET,EBWLT,EBW,ELBOW W/O,ELBOW W.O.,ELB W/O,ELB W.O.
