,Primary Term,perm_1,perm_2,perm_3,perm_4,perm_5,perm_6,perm_7,perm_8,perm_9,perm_10
20,LW,LIGHT WALL,LTWT,LGHT WLL,L/W,L.W.,L-W,LITE WALL,LT WALL,LIGHT-WALL,LIGHTWALL
21,DR26,DR 26,DR-26,D.R.26,D R 26,DR.26,DIM RAT 26,DIMENSION RATIO 26,D/R 26,DIM.RATIO.26,DIMENSION.RATIO.26
22,SIDR 19,SIDR19,SDR-19,SDR 19,SIDR-19,SI-19,SI19,SIDR.19,S.I.D.R.19,STANDARD IPS DR 19,STANDARD INSIDE DIAMETER RATIO 19
23,SCHEDULE 40,40,SCH 40,S40,SCHED40,SCH-40,SCHDL40,SCH. 40,SCHEDULE FORTY,T40,SCHEDULE-40
24,SCHEDULE 80,80,SCH 80,S80,SCHED80,SCH-80,SCHEDULE EIGHTY,SCH. 80,SCHED 80,SCHDL80,S-80
25,SCHEDULE,SCH,SCHED,SCHD,SCHDL,SCHEDUAL,SCHEDLE,SKED,SCHEDL,SCHED.,SCH.
26,SCHEDULE XS,XS,SCH XS,SCHED XS,SCH-XS,EXTRA STRONG,XSTRONG,X-STRONG,X.S.,EXTRA STR,X STRONG
27,SIDR-11.5,SIDR11.5,SIDR 11.5,SDR-11.5,SDR 11.5,S-11.5,SIDR 11-5,SDR11.5,STANDARD INSIDE DIAMETER RATIO 11.5,S.I.D.R 11.5,S.I.D.R-11.5
28,SCHEDULE HD,HD,SCH HD,SCHED HD,SCH-HD,HD SCH,HEAVY DUTY,HEAVY DUTY SCHEDULE,HD SCHEDULE,HEAVY-DUTY,H/D
29,FS,F-S,F/S,F.S,F S,F.S.,F-S-,FS-,F_S,FULL SIZE,FULL-SIZE
30,3000A,3000 A,3000-A,3000 CLASS A,3000A CLASS,CLASS 3000A,CL 3000A,CLS 3000A,3M-A,3MA,3000 SERIES A
31,SCHEDULE 31.0.062,31.0.062,SCH 31.0.062,SCHED 31.0.062,SCH-31.0.062,SCHEDULE-31.0.062,31.062,SCH 31.062,SCHEDULE 31.062,31-0-062,SCH 31-0-062
32,SCHEDULE,SCH,SCHED,SCHD,SCHDL,SCHEDL,SCH.,SCHED.,SCHEDULED,SCHEDULE-,SCHEDUAL
33,SCHEDULE XXS,XXS,SCH XXS,SCHED XXS,SCH-XXS,DOUBLE EXTRA STRONG,DOUBLE X STRONG,DBL EXTRA STRONG,2XS,SCHEDULE DOUBLE EXTRA STRONG,SCH DBL X STRONG
34,MEDIUM,MED,MEDM,MDM,MED.,M.E.D,MD,MEDIUM WALL,MED WALL,MDM WALL,MEDM WALL
35,SCHEDULE,.688W,0.688W,688W,688 WALL,.688 WALL,0.688 WALL,SCHEDULE .688,SCH .688,SCHED .688,SCHEDULE 688
36,SCHEDULE 188 WALL,.188W,188W,0.188W,188 WALL,.188 WALL,0.188 WALL,188-W,.188-W,WALL 188,WALL .188
37,SCHEDULE 10,10,SCH 10,S10,SCHED10,SCH10,SCHDL10,SCH. 10,SCH-10,SCHEDULE TEN,SCHEDULE-10
38,0.188W,0.188 WALL,.188W,.188 WALL,188W,188 WALL,0.188 W,WALL 0.188,WALL.188,W0.188,W.188
39,HEAVY,HEAVY,HVY,HVY.,H/W,H.W,H.W.,HEAVY WALL,HVY WALL,HEAVY-WALL,HVY-WALL
40,SCHEDULE,.594W,0.594W,0.594 WALL,.594 WALL,594W,594 WALL,WALL .594,WALL 0.594,W.594,W-594
41,0.25,1/4,0.250,.25,"0,25",ONE QUARTER,QUARTER,POINT TWO FIVE,POINT 25,25%,TWENTY FIVE HUNDREDTHS
42,SCHEDULE,SCH,SCHED,SCHD,SCH.,SCHED.,SCHEDL,SCHDL,SCHEDULED,SCHEDUAL,SCHEDLE
43,SCHEDULE,SH,SCH,SCHD,SCHED,SCHDL,SCHED.,SCH.,SCHEDL,SCHEDULE,SCHEDUL
44,SCHEDULE .035W,.035W,0.035W,.035 WALL,0.035 WALL,35/1000 WALL,35 MIL WALL,.035 WALL THICKNESS,35 THOUSANDTHS WALL,WALL .035,WALL 0.035
45,CTS,CTS,C.T.S.,C T S,COPPER TUBE SIZE,COPPER TUBING SIZE,COPPER-TUBE-SIZE,COPPER.TUBE.SIZE,CPR TUBE SIZE,Cu TUBE SIZE,CU.T.S
46,SCHEDULE 4.7S,4.7S,SCH 4.7S,S4.7S,SCHED4.7S,SCH-4.7S,4.7-S,SCHED 4.7S,SCH. 4.7S,SCHEDULE4.7S,S-4.7S
47,SDR7.4,SDR 7.4,SDR-7.4,SDR 07.4,"SDR7,4","SDR 7,4","SDR-7,4",S.D.R.7.4,S.D.R 7.4,S/D/R/7.4,STANDARD DIMENSION RATIO 7.4
48,SCHEDULE 48,48,SCH 48,S48,SCHED48,SCH48,SCHDL48,SCH. 48,SCH-48,SCHEDULE FORTY EIGHT,SCH FORTY EIGHT
49,SDR9.3,SDR 9.3,SDR-9.3,SDR.9.3,S.D.R.9.3,SDR 09.3,S-D-R-9.3,STANDARD DIMENSION RATIO 9.3,STD DIM RATIO 9.3,SDR NINE POINT THREE,SDR9.30
50,SDR7.3,SDR 7.3,SDR-7.3,SDR 07.3,SDR7.3,S.D.R.7.3,SDR-07.3,STANDARD DIMENSION RATIO 7.3,STD DIM RATIO 7.3,S.D.R 7.3,SDR SEVEN POINT THREE
51,SINGLE WALL,SNGL WALL,SINGL WALL,S/WALL,SINGLE-WALL,SNGL-WALL,SGL WALL,SINGLE-W,SW,S-WALL,1-WALL
52,SDR32.5,SDR 32.5,SDR-32.5,SDR.32.5,SD32.5,SDR 32.5,S.D.R.32.5,SDR-32-5,SDR32-5,SD-32.5,SDR THIRTY TWO POINT FIVE
53,SDR 26,SDR26,SDR-26,SDR.26,SDR 026,SDR-026,S.D.R.26,S.D.R 26,S-D-R-26,STANDARD DIMENSION RATIO 26,STD DIM RATIO 26
54,SDR5,SDR 5,SDR-5,SDR.5,S.D.R.5,SDR FIVE,SD-R5,SDR 05,SDR-05,S-D-R-5,STANDARD DIMENSION RATIO 5
55,SDR15.5,SDR 15.5,SDR-15.5,SDR 15-5,SDR-15-5,S.D.R 15.5,S.D.R-15.5,"SDR15,5",SDR 15,SDR-15,SDR FIFTEEN POINT FIVE
56,SCHEDULE 40,40,SCH 40,S40,SCHED40,SCH40,SCHDL40,SCH. 40,SCH-40,SCHEDULE FORTY,SCH FORTY
57,SDR21,SDR 21,SD-R21,SDR-21,S.D.R.21,SDR.21,SD R 21,STANDARD DIMENSION RATIO 21,STD DIM RATIO 21,SDR TWENTY ONE,S-D-R-21
58,NON PRESSURE,NP,NON-PRESSURE,NONPRESSURE,NO PRESSURE,N/P,NO-PRESSURE,NO PRESS,NON PRESS,NON-PRESS,N-P
59,DR11.5,DR 11.5,DR-11.5,SDR11.5,SDR 11.5,SDR-11.5,DIMENSION RATIO 11.5,STANDARD DIMENSION RATIO 11.5,DR11-5,SDR11-5,D.R.11.5
60,60. 0.035W,60 .035W,60 0.035 WALL,60 35 WALL,60 WALL 0.035,60 WALL .035,60/0.035W,60/.035W,60 35W,60-0.035 WALL,60 35 MIL WALL
61,17 GAUGE,17GA,GA17,17-GA,GA-17,17 GA,GA 17,GAUGE 17,17G,G17,17 G
62,17 GAUGE,17GA,17 GA,17-GA,17 G,GA17,GA 17,GA-17,GAUGE 17,17-GAUGE,17 G.A.
63,SDR5.5,SDR 5.5,SDR-5.5,"SDR5,5","SDR 5,5",SDR 5 1/2,S.D.R.5.5,SDR5½,SDR-5½,SDR 5½,STANDARD DIMENSION RATIO 5.5
64,DR9.3,DR 9.3,DR-9.3,D.R.9.3,DR.9.3,D.R. 9.3,DIMENSION RATIO 9.3,SDR9.3,SDR 9.3,S.D.R.9.3,STANDARD DIMENSION RATIO 9.3
65,SCHEDULE 65,65,SCH 65,S65,SCHED65,SCH-65,.065W,065 WALL,65 WALL,.065 WALL,SCHEDULE .065
66,HEAVY DUTY,HD,H/D,H-D,H.D,HVY DUTY,HVY-DUTY,HEAVY-DUTY,HVY.DUTY,HEAVY.DUTY,HEAVYDUTY
67,SCHEDULE 67.7,67.7,SCH 67.7,S67.7,SCHED67.7,SCH-67.7,SCHEDULE-67.7,SCHED 67.7,SCH. 67.7,SCHEDULE SIXTY SEVEN POINT SEVEN,SCH SIXTY SEVEN POINT SEVEN
68,SCHEDULE,SCH,SCHED,SCHDL,SCHEDL,SCHD,SCHEDULE-,SCH.,SCHED.,SCHEDULED,SCHEDUAL
69,SCHEDULE 69,69,SCH 69,S69,SCHED69,SCH-69,SCHDL69,SCH. 69,SCHED-69,SCHEDULE-69,SCHEDULE SIXTY NINE
70,SCHEDULE 70,70,SCH 70,S70,SCHED70,SCH-70,SCHEDULE SEVENTY,SCH SEVENTY,SCHED-70,SCHEDULE-70,S/70
71,SCHEDULE .250W,.250W,0.250W,250W,SCH .250W,SCHEDULE .250 WALL,.250 WALL,250 WALL,1/4 WALL,QUARTER WALL,0.250 WALL
72,SCHEDULE .218W,.218W,SCH .218W,SCHED .218W,SCHEDULE-218W,.218 WALL,218W,SCH 218W,SCHED-218W,SCH.218W,218 WALL
73,20 GAUGE,20GA,20 GA,20-GA,20 GA.,GA 20,GA. 20,GAUGE 20,20G,20-GAUGE,20 G
74,18GA,18 GA,18 GAUGE,GA18,GAUGE 18,18-GA,18-GAUGE,GA-18,GAUGE-18,18 G,G18
75,SCHEDULE 38P,38P,SCH 38P,S38P,SCHED38P,SCH-38P,SCHEDULE-38P,SCH. 38P,38-P,SCHED 38-P,SCHEDULE THIRTY EIGHT P
76,SCHEDULE 40,40,SCH 40,S40,SCHED40,SCH40,SCHDL40,SCH. 40,SCH-40,S-40,SCHD40
77,SCHEDULE .083W,.083W,0.083W,.083 WALL,0.083 WALL,83/1000W,SCH .083W,SCHED .083W,SCHEDULE 0.083W,83 THOUSANDTHS WALL,.083 WALL THICKNESS
78,0.035,.035,35 THOU,35 THOUSANDTHS,"0.035""",".035""",35 MIL,35THOU,35 THOUSANDS,35/1000,0.035 INCH
79,SCHEDULE .095W,.095W,095W,SCH .095W,SCHED .095W,SCH.095W,0.095W,095 WALL,.095 WALL,SCHEDULE 095W,SCHEDULE .095 WALL
80,SCHEDULE 80,80,SCH 80,S80,SCHED80,SCH80,SCHDL80,SCH. 80,SCH-80,SCHEDULE EIGHTY,SCH EIGHTY
81,SCHEDULE .109W,.109W,SCH .109W,SCHED .109W,SCHEDULE 109W,SCH 109W,.109 WALL,109 WALL,0.109 WALL,109W,WALL 109
82,0.065W,0.065 WALL,.065W,.065 WALL,65W,065W,0.065 W,.065 W,65 WALL,065 WALL,WALL 0.065
83,SCHEDULE 40S,40S,SCH 40S,S40S,SCHED40S,SCH-40S,SCHEDULE40S,SCH. 40S,SCHEDULE FORTY S,40-S,S-40S
84,0.083W,0.083 WALL,.083W,.083 WALL,083W,083 WALL,0.083-W,0.083 W,83W,WALL 0.083,W0.083
85,0.049W,049W,0.049 WALL,.049W,049 WALL,0.049 W,.049 WALL,0.049-W,049-W,0.049WALL,049 W
86,SCHEDULE 5S,.028W,0.028W,0.028 WALL,.028 WALL,28 THOU WALL,028 WALL,28 MIL WALL,"0.028"" WALL",".028"" WALL",28THOU
87,SCHEDULE,SCH,SCHED,SCHEDL,SCHDL,SCHD,SCHEDULE-,SCH.,SCHED.,SCHEDULED,SCHEDUAL
88,0.065,"0.065""",065,.065,65 THOU,65 THOUSANDTHS,0.065 WALL,.065 WALL,65 MIL,0.065 INCH,65 THOUSANDTHS OF AN INCH
89,SCHEDULE .120W,.120W,SCH .120W,SCHED .120W,SCH 120W,SCHEDULE 120W,120 WALL,.120 WALL,120 WALL SCHEDULE,SCH-120W,SCHED-120W
90,SCHEDULE 90,90,SCH 90,S90,SCHED90,SCH-90,SCHEDULE NINETY,SCH NINETY,SCHED-90,SCHEDULE-90,SCHDL90
91,SCHEDULE 40,40,SCH 40,S40,SCHED40,SCH40,SCHDL40,SCH. 40,SCH-40,SCHEDULE FORTY,STANDARD WALL
