primary_term,permutation_1,permutation_2,permutation_3,permutation_4,permutation_5,permutation_6,permutation_7,permutation_8,permutation_9,permutation_10,permutation_11,permutation_12,permutation_13,permutation_14,permutation_15,permutation_16,permutation_17,permutation_18,permutation_19,permutation_20,permutation_21,permutation_22
SPIRAL WOUND GASKET,SWG,SPWD,SWGSK,SPIRALW,SPW GSK,SPWG,SPIRG,SPRGSK,SWDG,SPWND,,,,,,,,,,,,
RING GASKET,RNG GSK,RGK,RNGGSK,,,,,,,,,,,,,,,,,,,
FULL FACE GASKET,FFGSK,FF GSK,FULL GSKT,,,,,,,,,,,,,,,,,,,
FLANGE INSULATION GASKET,INSUL GSK,INSGSK,INS GSK,,,,,,,,,,,,,,,,,,,
HEX BOLT,HEXB,HXBLT,HEXBL,HX BLT,HXBT,HEXBT,HBOLT,HXBOL,HXBOLT,HEX BT,H.B.,H-B,HB.,HEX.B.,H.BT.,HB.B.,HX.,H-BT,HEX-B,HEX HEAD,,
UNION HEAD, UNION H,U H,,,,,,,,,,,,,,,,,,,,
STUD BOLT,STDB,STDBT,STUDB,STD BLT,STDBT,STUDBT,SBOLT,STBOL,STBOLT,STD BLT,STUD BLT,S BOLT,STUDBOLT,,,,,,,,,
EYE BOLT,EYE B,EYEB,EYBT,EYEBL,EY BLT,EYBT,EYEBT,EBOLT,EYBOL,EYBOLT,EYE BT,E/B,,,,,,,,,,
U BOLT,UBLT,UBOLT,UBT,U BLT,UBLT,UBLT,UBOL,UBLTS,UBOLT,U-BOLT,,,,,,,,,,,,
ANCHOR BOLT,ANCB,ANBT,ANCHB,ANC BLT,ANCBT,ANCHBT,ABOLT,ANBOL,ANBOLT,ANCORBOLT,,,,,,,,,,,,
SOCKOLET,SOL,S-O-L,S O L,SOCKET WELD OUTLET,SW OUTLET,S.O.,SOCK O LET,,,,,,,,,,,,,,,
WELDOLET,WOL,W-O-L,W O L,WELDED OUTLET,WLD OUTLET,WELD O LET,,,,,,,,,,,,,,,,
THREADOLET,TOL,T-O-L,T O L,THREADED OUTLET,THD OUTLET,THREAD O LET,,,,,,,,,,,,,,,,
ELBOLET,EOL,E-O-L,E O L,ELBOW OUTLET,,,,,,,,,,,,,,,,,,
BALL VALVE,BV,B VLV,BALV,BALL,BALL VLV,,,,,,,,,,,,,,,,,
GATE VALVE,GV,G VLV,GATE,GATE VLV,,,,,,,,,,,,,,,,,,
GLOBE VALVE,GLV,GL VLV,GLOBE VLV,,,,,,,,,,,,,,,,,,,
CHECK VALVE,CV,CH VLV,CHCK VALVE,CHECK,,,,,,,,,,,,,,,,,,
BUTTERFLY VALVE,BFV,BF VLV,BFLY VLV,BFLY,B.F.V.,BF-V,,,,,,,,,,,,,,,,
SANITARY BALL VALVE,SBV,S-BV,SANBV,SANBALL,BV-SAN,SAN-BALL,SAN BALL VLV,S.B.V.,SAN-BV,SANITARY BV,SAN B VLV,,,,,,,,,,,
HIGH PRESSURE BUTTERFLY VALVE,HPBFV,HP-BFV,HPBFLY,BFVHP,BFV-HP,HP-BTRFLY,HP BFLY VLV,H.P.B.V.,HP-BFLY,HP BUTTERFLY,HP B VLV,HP BTRFLY,HP/BFV,HPBV,,,,,,,,
CRYOGENIC GATE VALVE,CRYOGV,CRYO-GV,CRYOGATE,GV-CRYO,CRYOG,CRYO GATE VLV,C.G.V.,CRYO-G,CRYO GATE,CRY G VLV,CRY/GV,CGV,CRY GV,C/GV,CRYV,,,,,,,
EXTENDED BODY GATE VALVE,EBGV,EXT-GV,EXTGV,GV-EXT,EXTBODY,EXT BODY GV,E.B.G.V.,EXT-BODY,EXT GATE,EXT B VLV,EB/GV,,,,,,,,,,,
HOSE BIBB VALVE,HBV,HOSE BIB VLV,H.B.V.,H-B-V,,,,,,,,,,,,,,,,,,
NEEDLE VALVE,NDL,NV,NDLV,NEE-V,NDLVLV,NDL VLV,N.V.,N-V,NDL VL,NDL.,N/V,NDL/V,NE-V,,,,,,,,,
NON-RETURN VALVE,NRV,NR,NRVALVE,NON-RET,N.R.V.,N-R-V,NON-RET VLV,,,,,,,,,,,,,,,
11 1/4 DEG ELBOW,11 1/4 ELBOW,11 1/4 ELL,11 1/4° ELBOW,11 1/4° ELL,,,,,,,,,,,,,,,,,,
22 1/2 DEG 3R ELBOW,22 1/2 ELBOW 3R,22 1/2 3R ELL,22 1/2 ELL 3R,22 1/2° ELBOW 3R,22 1/2° 3R ELL,22 1/2° ELL 3R,,,,,,,,,,,,,,,,
22 1/2 DEG ELBOW,22 1/2 ELBOW,22 1/2 ELL,22 1/2° ELBOW,22 1/2° ELL,,,,,,,,,,,,,,,,,,
30 DEG 3R ELBOW,30 ELBOW 3R,30 3R ELL,30 ELL 3R,30° ELBOW 3R,30° 3R ELL,30° ELL 3R,,,,,,,,,,,,,,,,
30 DEG ELBOW,30 ELBOW,30 ELL,30° ELBOW,30° ELL,,,,,,,,,,,,,,,,,,
3R 45 DEG ELBOW,3R 45,3R 45 ELL,45 ELL 3R,45 DEG ELL 3R,ELL 3R 45,3R 45°,3R 45° ELL,45° ELL 3R,ELL 3R 45°,,,,,,,,,,,,,
3R 90 DEG ELBOW,3R 90,3R 90 ELL,3R 90 DEG ELL,,,,,,,,,,,,,,,,,,,
5R 45 DEG ELBOW,5R 45 ELL,5R 45° ELL,5R 45 ELBOW,5R 45° ELBOW,ELBOW 5R 45,ELL 5R 45,,,,,,,,,,,,,,,,
5R 90 DEG ELBOW,5R 90 ELL,5R 90° ELL,5R 90 ELBOW,5R 90° ELBOW,ELBOW 5R 90,ELL 5R 90,,,,,,,,,,,,,,,,
60 DEG 3R ELBOW,3R 60 ELL,3R 60° ELL,3R 60 ELBOW,3R 60° ELBOW,ELBOW 3R 60,ELL 3R 60,,,,,,,,,,,,,,,,
60 DEG ELBOW,60 ELL,60° ELL,60 ELBOW,60° ELBOW,ELBOW 60,ELL 60,,,,,,,,,,,,,,,,
ADAPTER,ADPT,,,,,,,,,,,,,,,,,,,,,
AFR BACKUP FLANGE,DIBU,DUCTILE IRON BACKUP FLANGE,AFR BU FL,AFR BACK UP,AFR B/U,AFR BU,AFR B U,AFR BCK UP,,,,,,,,,,,,,,
BACK FERRULE,BK FER,BACK FER,,,,,,,,,,,,,,,,,,,,
BOSS,,,,,,,,,,,,,,,,,,,,,,
BOSS WITH LIP,BOSS W LIP,BOSS W/L,,,,,,,,,,,,,,,,,,,,
BULKHEAD ADAPTER,BLKHD ADPT,BKHD ADP,,,,,,,,,,,,,,,,,,,,
BULKHEAD CONNECTOR,BLKHD CONN,BKHD CON,,,,,,,,,,,,,,,,,,,,
BULKHEAD UNION,BKHD UN,BLKHD UN,BLKD UN,BLK UN,,,,,,,,,,,,,,,,,,
BULKHEAD UNION ELBOW,BL PLG HH,BULL PLG HEX,BP HH,B PLUG HEX,B PLG HX,BPLG HX,BLP HH,,,,,,,,,,,,,,,
BULL PLUG,BL PLG,B PLUG,B-PLG,BL-PLG,BULL PLG,,,,,,,,,,,,,,,,,
BULL PLUG HEX HEAD,BPHH,B Plug HH,B Plug Hex,BULL PLG HH,,,,,,,,,,,,,,,,,,
BULL PLUG ROUND HEAD,RND HD BULL PLUG,BL PLG RH,BULL PLG RND,BP RH,B PLUG RND,BULLP RH,B PLG RD,BL-P RH,BPLG RD,,,,,,,,,,,,,
CONCENTRIC SWAGE,CONC SWAGE,CONC SWG,CON SWG,CONSWG,CNSWG,,,,,,,,,,,,,,,,,
CONNECTOR,CONN,,,,,,,,,,,,,,,,,,,,,
CUSHION CROSS,CUSH X,CUSH CROSS,CSH X,C CROSS,CUSHX,CSHX,CUSHCR,,,,,,,,,,,,,,,
CUSHION TEE,CUSH T,CSH T,CUSH TEE,C TEE,CUSH T,,,,,,,,,,,,,,,,,
ECCENTRIC SWAGE,ECC SWAGE,ECC SWG,ECC SW,ECCSWG,ECSWG,ECC-S,ECC-SWG,,,,,,,,,,,,,,,
ELBOW,ELL,ELBW,ELB,ELBW,LBW,,,,,,,,,,,,,,,,,
ELBOW POSITIONABLE,EL POS,ELB POS,ELBW POS,ELP,,,,,,,,,,,,,,,,,,
FERRULE SET,FER SET,FER-SET,FERSET,FERR SET,F SET,F-SET,,,,,,,,,,,,,,,,
FLUSH BUSHING,FL BSH,FLUSH BUS,FLSH BUSH,FL-BSH,F BUSH,FLUSHBSH,FLBSH,FL-B,FLSH BSH,FLUSHB,F/F BSH,FL BSG,,,,,,,,,,
FRONT FERRULE,FT FER,FRNT FER,FRT FERRULE,FR FER,F FERRULE,,,,,,,,,,,,,,,,,
HEX BUSHING,HX BSH,HEX BUS,HX BUSH,HEX-BSH,H BUSH,HEXBSH,HXBSH,HX-B,HX BSG,HEXB,H/H BSH,HEX BSG,HX/B,,,,,,,,,
LATROLET,LOL,L-O-L,L O L,LATERAL OUTLET,LAT,LATRO LET,LTLT,LAT LET,LATROLT,LATLT,L LET,,,,,,,,,,,
LUGNUT UNION,LN UN,LUG UN,LUG-UN,,,,,,,,,,,,,,,,,,,
NIPPLE,NIP,NPL,NIPL,NPPL,,,,,,,,,,,,,,,,,,
NUT,NUT,,,,,,,,,,,,,,,,,,,,,
PLUG,PLG,PL G,PG,,,,,,,,,,,,,,,,,,,
PLUG HEX HEAD,PLUG HEXAGONAL HEAD, HEX HEAD PLUG,HEX HD PLUG,PLG HH,PLUG HX,PLG HEX HD,PLG-HX,P HEX,PLUGHEX,PLGHH,PLG-H,PLUG HX HD,PLG-HH,HEX PLG,PLUGHH,HEXPLG,PLGHX,,,,,
PLUG ROUND HEAD,ROUND HEAD PLUG,RND HD PLUG,PLG RH,PLUG RND,PLG RND HD,PLG-RD,RNDPLG,RND PLG,,,,,,,,,,,,,,
PLUG SQUARE HEAD,SQUARE HEAD PLUG,SQ HEAD PLUG,SQ HD PLUG,PLG SQ,PLUG SQ,PLG SQ HD,PLG-SQ,P SQ,PLUGSQ,PLGSQHD,PSQ,,,,,,,,,,,
PORT CONNECTOR,PORT CON,PRT CONN,PRTCON,PORT CONN,,,,,,,,,,,,,,,,,,
PRESSURE TUBING,PRES TBG,PRESS TUB,PR TBG,P TUBE,PRTBG,P-TBG,,,,,,,,,,,,,,,,
QUICKLEG 90,QL 90,QUICK LEG,Q LEG 90,QLEG90,QL-90,Q-90,QLEG,QL90,Q90L,QKL90,Q-LEG,QL 90°,QUICK 90,Q-90,QL-9O,Q L 90,,,,,,
RAISED FACE GASKET,RF GSK,RF-GSK,RFGSK,RFGAS,RF-GAS,RFACE,RFG,RFGSKT,RF GASKET,R F GSK,R-F-G,R/F GSK,RF-G,RF SEAL,R F G,R-F SEAL,R/F/G,RFG,R/FG,RF/G,R.F.G,
REDUCING INSERT,RED INS,RED INSERT,RED-INS,R INSERT,,,,,,,,,,,,,,,,,,
REDUCING UNION,RED UN,RED UNION,REDUC UN,RED-UN,R UNION,REDUN,RED UN,,,,,,,,,,,,,,,
REDUCING UNION TEE,RED UN T,RED UN TEE,RED-UN-T,REDUNT,,,,,,,,,,,,,,,,,,
RAISED FACE WELD NECK ORIFICE SINGLE SET,RF WN ORIF 1 SET,RF WN OR 1,RF WN ORIF 1,,,,,,,,,,,,,,,,,,,
ROCKWOOD UNION TYPE 601,RW 601,ROCK 601,ROCKWD 601,ROCK 601,RW UN 601,ROCK UN 601,RW TYPE 601,,,,,,,,,,,,,,,
ROCKWOOD UNION TYPE 602,RW 602,RW-602,RKW602,RW-602,RKW602,RW UN 602,ROCK UN 602,RW TYPE 602,,,,,,,,,,,,,,
RING TYPE JOINT OCTAGONAL,RTJ OCT,RTJ OCTA,RTJ-OCT,R T J OCT,RTJOCT,R-T-J-O,RTJOC,R/T/J OCT,,,,,,,,,,,,,,
RING TYPE JOINT OVAL,RTJO,RINGO,RTJOV,RTJ O,RTJ OVAL RING,,,,,,,,,,,,,,,,,
RUN TEE,RUN T,RN TEE,R.T.,RUNTEE,RTEE,,,,,,,,,,,,,,,,,
Slip-On/Snap Engagement Backup Flange,SEBF,SE BACK UP,SE BAKUP FLG,,,,,,,,,,,,,,,,,,,
SPIRAL WOUND NO IR,SWNI,SW NO INNER,SPRL WND NO IR,SPIRAL WOUND NO INNER RING,,,,,,,,,,,,,,,,,,
SPIRAL WOUND IR,SPRIAL WOUND WITH INNER RING,SW WITH INNER,SPRL WND IR,SWIR,SWWIR,SWITHRING,SW WITH IR,,,,,,,,,,,,,,,
STREET 45,ST45,STR 45,STRT 45,STR45,S45,ST45EL,S.T.45,ST-45,45ST,45 STR,,,,,,,,,,,,
STREET 90,ST90,STR 90,STRT 90,STR90,S.T.90,,,,,,,,,,,,,,,,,
STUB END,MSS TYPE A STUB END,MSS TYPE B STUB END,MSS TYPE C STUB END,ASA TYPE A STUB END,ASA TYPE B STUB END,ASA TYPE C STUB END,MSS TYPE A SE,MSS TYPE B SE,MSS TYPE C SE,ASA TYPE A SE,ASA TYPE B SE,ASA TYPE C SE,MSS TP A SE,MSS TP B SE,MSS TP C SE,ASA TP A SE,ASA TP B SE,ASA TP C SE,STUB E,STUBEND,STB END,STUB
THERMOCOUPLE CONNECTOR,TC CONN,THERMO CONN,,,,,,,,,,,,,,,,,,,,
TUBE INSERT,TUBE INS,TUB INSERT,,,,,,,,,,,,,,,,,,,,
UNION CROSS,UNCR,UNICR,UCROS,UN X,UNI CROSS,U.C.,UN-CR,UNC.,U CROSS,,,,,,,,,,,,,
UNION ELBOW,U ELBOW,UNION ELL,U ELL,,,,,,,,,,,,,,,,,,,
UNION TEE,UNION T,UNION-T,UNTEE,UN-TEE,,,,,,,,,,,,,,,,,,
VENT PROTECTOR,VNT PROT,VENT-PROT,VENTPROT,VENT-P,VENTPROTECT,VENT PROT,VNT-P,,,,,,,,,,,,,,,
WELD SADDLE,W SDL,WELD-SAD,WELDSAD,WLD-SDL,WLDSADDLE,WELD SAD,WELD SADLE,,,,,,,,,,,,,,,
WYE,Y PIECE,,,,,,,,,,,,,,,,,,,,,
LATERAL,,,,,,,,,,,,,,,,,,,,,,
LOW PRESSURE TUBING,LOW PRES TUBE,LO PRESS TUBE,L/P-T,LOW-P TUBE,,,,,,,,,,,,,,,,,,
HIGH PRESSURE TUBING,HIGH PRES TUBE,HI PRESS TUBE,H/P-T,HIGH-P TUBE,,,,,,,,,,,,,,,,,,
MEDIUM PRESSURE TUBING,MED PRES TUBE,MED PRESS TUBE,M/P-T,MED-P TUBE,,,,,,,,,,,,,,,,,,
VICTAULIC JOINT,VIC JT,VIC CPLG,V-I-C,VIC.,VIC JNT,VICJ,VJNT,,,,,,,,,,,,,,,
PLUG VALVE,PV,P VLV,PLUGV,PLUG VLV,PLG VALVE,PG VLV,P VALVE,,,,,,,,,,,,,,,
DIAPHRAGM VALVE,DV,DIAPH VLV,DIAPHRM VALVE,D VLV,DIAPH V,,,,,,,,,,,,,,,,,
PINCH VALVE,PN VLV,PINCH VLV,,,,,,,,,,,,,,,,,,,,
RELIEF VALVE,RELIEF VLV,R VLV,,,,,,,,,,,,,,,,,,,,
SAFETY VALVE,SAFETY VLV,S VLV,,,,,,,,,,,,,,,,,,,,
ANGLE VALVE,ANGLE VLV,A VLV,,,,,,,,,,,,,,,,,,,,
CONTROL VALVE,CONTROL VLV,CNTRL VALVE,,,,,,,,,,,,,,,,,,,,
SOLENOID VALVE,SOL VLV,S VLV,SOLV,SLND VALVE,,,,,,,,,,,,,,,,,,
TRUNNION BALL VALVE,TBV,TB VLV,TRUNBV,TRUN BALL,TRUN BALL VLV,T.B.V.,TB-V,TBV.,TRUN B V,TB VV,T/B/V,TRUN BV,,,,,,,,,,
FLOATING BALL VALVE,FBV,FLT BALL VLV,FLOAT VALVE,F/B/V,FB VLV,F.B.V.,FLOATINGV,FLTBV,FB-V,FLT B V,FLT BALL,FBV.,,,,,,,,,,
KNIFE GATE VALVE,KGV,KNF GT VLV,KNIF VALVE,KG VLV,K.G.V.,KNIFEV,KNIFEV,KG-V,KNIFE G V,KNIFE GT,,,,,,,,,,,,
DOUBLE BLOCK BLEED,DBB,DB&B VLV,DBL BLK VALVE,DB VLV,DBBV,DBL BLK,D.B.B.,DBB-V,DBB.,DBLBLKV,DBL B V,DB VV,,,,,,,,,,
DUAL PLATE CHECK VALVE,DPCV,DL PLT VLV,DP VLV,D.P.C.V.,DL PLT V,DL PLT,,,,,,,,,,,,,,,,
HIGH PERFORMANCE BFV,HPBV,HP VLV,HI PERF VLV,H.P.B.V.,HPB-V,H/P/B/V,,,,,,,,,,,,,,,,
SWING CHECK VALVE,SCV,SC VLV,SWGCHKV,SWING CHK,SWING CHK VLV,S.C.V.,SC-V,SCV.,SWG CHK,SCVALVE,SWING-CHK,SWNGVLV,,,,,,,,,,
BALL CHECK VALVE,BCV,BALL CHK VLV,BC VLV,BALCHKV,BALL CHK,BL CHK,BCVALVE,BALL-CHK,BALVLV,,,,,,,,,,,,,
PISTON CHECK VALVE,PST CHK,PCVALVE,PISTON-CHK,PSTVLV,PSTN CHK VLV,P.C.V.,PC-V,PCV.,PCV,PC VLV,PSTCHKV,PISTON CHK,,,,,,,,,,
FITTING,fitting, Fitting,,,,,,,,,,,,,,,,,,,,
ERW PIPE,ERW,,,,,,,,,,,,,,,,,,,,,
SEAMLESS PIPE,SEAMLESS,,,,,,,,,,,,,,,,,,,,,
PIPE WELDED,WELDED,WELDED PIPE,WELDED_PIPE,,,,,,,,,,,,,,,,,,,
PIPE SMLS,P-SMLS,PSMLS,SMLS,SMLS PIPE,,,,,,,,,,,,,,,,,,
REDUCING BUSHING,RB,REDUCING B,,,,,,,,,,,,,,,,,,,,
UNION TAIL, UT, U TAIL, U-TAIL,,,,,,,,,,,,,,,,,,,
EXPANSION JOINT,EXP JNT,EXP JOINT,EXP-JNT,EJ,EXPAN JT,EXPANSION JT,EXP. JOINT,EXPAN JOINT,E.J.,EXP-JOINT,,,,,,,,,,,,
