,category,type,primary_size,reducing_size,length,material_name,material_specification,material_grade,pressure_class,primary_schedule,reducing_schedule,manufacturing_process,end_finish,end_connections,trim,miscellaneous,confidence,original_text
28,pipe,seamless_pipe,1.0,,,carbon_steel,A333,6,,extra_strong,,seamless,plain_end,pe,,ASME B36.10,0.9,"1 PIPE , ASME B36.10 , PLAIN END , ASTM A333-6 , SEAMLESS S-XS"
29,pipe,seamless_pipe,1.0,,,alloy_steel,A335,P11,,160,,seamless,plain_end,pe,,ASME B36.10,0.9,"1 PIPE , ASME B36.10 , PLAIN END , ASTM A335-P11 , SEAMLESS S-160"
30,pipe,seamless,1.0,,,stainless_steel,A312,TP304/TP304L,,10S,,seamless,plain_end,pe,,ASME B36.19,0.9,"1 PIPE , ASME B36.19 , PLAIN END , ASTM A312 GRADE TP304/TP304L , SEAMLESS S-10S"
31,pipe,seamless_pipe,1.0,,,stainless_steel,A312,TP316/TP316L,,10S,,seamless,plain_end,pe,,ASME B36.19,0.9,"1 PIPE , ASME B36.19 , PLAIN END , ASTM A312 GRADE TP316/TP316L , SEAMLESS S-10S"
32,pipe,seamless_pipe,1.0,,,stainless_steel,A312,TP321H,,80S,,seamless,plain_end,pe,,"ASME B36.19, UNS S32109",0.9,"1 PIPE , ASME B36.19 , PLAIN END , ASTM A312 GRADE TP321H (UNS S32109) , SEAMLESS S-80S"
33,fitting,hex_head_plug,1.0,,,alloy_steel,A182,F11_CL2,,,,,,threaded,,"ASME B16.11, UNS K11572",0.9,"1 PLUG HEXAGONAL HEAD , ASME B16.11 , MALE THREADED END , ASTM A182 GRADE F 11 CLASS 2 (UNS K11572)"
34,fitting,plug_hexagonal_head,1.0,,,stainless_steel,A182,F304/F304L,,,,,,threaded,,ASME B16.11,0.9,"1 PLUG HEXAGONAL HEAD , ASME B16.11 , MALE THREADED END , ASTM A182 GRADE F 304/F 304L"
35,fitting,plug,1.0,,,carbon_steel,A105,,,,,,,threaded,,ASME B16.11,0.8,"1 PLUG, ROUND, ASME B16.11, MTE, ASTM A105"
36,flange,socket_weld,1.0,,,stainless_steel,A182,F316/F316L,150,10S,,,raised_face,flanged,,bore_to_match,0.9,"1 SOCKET WELD FLANGE BORE TO MATCH , ASME B16.5 , CLASS 150 , RAISED-FACE FLANGED END , ASTM A182 GRADE F 316/F 316L ,- S-10S"
37,flange,socket_weld,1.0,,,stainless_steel,A182,F304/F304L,300,10S,,,raised_face,flanged,,bore_to_match,0.9,"1 SOCKET WELD FLANGE BORE TO MATCH , ASME B16.5 , CLASS 300 , RAISED-FACE FLANGED END , ASTM A182 GRADE F 304/F 304L ,- S-10S"
38,flange,socket_weld,1.0,,,stainless_steel,A182,F304/F304L,600,40S,,,raised_face,flanged,,bore to match,0.9,"1 SOCKET WELD FLANGE BORE TO MATCH , ASME B16.5 , CLASS 600 , RAISED-FACE FLANGED END , ASTM A182 GRADE F 304/F 304L ,- S-40S"
39,flange,socket_weld,1.0,,,carbon_steel,A350,LF2,600,80,,,raised_face,flanged,,"bore to match, ASME B16.5, Class 1",0.9,"1 SOCKET WELD FLANGE BORE TO MATCH , ASME B16.5 , CLASS 600 , RAISED-FACE FLANGED END , ASTM A350 GRADE LF2 CLASS 1 ,- S-80"
40,fitting,tee,1.0,,,alloy_steel,A182,F11,3000,,,,,SW,,"class 2, UNS K11572",0.9,"1 TEE , ASME B16.11 , CLASS 3000 , SOCKET WELDED END , ASTM A182 GRADE F 11 CLASS 2 (UNS K11572)"
41,fitting,tee,1.0,,,stainless_steel,A182,F316/F316L,3000,,,,,socket_weld,,ASME B16.11,0.9,"1 TEE , ASME B16.11 , CLASS 3000 , SOCKET WELDED END , ASTM A182 GRADE F 316/F 316L"
42,fitting,union_head,1.0,,,stainless_steel,A182,F304/F304L,3000,,,,,socket_weld,metal_seat_ptfe_seal,MSS SP-83,0.9,"1 UNION HEAD , MSS SP-83 , CLASS 3000 , SOCKET WELDED END , ASTM A182 GRADE F 304/F 304L , METAL TO METAL SEAT WITH VIRGIN PTFE SEAL RING"
43,fitting,union_tail,1.0,,,stainless_steel,A182,F304/F304L,3000,,,,,socket_weld,metal_to_metal_with_ptfe,MSS SP-83,0.9,"1 UNION TAIL , MSS SP-83 , CLASS 3000 , SOCKET WELDED END , ASTM A182 GRADE F 304/F 304L , METAL TO METAL SEAT WITH VIRGIN PTFE SEAL RING"
44,fitting,elbow_90_degree_lr,1.0,,,stainless_steel,B16.11,304,3000,,,,,socket_weld,,,0.9,"1"" ELBOW 90D, LR, SW, ANSI B16.11, 304SS, 3000#"
45,fitting,elbow_90,1.0,,,carbon_steel,B16.3,,3000,,,,,socket_weld,,,0.9,"1"" ELBOW 90D, SW, ANSI B16.3, CS, 3000#"
46,fitting,elbow_90,1.0,,,carbon_steel,A105,,3000,,,forged,,socket_weld,,ASME 16.11,0.9,"1"" ELBOW 90D, SW, ASME 16.11, FORGED STEEL, ASTM/ASME A/SA-105, 3000#"
47,flange,raised_face,1.0,,,carbon_steel,A105,,300,extra_strong,,forged,,socket_weld,,ASME 16.5,0.9,"1"" FLANGE, RFSW, 300#, XS, ASME 16.5, FORGED STEEL, ASTM/ASME A/SA-105"
48,pipe,pipe,1.0,,,stainless_steel,A312,304L,,40S,,welded,,,,ASME B36.19M,0.9,"1"" PIPE, ASTM A-312 304L SS, WELDED, SCH 40S, ASME B36.19M"
49,pipe,pipe,1.0,,,stainless_steel,A312,304L,,80S,,welded,,,,ASME B36.19M,0.9,"1"" PIPE, ASTM A-312 304L SS, WELDED, SCH 80S, ASME B36.19M"
50,pipe,pipe_erw,1.0,,,carbon_steel,A53,B,,extra_strong,,erw,black,,,,0.9,"1"" PIPE, ASTM A53, GRADE B, CS BLK, ERW, SCH XS"
51,fitting,plug,1.0,,,carbon_steel,A105,,3000,,,forged,,threaded,,square head,0.9,"1"" PLUG, SQ. HEAD, NPT, ASME 16.11, FORGED STEEL, ASTM/ASME A/SA-105, 3000#"
52,fitting,tee,1.0,,,carbon_steel,A105,,3000,,,,,socket_weld,,ASME 16.11,0.9,"1"" TEE, SW, ASME 16.11, ASTM/ASME A SA-105, 3000#"
53,fitting,tee,1.0,,,carbon_steel,A105,,3000,,,forged,,socket_weld,,ASME 16.11,0.9,"1"" TEE, SW, ASME 16.11, FORGED STEEL, ASTM/ASME A/SA-105, 3000#"
54,fitting,reducing_tee,1.0,0.5,,carbon_steel,A105,,3000,,,forged,,threaded,,ASME 16.11,0.9,"1""X1/2"" TEE, RED, NPT, ASME 16.11, FORGED STEEL, ASTM/ASME A/SA-105, 3000#"
55,fitting,reducing_tee,1.0,0.5,,carbon_steel,A105,,3000,,,forged,,socket_weld,,ASME 16.11,0.9,"1""X1/2"" TEE, RED, SW, ASME 16.11, FORGED STEEL, ASTM/ASME A/SA-105, 3000#"
56,fitting,45_degree_elbow,1.5,,,stainless_steel,A182,F304/F304L,3000,,,,,socket_weld,,ASME B16.11,0.9,"1.5 45 DEGREE ELBOW , ASME B16.11 , CLASS 3000 , SOCKET WELDED END , ASTM A182 GRADE F 304/F 304L"
57,fitting,45_degree_elbow,1.5,,,carbon_steel,A350,LF2,3000,,,,,socket_weld,,CLASS 1,0.9,"1.5 45 DEGREE ELBOW , ASME B16.11 , CLASS 3000 , SOCKET WELDED END , ASTM A350 GRADE LF2 CLASS 1"
58,fitting,90_degree_elbow,1.5,,,alloy_steel,A182,F11,3000,,,,,sw,,"class 2, UNS K11572",0.9,"1.5 90 DEGREE ELBOW , ASME B16.11 , CLASS 3000 , SOCKET WELDED END , ASTM A182 GRADE F 11 CLASS 2 (UNS K11572)"
59,fitting,90_degree_elbow,1.5,,,stainless_steel,A182,F304/F304L,3000,,,,,socket_weld,,ASME B16.11,0.9,"1.5 90 DEGREE ELBOW , ASME B16.11 , CLASS 3000 , SOCKET WELDED END , ASTM A182 GRADE F 304/F 304L"
60,flange,blind,1.5,,,alloy_steel,A182,F11 Class 2,600,,,,raised_face,flanged,,UNS K11572,0.9,"1.5 BLIND FLANGE , ASME B16.5 , CLASS 600 , RAISED-FACE FLANGED END , ASTM A182 GRADE F 11 CLASS 2 (UNS K11572)"
61,fitting,coupling,1.5,,,alloy_steel,A182,F11,3000,,,,,socket_weld,,"class 2, UNS K11572",0.9,"1.5 COUPLING / CONNECTOR , ASME B16.11 , CLASS 3000 , SOCKET WELDED END , ASTM A182 GRADE F 11 CLASS 2 (UNS K11572)"
62,fitting,coupling,1.5,,,stainless_steel,A182,F304/F304L,3000,,,,,socket_weld,,ASME B16.11,0.9,"1.5 COUPLING / CONNECTOR , ASME B16.11 , CLASS 3000 , SOCKET WELDED END , ASTM A182 GRADE F 304/F 304L"
63,fitting,coupling,1.5,,,carbon_steel,A350,LF2,3000,,,,,socket_weld,,class 1,0.9,"1.5 COUPLING / CONNECTOR , ASME B16.11 , CLASS 3000 , SOCKET WELDED END , ASTM A350 GRADE LF2 CLASS 1"
64,pipe,seamless,1.5,,,chrome_moly,SA335,P11,,extra_strong,,seamless,plain_end,pe,,ASME B36.10,0.9,"1.5 PIPE , ASME B36.10 , PLAIN END , ASME SA335-P11 , SEAMLESS S-XS"
65,pipe,seamless_pipe,1.5,,,carbon_steel,A106,B,,80,,seamless,plain_end,pe,,ASME B36.10,0.9,"1.5 PIPE , ASME B36.10 , PLAIN END , ASTM A106-B , SEAMLESS S-80"
66,pipe,seamless,1.5,,,carbon_steel,A333,6,,standard,,seamless,plain_end,pe,,ASME B36.10,0.9,"1.5 PIPE , ASME B36.10 , PLAIN END , ASTM A333-6 , SEAMLESS S-STD"
67,pipe,seamless_pipe,1.5,,,carbon_steel,A333,6,,extra_strong,,seamless,plain_end,pe,,ASME B36.10,0.9,"1.5 PIPE , ASME B36.10 , PLAIN END , ASTM A333-6 , SEAMLESS S-XS"
68,pipe,seamless,1.5,,,nickel_alloy,B165,400,,40,,seamless,annealed,plain_end,,ASME B36.10,0.9,"1.5 PIPE , ASME B36.10 , PLAIN END , ASTM B165-400 (UNS N04400) , SEAMLESS, ANNEALED S-40"
69,pipe,seamless_pipe,1.5,,,stainless_steel,A312,TP304/TP304L,,40S,,seamless,plain_end,pe,,ASME B36.19,0.9,"1.5 PIPE , ASME B36.19 , PLAIN END , ASTM A312 GRADE TP304/TP304L , SEAMLESS S-40S"
70,pipe,seamless_pipe,1.5,,,stainless_steel,A312,TP316/TP316L,,10S,,seamless,plain_end,pe,,ASME B36.19,0.9,"1.5 PIPE , ASME B36.19 , PLAIN END , ASTM A312 GRADE TP316/TP316L , SEAMLESS S-10S"
71,fitting,threaded_plug,1.5,,,stainless_steel,A182,F304/F304L,,,,,,threaded,,"hexagonal head, ASME B16.11",0.9,"1.5 PLUG HEXAGONAL HEAD , ASME B16.11 , MALE THREADED END , ASTM A182 GRADE F 304/F 304L"
72,fitting,plug,1.5,,,carbon_steel,A105,,,,,,galvanized,threaded,,"round, ASME B16.11, MTE",0.8,"1.5 PLUG, ROUND, ASME B16.11, MTE, ASTM A105, GALVANIZED"
73,flange,socket_weld,1.5,,,carbon_steel,A105,N,150,STD,,,raised_face,flanged,,bore to match,0.9,"1.5 SOCKET WELD FLANGE BORE TO MATCH , ASME B16.5 , CLASS 150 , RAISED-FACE FLANGED END , ASTM A105N ,- S-STD"
74,flange,socket_weld,1.5,,,stainless_steel,A182,F304/F304L,150,10S,,,raised_face,flanged,,bore_to_match,0.9,"1.5 SOCKET WELD FLANGE BORE TO MATCH , ASME B16.5 , CLASS 150 , RAISED-FACE FLANGED END , ASTM A182 GRADE F 304/F 304L ,- S-10S"
75,flange,socket_weld,1.5,,,stainless_steel,A182,F316/F316L,150,10S,,,raised_face,flanged,,bore_to_match,0.9,"1.5 SOCKET WELD FLANGE BORE TO MATCH , ASME B16.5 , CLASS 150 , RAISED-FACE FLANGED END , ASTM A182 GRADE F 316/F 316L ,- S-10S"
76,flange,socket_weld,1.5,,,carbon_steel,A350,LF2,150,STD,,,raised_face,flanged,,bore to match,0.9,"1.5 SOCKET WELD FLANGE BORE TO MATCH , ASME B16.5 , CLASS 150 , RAISED-FACE FLANGED END , ASTM A350 GRADE LF2 CLASS 1 ,- S-STD"
77,flange,socket_weld,1.5,,,carbon_steel,A350,LF2,150,XS,,,raised_face,flanged,,bore to match,0.9,"1.5 SOCKET WELD FLANGE BORE TO MATCH , ASME B16.5 , CLASS 150 , RAISED-FACE FLANGED END , ASTM A350 GRADE LF2 CLASS 1 ,- S-XS"
78,flange,socket_weld,1.5,,,stainless_steel,A182,F304/F304L,600,40S,,,raised_face,flanged,,bore to match,0.9,"1.5 SOCKET WELD FLANGE BORE TO MATCH , ASME B16.5 , CLASS 600 , RAISED-FACE FLANGED END , ASTM A182 GRADE F 304/F 304L ,- S-40S"
79,flange,socket_weld,1.5,,,carbon_steel,A350,LF2,600,80,,,raised_face,flanged,,"bore to match, ASME B16.5, Class 1",0.9,"1.5 SOCKET WELD FLANGE BORE TO MATCH , ASME B16.5 , CLASS 600 , RAISED-FACE FLANGED END , ASTM A350 GRADE LF2 CLASS 1 ,- S-80"
80,valve,ball_valve,0.5,,,bronze,,,600,,,,,threaded,chrome_plated,full_port_2piece_rtfe_seats,0.9,1/2 APOL 7010327 600WOG BRZ FP 2PC B VLV THD T:CR-PL S/P:RTFE LL
81,valve,ball_valve,0.5,,,stainless_steel,,316,2000,,,,,threaded,TFM,"full_port,2_piece,locking_lever",0.8,1/2 CONTRO S8000-M3 2000WOG 316SS FP 2PC B VLV THD SS B TFM LL
82,valve,ball_valve,0.5,,,carbon_steel,,,2000,,,,,threaded,ll,1pc,0.8,1/2 CS 2000# THRD 1PC BV LL
83,valve,ball_valve,0.5,,,carbon_steel,,,2000,,,,,threaded,spring,,0.8,1/2 CS 2000# THRD SPRG BV
84,valve,ball_valve,0.5,,,stainless_steel,,,2000,,,,,threaded,ll,1pc,0.8,1/2 SS 2000# THRD 1PC BV LL
85,fitting,plug,0.5,,,carbon_steel,A105,,3000,,,forged,,threaded,,square head,0.9,"1/2"" PLUG, SQ HEAD THRD, ASME 16.11, FORGED STEEL, ASTM/ASME A/SA-105, 3000#"
86,fitting,plug,0.5,,,carbon_steel,A105,,3000,,,forged,,threaded,,square head,0.9,"1/2"" PLUG, SQ. HEAD, NPT, ASME 16.11, FORGED STEEL, ASTM/ASME A/SA-105, 3000#"
87,fitting,tee,0.5,,,carbon_steel,A105,,3000,,,forged,,threaded,,ASME 16.11,0.9,"1/2"" TEE, NPT, ASME 16.11, FORGED STEEL, ASTM/ASME A/SA-105, 3000#"
88,fitting,tee,0.5,,,carbon_steel,A105,,3000,,,forged,,socket_weld,,ASME 16.11,0.9,"1/2"" TEE, SW, ASME 16.11, FORGED STEEL, ASTM/ASME A/SA-105, 3000#"
89,fitting,union,0.5,,,carbon_steel,A105,,3000,,,forged,,socket_weld,,ASME 16.11,0.9,"1/2"" UNION, SW, FORGED STEEL, ASTM A-105, 3000#, ASME 16.11"
90,fastener,stud_with_nuts,0.5,,3.0,,,B7,,,,,,,,double hex nuts,0.9,1/2X3 B7 STUD W/ DBL HEX NUT
91,fitting,long_radius_45_elbow,10.0,,,stainless_steel,A403,WP304/WP304L,,40S,,,beveled,BW,,ASME B16.9,0.9,"10 45 DEGREE LONG RADIUS ELBOW , ASME B16.9 , BEVELED END , ASTM A403 GRADE WP304/WP304L , TYPE WX S-40S"
92,fitting,long_radius_45_elbow,10.0,,,carbon_steel,A420,WPL6,,80,,,beveled,BW,,ASME B16.9,0.9,"10 45 DEGREE LONG RADIUS ELBOW , ASME B16.9 , BEVELED END , ASTM A420 GRADE WPL6 , TYPE S S-80"
93,fitting,long_radius_45_elbow,10.0,,,low_temperature_carbon_steel,A420,WPL6,,STD,,welded,beveled,BW,,ASME B16.9,0.9,"10 45 DEGREE LONG RADIUS ELBOW , ASME B16.9 , BEVELED END , ASTM A420 GRADE WPL6 , TYPE W S-STD"
94,fitting,long_radius_elbow_90,10.0,,,carbon_steel,A234,WPB,,STD,,,beveled,BW,,ASME B16.9,0.9,"10 90 DEGREE LONG RADIUS ELBOW , ASME B16.9 , BEVELED END , ASTM A234 GRADE WPB , TYPE S S-STD"
95,fitting,90_degree_long_radius_elbow,10.0,,,stainless_steel,A403,WP304/WP304L,,80S,,,beveled,BW,,ASME B16.9,0.9,"10 90 DEGREE LONG RADIUS ELBOW , ASME B16.9 , BEVELED END , ASTM A403 GRADE WP304/WP304L , TYPE S S-80S"
96,fitting,90_degree_long_radius_elbow,10.0,,,stainless_steel,A403,WP304/WP304L,,10S,,,beveled,BW,,ASME B16.9,0.9,"10 90 DEGREE LONG RADIUS ELBOW , ASME B16.9 , BEVELED END , ASTM A403 GRADE WP304/WP304L , TYPE W S-10S"
97,fitting,90_degree_long_radius_elbow,10.0,,,stainless_steel,A403,WP304/WP304L,,40S,,W,beveled,BW,,ASME B16.9,0.9,"10 90 DEGREE LONG RADIUS ELBOW , ASME B16.9 , BEVELED END , ASTM A403 GRADE WP304/WP304L , TYPE W S-40S"
98,fitting,90_degree_long_radius_elbow,10.0,,,stainless_steel,A403,WP304/WP304L,,10S,,,beveled,butt_weld,,ASME B16.9,0.9,"10 90 DEGREE LONG RADIUS ELBOW , ASME B16.9 , BEVELED END , ASTM A403 GRADE WP304/WP304L , TYPE WX S-10S"
99,fitting,long_radius_elbow_90,10.0,,,stainless_steel,A403,WP304/WP304L,,40S,,,beveled,BW,,ASME B16.9,0.9,"10 90 DEGREE LONG RADIUS ELBOW , ASME B16.9 , BEVELED END , ASTM A403 GRADE WP304/WP304L , TYPE WX S-40S"
100,fitting,90_degree_long_radius_elbow,10.0,,,stainless_steel,A403,WP316/WP316L,,10S,,,beveled,BW,,ASME B16.9,0.9,"10 90 DEGREE LONG RADIUS ELBOW , ASME B16.9 , BEVELED END , ASTM A403 GRADE WP316/WP316L , TYPE W S-10S"
101,fitting,90_degree_long_radius_elbow,10.0,,,low_temp_carbon_steel,A420,WPL6,,STD,,,beveled,BW,,ASME B16.9,0.9,"10 90 DEGREE LONG RADIUS ELBOW , ASME B16.9 , BEVELED END , ASTM A420 GRADE WPL6 , TYPE S S-STD"
102,fitting,long_radius_90_elbow,10.0,,,low_temp_carbon_steel,A420,WPL6,,STD,,,beveled,BW,,ASME B16.9,0.9,"10 90 DEGREE LONG RADIUS ELBOW , ASME B16.9 , BEVELED END , ASTM A420 GRADE WPL6 , TYPE W S-STD"
103,flange,blind,10.0,,,carbon_steel,A350,LF2,150,,,,raised_face,flanged,,class 1,0.9,"10 BLIND FLANGE , ASME B16.5 , CLASS 150 , RAISED-FACE FLANGED END , ASTM A350 GRADE LF2 CLASS 1"
104,fitting,cap,10.0,,,stainless_steel,A403,WP316/WP316L,,10S,,,beveled,BW,,ASME B16.9,0.9,"10 CAP , ASME B16.9 , BEVELED END , ASTM A403 GRADE WP316/WP316L , TYPE S S-10S"
105,pipe,seamless_pipe,10.0,,,carbon_steel,A106,B,,standard,,seamless,beveled,be,,ASME B36.10,0.9,"10 PIPE , ASME B36.10 , BEVELED END , ASTM A106-B , SEAMLESS S-STD"
106,pipe,seamless_pipe,10.0,,,carbon_steel,A106,B,,standard,,seamless,beveled,,,100% UT for pipe,0.9,"10 PIPE , ASME B36.10 , BEVELED END , ASTM A106-B , SMLS, 100% UT FOR PIPE S-STD"
107,pipe,erw_pipe,10.0,,,carbon_steel,A333,6,,standard,,erw,beveled,,,"ASME B36.10, EJ = 0.85",0.9,"10 PIPE , ASME B36.10 , BEVELED END , ASTM A333-6 , ELECTRIC RESISTANCE WELDED (EJ = 0.85) S-STD"
108,pipe,pipe_seamless,10.0,,,carbon_steel,A333,6,,standard,,seamless,beveled,,,ASME B36.10,0.9,"10 PIPE , ASME B36.10 , BEVELED END , ASTM A333-6 , SEAMLESS S-STD"
109,pipe,seamless,10.0,,,alloy_steel,A335,P11,,standard,,seamless,beveled,,,ASME B36.10,0.9,"10 PIPE , ASME B36.10 , BEVELED END , ASTM A335-P11 , SEAMLESS S-STD"
110,pipe,pipe_welded,10.0,,,stainless_steel,A312,TP304/TP304L,,80S,,electric_fusion_welded,beveled,BW,,"100% radiography, EJ=1.00",0.9,"10 PIPE , ASME B36.19 , BEVELED END , ASTM A312 GRADE TP304/TP304L , 100% RADIOGRAPHY , ELECTRIC FUSION WELDED (EJ = 1.00) S-80S"
111,pipe,pipe,10.0,,,stainless_steel,A312,TP304/TP304L,,40S,,electric_fusion_welded,beveled,,,EJ = 0.80,0.9,"10 PIPE , ASME B36.19 , BEVELED END , ASTM A312 GRADE TP304/TP304L , ELECTRIC FUSION WELDED , (EJ = 0.80) S-40S"
112,pipe,seamless_pipe,10.0,,,stainless_steel,A312,TP304/TP304L,,80S,,seamless,beveled,plain_end,,ASME B36.19,0.9,"10 PIPE , ASME B36.19 , BEVELED END , ASTM A312 GRADE TP304/TP304L , SEAMLESS S-80S"
113,flange,slip_on,10.0,,,carbon_steel,A350,LF2,150,,,,raised_face,flanged,,"hub type, class 1",0.9,"10 SLIP-ON FLANGE, HUB TYPE , ASME B16.5 , CLASS 150 , RAISED-FACE FLANGED END , ASTM A350 GRADE LF2 CLASS 1"
