,UNNAMED 0,I,START_TIME,GT_DESC,INC_RFQ_RAW,INC_RFQ,CATEGORY,TYPE,PRIMARY_SIZE,REDUCING_SIZE,LENGTH,MATERIAL_NAME,MATERIAL_SPECIFICATION,MATERIAL_GRADE,PRESSURE_CLASS,PRIMARY_SCHEDULE,REDUCING_SCHEDULE,MANUFACTURING_PROCESS,END_FINISH,END_CONNECTIONS,UNNAMED 20,MISCELLANEOUS,CONFIDENCE,ORIGINAL_TEXT,INDEX,RANK,QUALITY
10,10,10,753.3842737,20 CARBON STEEL STANDARD WELD CAP,"20"" CAP, BW, ASME 16.9, WROUGHT STEEL, ASTM/ASME A/SA-234-WPB, SCH.STD","20"" CAP, BW, ASME 16.9, WROUGHT STEEL, ASTM/ASME A/SA-234-WPB, SCH.STD",FITTING,CAP,20.0,,,CARBON STEEL,A234,WPB,,STANDARD,NAN,WROUGHT,NAN,BUTT WELD,NAN,ASME 16.9,0.9,"20"" CAP, BW, ASME 16.9, WROUGHT STEEL, ASTM/ASME A/SA-234-WPB, SCH.STD",10,0,EXCELLENT
11,11,11,756.6822165,6 X 6 X 4 CARBON STEEL WPL6 STANDARD WELD TEE,"6X6X4 REDUCING TEE , ASME B16.9 , BEVELED END , ASTM A420 GRADE WPL6 , TYPE S S-STD","6X6X4 REDUCING TEE , ASME B16.9 , BEVELED END , ASTM A420 GRADE WPL6 , TYPE S S-STD",FITTING,TEE,6.0,4.0,,CARBON STEEL,A420,WPL6,,STANDARD,NAN,NAN,BEVELED,BW,NAN,ASME B16.9,0.9,"6X6X4 REDUCING TEE , ASME B16.9 , BEVELED END , ASTM A420 GRADE WPL6 , TYPE S S-STD",11,4,EXCELLENT
12,12,12,760.0844255,"6"" 300 GATE VALVE CARBON STEEL FLANGED OS&Y TRIM 8","VALVE, GATE, 6"", RF FLANGED, 300 LB, CS BODY, TR:13","VALVE, GATE, 6"", RF FLANGED, 300 LB, CS BODY, TR:13",VALVE,GATE VALVE,6.0,,,CARBON STEEL,NAN,NAN,300.0,NAN,NAN,NAN,RAISED FACE,FLANGED,13,NAN,0.9,"VALVE, GATE, 6"", RF FLANGED, 300 LB, CS BODY, TR:13",12,4,EXCELLENT
13,13,13,763.1265787,2 STAINLESS STEEL SCHEDULE 80 304L A312 SEAMLESS PIPE,"PIPE, SEAMLESS, 2"", PLAIN BEVELED END, SCH 80/XH, SA312, 304L SS","PIPE, SEAMLESS, 2"", PLAIN BEVELED END, SCH 80/XH, SA312, 304L SS",PIPE,SEAMLESS PIPE,2.0,,,STAINLESS STEEL,SA312,304L,,80,NAN,SEAMLESS,BEVELED,PLAIN END,NAN,NAN,0.9,"PIPE, SEAMLESS, 2"", PLAIN BEVELED END, SCH 80/XH, SA312, 304L SS",13,2,EXCELLENT
14,14,14,766.2995552,4 STAINLESS STEEL SCHEDULE 40 304L SEAMLESS LONG RADIUS 90 ELBOW,"4 90 DEGREE LONG RADIUS ELBOW , ASME B16.9 , BEVELED END , ASTM A403 GRADE WP304/WP304L , TYPE S S-40S","4 90 DEGREE LONG RADIUS ELBOW , ASME B16.9 , BEVELED END , ASTM A403 GRADE WP304/WP304L , TYPE S S-40S",FITTING,LONG RADIUS ELBOW 90,4.0,,,STAINLESS STEEL,A403,WP304/WP304L,,40S,NAN,NAN,BEVELED,BW,NAN,ASME B16.9,0.9,"4 90 DEGREE LONG RADIUS ELBOW , ASME B16.9 , BEVELED END , ASTM A403 GRADE WP304/WP304L , TYPE S S-40S",14,1,EXCELLENT
15,15,15,770.086851,"1"" 600 REDUCED PORT BALL VALVE BRONZE NOT FOR POTABLE USE THREADED","VALVE, BALL, 1"", THREADED, 600 LB","VALVE, BALL, 1"", THREADED, 600 LB",VALVE,BALL VALVE,1.0,,,NAN,NAN,NAN,600.0,NAN,NAN,NAN,NAN,THREADED,NAN,NAN,0.8,"VALVE, BALL, 1"", THREADED, 600 LB",15,0,EXCELLENT
16,16,16,773.0084969,2X1 CARBON STEEL SCHEDULE XH WELD CONCENTRIC REDUCER,"REDUCER, PIPE, CONCENTRIC, 2"" X 1"", BUTT WELD, SCH 80/XH, CARBON STEEL, A234","REDUCER, PIPE, CONCENTRIC, 2"" X 1"", BUTT WELD, SCH 80/XH, CARBON STEEL, A234",FITTING,CONCENTRIC REDUCER,2.0,1.0,,CARBON STEEL,A234,NAN,,SCHEDULE 80,SCHEDULE 80,NAN,NAN,BUTT WELD,NAN,NAN,0.9,"REDUCER, PIPE, CONCENTRIC, 2"" X 1"", BUTT WELD, SCH 80/XH, CARBON STEEL, A234",16,2,EXCELLENT
17,17,17,776.1773866,4 X 4 X 3 STAINLESS STEEL SCHEDULE 10 304L SEAMLESS TEE,"4X4X3 REDUCING TEE , ASME B16.9 , BEVELED END , ASTM A403 GRADE WP304/WP304L , TYPE S S-10S","4X4X3 REDUCING TEE , ASME B16.9 , BEVELED END , ASTM A403 GRADE WP304/WP304L , TYPE S S-10S",FITTING,TEE,4.0,3.0,,STAINLESS STEEL,A403,WP304/WP304L,,10S,10S,NAN,BEVELED,BW,NAN,ASME B16.9,0.9,"4X4X3 REDUCING TEE , ASME B16.9 , BEVELED END , ASTM A403 GRADE WP304/WP304L , TYPE S S-10S",17,1,EXCELLENT
18,18,18,779.9075983,"4"" 300 SWING CHECK VALVE CARBON STEEL TRIM 8 FLANGED","VALVE, CHECK, SWING, 4"", FLANGED END, 300 LB, CS BODY, TR:13","VALVE, CHECK, SWING, 4"", FLANGED END, 300 LB, CS BODY, TR:13",VALVE,CHECK VALVE,4.0,,,CARBON STEEL,NAN,NAN,300.0,NAN,NAN,NAN,NAN,FLANGED,13,SWING,0.9,"VALVE, CHECK, SWING, 4"", FLANGED END, 300 LB, CS BODY, TR:13",18,0,EXCELLENT
19,19,19,783.0104712,2 X 8 BLACK SCHEDULE XH SEAMLESS A106 NIPPLE,"NIPPLE,2 X 8,S80,A106B","NIPPLE,2 X 8,S80,A106B",PIPE,NIPPLE,2.0,,8.0,CARBON STEEL,A106,B,,80,NAN,NAN,NAN,NAN,NAN,NAN,0.9,"NIPPLE,2 X 8,S80,A106B",19,1,EXCELLENT
20,20,20,785.819211,20 BLACK PLAIN END A53B STANDARD ELECTRIC RESISTANCE WELDED DRL PIPE,"20"" PIPE, ASTM A53, GRADE B, CS BLK, ERW, SCH.STD","20"" PIPE, ASTM A53, GRADE B, CS BLK, ERW, SCH.STD",PIPE,ERW PIPE,20.0,,,CARBON STEEL,A53,B,,STANDARD,NAN,ERW,BLACK,NAN,NAN,NAN,0.9,"20"" PIPE, ASTM A53, GRADE B, CS BLK, ERW, SCH.STD",20,7,GOOD
21,21,21,788.8425044,6 X 4 CARBON STEEL WPL6 SCHEDULE XH WELD CONCENTRIC REDUCER,"6X4 CONCENTRIC REDUCER , ASME B16.9 , BEVELED END , ASTM A420 GRADE WPL6 , TYPE S S-80","6X4 CONCENTRIC REDUCER , ASME B16.9 , BEVELED END , ASTM A420 GRADE WPL6 , TYPE S S-80",FITTING,CONCENTRIC REDUCER,6.0,4.0,,CARBON STEEL,A420,WPL6,,80,80,NAN,BEVELED,BW,NAN,ASME B16.9,0.9,"6X4 CONCENTRIC REDUCER , ASME B16.9 , BEVELED END , ASTM A420 GRADE WPL6 , TYPE S S-80",21,8,GOOD
22,22,22,792.1561411,20 CARBON STEEL STANDARD WELD TEE,"20"" TEE, BW, ASME 16.9, WROUGHT STEEL, ASTM/ASME A/SA-234-WPB, SCH.STD","20"" TEE, BW, ASME 16.9, WROUGHT STEEL, ASTM/ASME A/SA-234-WPB, SCH.STD",FITTING,TEE,20.0,,,CARBON STEEL,A234,WPB,,STANDARD,NAN,WROUGHT,NAN,BUTT WELD,NAN,ASME 16.9,0.9,"20"" TEE, BW, ASME 16.9, WROUGHT STEEL, ASTM/ASME A/SA-234-WPB, SCH.STD",22,9,GOOD
23,23,23,795.4864428,20 150 WRI 316 FG 316 IR GASKET *Z,"GASKET, SPIRAL WOUND, 20"" PIPE, 150 LB, 316 SS WINDING, GRAFOIL, W/ INNER RING","GASKET, SPIRAL WOUND, 20"" PIPE, 150 LB, 316 SS WINDING, GRAFOIL, W/ INNER RING",GASKET,SPIRAL WOUND,20.0,,,STAINLESS STEEL,NAN,316,150.0,NAN,NAN,NAN,NAN,NAN,GRAFOIL,WITH INNER RING,0.9,"GASKET, SPIRAL WOUND, 20"" PIPE, 150 LB, 316 SS WINDING, GRAFOIL, W/ INNER RING",23,7,GOOD
24,24,24,799.4107677,1 STAINLESS STEEL SCHEDULE 80 304L A312 SEAMLESS PIPE,"1"" PIPE, ASTM A-312 304L SS, WELDED, SCH 80S, ASME B36.19M","1"" PIPE, ASTM A-312 304L SS, WELDED, SCH 80S, ASME B36.19M",PIPE,PIPE WELDED,1.0,,,STAINLESS STEEL,A312,304L,,80S,NAN,WELDED,NAN,NAN,NAN,ASME B36.19M,0.9,"1"" PIPE, ASTM A-312 304L SS, WELDED, SCH 80S, ASME B36.19M",24,7,GOOD
25,25,25,802.7171315,4 X 4 X 2 CARBON STEEL STANDARD WELD TEE,"4X4X2 REDUCING TEE , ASME B16.9 , BEVELED END , ASTM A234 GRADE WPB , TYPE S S-STD","4X4X2 REDUCING TEE , ASME B16.9 , BEVELED END , ASTM A234 GRADE WPB , TYPE S S-STD",FITTING,REDUCING TEE,4.0,2.0,,CARBON STEEL,A234,WPB,,STANDARD,NAN,NAN,BEVELED,BW,NAN,ASME B16.9,0.9,"4X4X2 REDUCING TEE , ASME B16.9 , BEVELED END , ASTM A234 GRADE WPB , TYPE S S-STD",25,8,GOOD
26,26,26,806.1528261,3 CARBON STEEL STANDARD WELD CAP,"CAP,3,WELD,S40,A234WPB","CAP,3,WELD,S40,A234WPB",FITTING,CAP,3.0,,,CARBON STEEL,A234,WPB,,40,NAN,NAN,NAN,BUTT WELD,NAN,NAN,0.9,"CAP,3,WELD,S40,A234WPB",26,7,GOOD
27,27,27,809.1738898,2 CARBON STEEL SCHEDULE XH WELD 45 ELBOW,"ELBOW, PIPE, 2"", BUTT WELD, 45 DEG, LONG RADIUS, SCH 80/XS, CARBON STEEL","ELBOW, PIPE, 2"", BUTT WELD, 45 DEG, LONG RADIUS, SCH 80/XS, CARBON STEEL",FITTING,ELBOW 45,2.0,,,CARBON STEEL,NAN,NAN,,XH,NAN,NAN,NAN,BUTT WELD,NAN,NAN,0.9,"ELBOW, PIPE, 2"", BUTT WELD, 45 DEG, LONG RADIUS, SCH 80/XS, CARBON STEEL",27,7,GOOD
28,28,28,812.3429261,6 CARBON STEEL WPL6 STANDARD WELD TEE,"6 TEE , ASME B16.9 , BEVELED END , ASTM A420 GRADE WPL6 , TYPE S S-STD","6 TEE , ASME B16.9 , BEVELED END , ASTM A420 GRADE WPL6 , TYPE S S-STD",FITTING,TEE,6.0,,,ALLOY STEEL,A420,WPL6,,STANDARD,NAN,NAN,BEVELED,BW,NAN,ASME B16.9,0.9,"6 TEE , ASME B16.9 , BEVELED END , ASTM A420 GRADE WPL6 , TYPE S S-STD",28,9,GOOD
29,29,29,815.7448305,2 X 5 BLACK SCHEDULE XH SEAMLESS A106 NIPPLE,"NIPPLE, PIPE, SEAMLESS, 2"", TBE, 5"" LG, SCH 80/XS, CARBON STEEL, ASTM A106","NIPPLE, PIPE, SEAMLESS, 2"", TBE, 5"" LG, SCH 80/XS, CARBON STEEL, ASTM A106",PIPE,NIPPLE,2.0,,5.0,CARBON STEEL,A106,NAN,,80,NAN,SEAMLESS,NAN,THREADED BOTH ENDS,NAN,NAN,0.9,"NIPPLE, PIPE, SEAMLESS, 2"", TBE, 5"" LG, SCH 80/XS, CARBON STEEL, ASTM A106",29,8,GOOD
30,30,30,819.0332029,10 STAINLESS STEEL SCHEDULE 10 316L SEAMLESS CAP,"10 CAP , ASME B16.9 , BEVELED END , ASTM A403 GRADE WP316/WP316L , TYPE S S-10S","10 CAP , ASME B16.9 , BEVELED END , ASTM A403 GRADE WP316/WP316L , TYPE S S-10S",FITTING,CAP,10.0,,,STAINLESS STEEL,A403,WP316/WP316L,,10S,NAN,NAN,BEVELED,BW,NAN,ASME B16.9,0.9,"10 CAP , ASME B16.9 , BEVELED END , ASTM A403 GRADE WP316/WP316L , TYPE S S-10S",30,7,GOOD
31,31,31,822.4733829,18 CARBON STEEL STANDARD WELD LONG RADIUS 90 ELBOW,"18"" ELBOW 90D, LR, BW, ASME 16.9, WROUGHT STEEL, ASTM/ASME A/SA-234-WPB, SCH.STD","18"" ELBOW 90D, LR, BW, ASME 16.9, WROUGHT STEEL, ASTM/ASME A/SA-234-WPB, SCH.STD",FITTING,90 DEGREE LONG RADIUS ELBOW,18.0,,,CARBON STEEL,A234,WPB,,STANDARD,NAN,WROUGHT,NAN,BUTT WELD,NAN,ASME B16.9,1.0,"18"" ELBOW 90D, LR, BW, ASME 16.9, WROUGHT STEEL, ASTM/ASME A/SA-234-WPB, SCH.STD",31,7,GOOD
32,32,32,826.2100206,18 BLACK PLAIN END A53B STANDARD ELECTRIC RESISTANCE WELDED DRL PIPE,"18"" PIPE, ASTM A53, GRADE B, CS BLK, ERW, SCH.STD","18"" PIPE, ASTM A53, GRADE B, CS BLK, ERW, SCH.STD",PIPE,ERW PIPE,18.0,,,CARBON STEEL,A53,B,,STANDARD,NAN,ERW,BLACK,NAN,NAN,NAN,0.9,"18"" PIPE, ASTM A53, GRADE B, CS BLK, ERW, SCH.STD",32,9,GOOD
33,33,33,829.3099603,14 STAINLESS STEEL SCHEDULE 40S 304L A312 WELD PIPE,"14 PIPE , ASME B36.19 , BEVELED END , ASTM A312 GRADE TP304/TP304L , ELECTRIC FUSION WELDED , (EJ = 0.80) S-40S","14 PIPE , ASME B36.19 , BEVELED END , ASTM A312 GRADE TP304/TP304L , ELECTRIC FUSION WELDED , (EJ = 0.80) S-40S",PIPE,WELDED PIPE,14.0,,,STAINLESS STEEL,A312,TP304/TP304L,,40S,NAN,ELECTRIC FUSION WELDED,BEVELED,NAN,NAN,EJ = 0.80,0.9,"14 PIPE , ASME B36.19 , BEVELED END , ASTM A312 GRADE TP304/TP304L , ELECTRIC FUSION WELDED , (EJ = 0.80) S-40S",33,8,GOOD
34,34,34,832.9130804,8 STAINLESS STEEL SCHEDULE 10 316L A312 WELD PIPE,"8 PIPE , ASME B36.19 , BEVELED END , ASTM A312 GRADE TP316/TP316L , ELECTRIC FUSION WELDED , (EJ = 0.80) S-10S","8 PIPE , ASME B36.19 , BEVELED END , ASTM A312 GRADE TP316/TP316L , ELECTRIC FUSION WELDED , (EJ = 0.80) S-10S",PIPE,PIPE,8.0,,,STAINLESS STEEL,A312,TP316/TP316L,,10S,NAN,ELECTRIC FUSION WELDED,BEVELED,NAN,NAN,EJ = 0.80,0.9,"8 PIPE , ASME B36.19 , BEVELED END , ASTM A312 GRADE TP316/TP316L , ELECTRIC FUSION WELDED , (EJ = 0.80) S-10S",34,8,GOOD
35,35,35,837.145987,8 150 WRI 316 FG 316 IR GASKET *Z,"GASKET, SPIRAL WOUND, 8"" PIPE, 150 LB, 316 SS WINDING, GRAFOIL, W/ INNER RING","GASKET, SPIRAL WOUND, 8"" PIPE, 150 LB, 316 SS WINDING, GRAFOIL, W/ INNER RING",GASKET,SPIRAL WOUND,8.0,,,STAINLESS STEEL,NAN,316,150.0,NAN,NAN,NAN,NAN,NAN,GRAFOIL,WITH INNER RING,0.9,"GASKET, SPIRAL WOUND, 8"" PIPE, 150 LB, 316 SS WINDING, GRAFOIL, W/ INNER RING",35,8,GOOD
36,36,36,840.3934414,16 STAINLESS STEEL SCHEDULE 10S 304L A312 WELD PIPE,"16"" PIPE, ASTM A-312 304L SS, WELDED, SCH 10S, ASME B36.19M","16"" PIPE, ASTM A-312 304L SS, WELDED, SCH 10S, ASME B36.19M",PIPE,PIPE,16.0,,,STAINLESS STEEL,A312,304L,,10S,NAN,WELDED,NAN,NAN,NAN,ASME B36.19M,0.9,"16"" PIPE, ASTM A-312 304L SS, WELDED, SCH 10S, ASME B36.19M",36,7,GOOD
37,37,37,844.2086185,"1"" 150 NON-RISING STEM THREAD BONNET GATE VALVE BRONZE NOT FOR POTABLE USE THREADED","VALVE, GATE, 1"", THREADED, 150 LB, BRASS BODY, TR: BRASS","VALVE, GATE, 1"", THREADED, 150 LB, BRASS BODY, TR: BRASS",VALVE,GATE VALVE,1.0,,,BRASS,NAN,NAN,150.0,NAN,NAN,NAN,NAN,THREADED,BRASS,NAN,0.9,"VALVE, GATE, 1"", THREADED, 150 LB, BRASS BODY, TR: BRASS",37,7,GOOD
38,38,38,847.9733604,2 X 3 BLACK SCHEDULE XH SEAMLESS A106 NIPPLE,"NIPPLE, PIPE, SEAMLESS, 2"", TBE, 3"" LG, SCH 80/XS, CARBON STEEL, ASTM A106","NIPPLE, PIPE, SEAMLESS, 2"", TBE, 3"" LG, SCH 80/XS, CARBON STEEL, ASTM A106",PIPE,NIPPLE,2.0,,3.0,CARBON STEEL,A106,NAN,,80,NAN,SEAMLESS,TBE,NAN,NAN,NAN,0.9,"NIPPLE, PIPE, SEAMLESS, 2"", TBE, 3"" LG, SCH 80/XS, CARBON STEEL, ASTM A106",38,8,GOOD
39,39,39,851.2486847,4 CARBON STEEL SCHEDULE XH WELD 45 ELBOW,"ELBOW, PIPE, 4"", BUTT WELD, 45 DEG, LONG RADIUS, SCH 80/XS, CARBON STEEL","ELBOW, PIPE, 4"", BUTT WELD, 45 DEG, LONG RADIUS, SCH 80/XS, CARBON STEEL",FITTING,45 ELBOW,4.0,,,CARBON STEEL,NAN,NAN,,SCHEDULE 80,NAN,NAN,NAN,BUTT WELD,NAN,XS,0.9,"ELBOW, PIPE, 4"", BUTT WELD, 45 DEG, LONG RADIUS, SCH 80/XS, CARBON STEEL",39,9,GOOD
40,40,40,854.5499165,8 CARBON STEEL SCHEDULE XH WELD LONG RADIUS 90 ELBOW,"8 90 DEGREE LONG RADIUS ELBOW , ASME B16.9 , BEVELED END , ASTM A234 GRADE WPB , TYPE S S-80","8 90 DEGREE LONG RADIUS ELBOW , ASME B16.9 , BEVELED END , ASTM A234 GRADE WPB , TYPE S S-80",FITTING,90 DEGREE LONG RADIUS ELBOW,8.0,,,CARBON STEEL,A234,WPB,,80,NAN,NAN,BEVELED,BW,NAN,ASME B16.9,0.9,"8 90 DEGREE LONG RADIUS ELBOW , ASME B16.9 , BEVELED END , ASTM A234 GRADE WPB , TYPE S S-80",40,16,NOT BAD
41,41,41,858.0300779,3 BLACK PLAIN END A106B SCHEDULE 40 SEAMLESS DRL PIPE,"PIPE, SEAMLESS, 3"", SCH 40/STD, CS, ASTM A53, A106, GR: B, DOUBLE RANDOM","PIPE, SEAMLESS, 3"", SCH 40/STD, CS, ASTM A53, A106, GR: B, DOUBLE RANDOM",PIPE,SEAMLESS PIPE,3.0,,,CARBON STEEL,A53/A106,B,,40,NAN,SEAMLESS,PLAIN END,NAN,NAN,DOUBLE RANDOM,0.9,"PIPE, SEAMLESS, 3"", SCH 40/STD, CS, ASTM A53, A106, GR: B, DOUBLE RANDOM",41,14,NOT BAD
42,42,42,861.3950772,8 CARBON STEEL WPL6 STANDARD WELD 45 ELBOW,"8 45 DEGREE LONG RADIUS ELBOW , ASME B16.9 , BEVELED END , ASTM A420 GRADE WPL6 , TYPE S S-STD","8 45 DEGREE LONG RADIUS ELBOW , ASME B16.9 , BEVELED END , ASTM A420 GRADE WPL6 , TYPE S S-STD",FITTING,45 DEGREE LONG RADIUS ELBOW,8.0,,,CARBON STEEL,A420,WPL6,,STANDARD,NAN,NAN,BEVELED,BW,NAN,ASME B16.9,0.9,"42. 8 45 DEGREE LONG RADIUS ELBOW , ASME B16.9 , BEVELED END , ASTM A420 GRADE WPL6 , TYPE S S-STD",42,20,NOT BAD
43,43,43,865.1244066,4X4X2 CARBON STEEL STANDARD WELD TEE,"TEE, PIPE, REDUCING, 4"" X 4"" X 2"", SCH 40/XH, BUTT WELD, CS, A234","TEE, PIPE, REDUCING, 4"" X 4"" X 2"", SCH 40/XH, BUTT WELD, CS, A234",FITTING,REDUCING TEE,4.0,2.0,,CARBON STEEL,A234,NAN,,40,80,NAN,NAN,BUTT WELD,NAN,NAN,0.9,"TEE, PIPE, REDUCING, 4"" X 4"" X 2"", SCH 40/XH, BUTT WELD, CS, A234",43,15,NOT BAD
44,44,44,868.6257806,6 X 6 X 3 CARBON STEEL STANDARD WELD TEE,"6X6X3 REDUCING TEE , ASME B16.9 , BEVELED END , ASTM A234 GRADE WPB , TYPE S S-STD","6X6X3 REDUCING TEE , ASME B16.9 , BEVELED END , ASTM A234 GRADE WPB , TYPE S S-STD",FITTING,TEE,6.0,3.0,,CARBON STEEL,A234,WPB,,STANDARD,NAN,NAN,BEVELED,BW,NAN,ASME B16.9,0.9,"6X6X3 REDUCING TEE , ASME B16.9 , BEVELED END , ASTM A234 GRADE WPB , TYPE S S-STD",44,19,NOT BAD
