Customer's Inbound RFQ Description,Selected Part Number,Descrip from Prod Cat,Product Code,Description,Category_GT,Type_GT,Primary Size_GT,Reducing Size_GT,Length_GT,Material Name_GT,Material Specification_GT,Material Grade_GT,Pressure Class_GT,Primary Schedule_GT,Reducing Schedule_GT,Manufacturing Process_GT,End Finish_GT,End Connections_GT,Trim_GT,Miscellaneous_GT,confidence_GT,original_text_GT,Primary Wall_GT,Reducing Wall_GT,Wall Thickness_GT,max_GT,od_GT,id_GT,wall_GT,i,START_TIME_RFQ,gt_desc,inc_rfq_raw,inc_rfq,CATEGORY_RFQ,TYPE_RFQ,PRIMARY_SIZE_RFQ,REDUCING_SIZE_RFQ,LENGTH_RFQ,MATERIAL_NAME_RFQ,MATERIAL_SPECIFICATION_RFQ,MATERIAL_GRADE_RFQ,PRESSURE_CLASS_RFQ,PRIMARY_SCHEDULE_RFQ,REDUCING_SCHEDULE_RFQ,MANUFACTURING_PROCESS_RFQ,END_FINISH_RFQ,END_CONNECTIONS_RFQ,,MISCELLANEOUS_RFQ,CONFIDENCE_RFQ,ORIGINAL_TEXT_RFQ
"6-XA106BS-PIPE,SMLS,6,XH (S80)-SA-106B",IPA060XHTR,"6"" XH .432w BLK SA53B/SA106-B/C SEAMLESS PIPE (SPAIN)",IPA060XHTR,"6"" XH .432w BLK SA53B/SA106-B/C SEAMLESS PIPE (SPAIN)",PIPE,SEAMLESS PIPE,6.0,,,CARBON STEEL,SA53B/SA106,B/C,,XH,,SMLS,BLK,,,(SPAIN),0.9,6\\ XH .432w BLK SA53B/SA106-B/C SEAMLESS PIPE (SPAIN),,,,,,,,196,772.4443915,"6"" XH .432w BLK SA53B/SA106-B/C SEAMLESS PIPE (SPAIN)","6-XA106BS-PIPE,SMLS,6,XH (S80)-SA-106B","6-XA106BS-PIPE,SMLS,6,XH (S80)-SA-106B",pipe,seamless_pipe,6.0,,,carbon_steel,A106,B,,XH,,SMLS,,,,,0.9,"6-XA106BS-PIPE,SMLS,6,XH (S80)-SA-106B"
"15000222-ELBOW,LR45,6,S120-SA-234-WPB",IWL406012A,"6"" S-120LR 45°WELD ELL, SA234-WPB",IWL406012A,"6"" S-120LR 45°WELD ELL, SA234-WPB",FITTING,LONG RADIUS 45 ELBOW,6.0,,,CARBON STEEL,SA234,WPB,,120,,,BW,BUTT WELD,,,0.9,6\\ S-120LR 45°WELD ELL SA234-WPB,,,,,,,,272,778.5781791,"6"" S-120LR 45°WELD ELL, SA234-WPB","15000222-ELBOW,LR45,6,S120-SA-234-WPB","15000222-ELBOW,LR45,6,S120-SA-234-WPB",fitting,long_radius_45_elbow,6.0,,,carbon_steel,SA234,WPB,,120,,,,,,,0.9,"15000222-ELBOW,LR45,6,S120-SA-234-WPB"
"FLG,LWN,RF,10,300#,13""LG-FLG,LWN,RF,10,300#,13""LG",FLW03100114A,"10"" 300# RF LONG WELD NECK x 14"" LG, SA105",FLW03100114A,"10"" 300# RF LONG WELD NECK x 14"" LG, SA105",FLANGE,WELD NECK,10.0,,14,CARBON STEEL,A105,,300,,,,RAISED FACE,,,LONG,0.9,10\\ 300# RF LONG WELD NECK x 14\\ LG SA105,,,,,,,,1004,785.4847702,"10"" 300# RF LONG WELD NECK x 14"" LG, SA105","FLG,LWN,RF,10,300#,13""LG-FLG,LWN,RF,10,300#,13""LG","FLG,LWN,RF,10,300 ,13 INCHLG-FLG,LWN,RF,10,300 ,13 INCHLG",flange,weld_neck,10.0,,13.0,,,,300,,,,raised_face,,,,0.8,"FLG,LWN,RF,10,300 ,13 INCHLG-FLG,LWN,RF,10,300 ,13 INCHLG"
"6"" Sch 40 A106B smls",PA060ST52,"6"" STD .280w API-5L X52/SA333 GR 6/SA106B SEAMLESS PIPE",PA060ST52,"6"" STD .280w API-5L X52/SA333 GR 6/SA106B SEAMLESS PIPE",PIPE,SEAMLESS PIPE,6.0,,,CARBON STEEL,API-5L/SA333/SA106,X52/GR6/B,,STD,,SMLS,,,,.280W WALL THICKNESS,0.9,6\\ STD .280w API-5L X52/SA333 GR 6/SA106B SEAMLESS PIPE,,,,,,,,252,789.1584955,"6"" STD .280w API-5L X52/SA333 GR 6/SA106B SEAMLESS PIPE","6"" Sch 40 A106B smls","6"" SCH 40 A106B SMLS",pipe,smls_pipe,6.0,,,carbon_steel,A106,B,,40,,smls,,,,,1.0,"6"" SCH 40 A106B SMLS"
"12700363-PIPE,SMLS,14,S100-SA-106B",PA14010,"14"" S-100 .938W SA106-B SEAMLESS PIPE",PA14010,"14"" S-100 .938W SA106-B SEAMLESS PIPE",PIPE,SEAMLESS,14.0,,,CARBON STEEL,A106,B,,100,,SEAMLESS,,,,.938W,0.9,14\\ S-100 .938W SA106-B SEAMLESS PIPE,,,,,,,,894,793.939348,"14"" S-100 .938W SA106-B SEAMLESS PIPE","12700363-PIPE,SMLS,14,S100-SA-106B","12700363-PIPE,SMLS,14,S100-SA-106B",pipe,seamless_pipe,14.0,,,carbon_steel,SA-106,B,,S100,,seamless,,,,,0.9,"12700363-PIPE,SMLS,14,S100-SA-106B"
"1"" 300# RFSW Flange S/80 Bore A/SA105",FSW030101X,"1"" 300# RF SOCKET WELD FLANGE XH BORE, SA105",FSW030101X,"1"" 300# RF SOCKET WELD FLANGE XH BORE, SA105",FLANGE,SOCKET WELD,1.0,,,CARBON STEEL,A105,,300,XH,,,RAISED FACE,SOCKET WELD,,XH BORE,0.9,1\\ 300# RF SOCKET WELD FLANGE XH BORE SA105,,,,,,,,1126,798.1041557,"1"" 300# RF SOCKET WELD FLANGE XH BORE, SA105","1"" 300# RFSW Flange S/80 Bore A/SA105","1"" 300 RFSW FLANGE S/80 BORE A/SA105",flange,socket_weld,1.0,,,carbon_steel,A105,,300,80,,,raised_face,socket_weld,,bore,0.9,"1"" 300 RFSW FLANGE S/80 BORE A/SA105"
"887520 RED#ECC,WELD,8X6*SCH10S/SCH10S,ASTM A403",IWEC408006001,"8"" X 6"" S10 ECCENTRIC WELD REDUCER, A403 WP304/304L",IWEC408006001,"8"" X 6"" S10 ECCENTRIC WELD REDUCER, A403 WP304/304L",FITTING,ECCENTRIC REDUCER,8.0,6,,STAINLESS STEEL,A403,WP304/304L,,10,,WELDED,,,,,0.9,8\\ X 6\\ S10 ECCENTRIC WELD REDUCER A403 WP304/304L,,,,,,,,22,802.8736089,"8"" X 6"" S10 ECCENTRIC WELD REDUCER, A403 WP304/304L","887520 RED#ECC,WELD,8X6*SCH10S/SCH10S,ASTM A403","887520 RED ECC,WELD,8X6*SCH10S/SCH10S,ASTM A403",fitting,eccentric_reducer,8.0,6.0,,stainless_steel,A403,,,10S,10S,,,BW,,,0.9,"887520 RED ECC,WELD,8X6*SCH10S/SCH10S,ASTM A403"
"3"" S/10 Smls or Welded Pipe x SRL A/SA312-TP304",IPS4030S10K,"3"" S10 .120"" Wall SEAMLESS PIPE SA312-TP-304Lss",IPS4030S10K,"3"" S10 .120"" Wall SEAMLESS PIPE SA312-TP-304Lss",PIPE,SEAMLESS PIPE,3.0,,,STAINLESS STEEL,SA312,TP304L,,S10,,SEAMLESS,,,,.120\\ WALL,0.9,3\\ S10 .120\\ Wall SEAMLESS PIPE SA312-TP-304Lss,,,,,,,,694,806.5521159,"3"" S10 .120"" Wall SEAMLESS PIPE SA312-TP-304Lss","3"" S/10 Smls or Welded Pipe x SRL A/SA312-TP304","3"" S/10 SMLS OR WELDED PIPE X SRL A/SA312-TP304",pipe,pipe,3.0,,,stainless_steel,A312,TP304,,10,,smls_or_welded,,,,SRL,0.9,"3"" S/10 SMLS OR WELDED PIPE X SRL A/SA312-TP304"
"4-300RFWNS-FLG,WN,RF,4,300#,STD (S40)",IFWN030401S,"4"" 300# RF WELD NECK FLANGE STD BORE, SA105",IFWN030401S,"4"" 300# RF WELD NECK FLANGE STD BORE, SA105",FLANGE,WELD NECK,4.0,,,CARBON STEEL,A105,,300,STD,,,RAISED FACE,,,STANDARD BORE,0.9,4\\ 300# RF WELD NECK FLANGE STD BORE SA105,,,,,,,,556,811.2388342,"4"" 300# RF WELD NECK FLANGE STD BORE, SA105","4-300RFWNS-FLG,WN,RF,4,300#,STD (S40)","4-300RFWNS-FLG,WN,RF,4,300 ,STD (S40)",flange,weld_neck,4.0,,,,,,300,STD,,,raised_face,,,,0.9,"4-300RFWNS-FLG,WN,RF,4,300 ,STD (S40)"
"3-XA106BS-PIPE,SMLS,3,XH(S80)-SA-106B",IPA030XHAM,"3"" XH .300W ASTM/ASME/SA53B/API5L/X42/SA106B/C SEAMLESS PIPE",IPA030XHAM,"3"" XH .300W ASTM/ASME/SA53B/API5L/X42/SA106B/C SEAMLESS PIPE",PIPE,SEAMLESS PIPE,3.0,,,CARBON STEEL,A53B/A106B/API5L,X42,,XH,,SEAMLESS,,,,.300W,0.9,3\\ XH .300W ASTM/ASME/SA53B/API5L/X42/SA106B/C SEAMLESS PIPE,,,,,,,,642,816.1982619,"3"" XH .300W ASTM/ASME/SA53B/API5L/X42/SA106B/C SEAMLESS PIPE","3-XA106BS-PIPE,SMLS,3,XH(S80)-SA-106B","3-XA106BS-PIPE,SMLS,3,XH(S80)-SA-106B",pipe,seamless_pipe,3.0,,,carbon_steel,A106,B,,80,,seamless,,,,,0.9,"3-XA106BS-PIPE,SMLS,3,XH(S80)-SA-106B"
"4"" 600# A-105 Blind",FBD060401,"4"" 600# RF BLIND FLANGE, SA105N-FGP/SA350-LF2 CL1/A694F42",FBD060401,"4"" 600# RF BLIND FLANGE, SA105N-FGP/SA350-LF2 CL1/A694F42",FLANGE,BLIND,4.0,,,CARBON STEEL,A105N,,600,,,,RF,,,SA350-LF2 CL1/A694F42,0.9,4\\ 600# RF BLIND FLANGE SA105N-FGP/SA350-LF2 CL1/A694F42,,,,,,,,548,820.1508577,"4"" 600# RF BLIND FLANGE, SA105N-FGP/SA350-LF2 CL1/A694F42","4"" 600# A-105 Blind","4"" 600 A-105 BLIND",flange,blind,4.0,,,carbon_steel,A105,,600,,,,,,,,0.9,"4"" 600 A-105 BLIND"
"3"" Sch. Std. Pipe scarfed to suit 3"" NPS OD A106 Gr. B",PA030STBTR,"3"" STD .216W BLK QUAD STENCILED PSL2 SA53-B/API5L/B/X42 SA106B/C SEAMLESS PIPE",PA030STBTR,"3"" STD .216W BLK QUAD STENCILED PSL2 SA53-B/API5L/B/X42 SA106B/C SEAMLESS PIPE",PIPE,SEAMLESS,3.0,,,CARBON STEEL,SA53-B/API5L/B/X42/SA106B/C,,,STANDARD,,SEAMLESS,BLACK,,,QUAD STENCILED PSL2,0.9,3\\ STD .216W BLK QUAD STENCILED PSL2 SA53-B/API5L/B/X42 SA106B/C SEAMLESS PIPE,,,,,,,,664,823.8073538,"3"" STD .216W BLK QUAD STENCILED PSL2 SA53-B/API5L/B/X42 SA106B/C SEAMLESS PIPE","3"" Sch. Std. Pipe scarfed to suit 3"" NPS OD A106 Gr. B","3"" SCH. STD. PIPE SCARFED TO SUIT 3"" NPS OD A106 GR. B",pipe,pipe,3.0,,,carbon_steel,A106,B,,standard,,scarfed,,,,"scarfed to suit 3"" NPS OD",0.9,"3"" SCH. STD. PIPE SCARFED TO SUIT 3"" NPS OD A106 GR. B"
"1-.5-160-PIPE,SMLS,1 1/2,S160",PA01516,"1-1/2"" S-160 .281W BLK API-5L/X42/SA106-B SEAMLESS PIPE",PA01516,"1-1/2"" S-160 .281W BLK API-5L/X42/SA106-B SEAMLESS PIPE",PIPE,SEAMLESS PIPE,1.5,,,CARBON STEEL,API-5L/SA106,X42/B,,160,,SEAMLESS,BLACK,,,.281W,0.9,1-1/2\\ S-160 .281W BLK API-5L/X42/SA106-B SEAMLESS PIPE,,,,,,,,942,828.6972085,"1-1/2"" S-160 .281W BLK API-5L/X42/SA106-B SEAMLESS PIPE","1-.5-160-PIPE,SMLS,1 1/2,S160","1-.5-160-PIPE,SMLS,1.5,S160",pipe,smls,1.5,,,,,,,160,,seamless,,,,,0.7,"1-.5-160-PIPE,SMLS,1.5,S160"
"3"" - SCH 160 A53 - B - A106B SMLS- SRL PIPE",IPA030XHTR,"3"" XH .300W BLK SA53-B/ SA106-B/C SEAMLESS PIPE (SPAIN)",IPA030XHTR,"3"" XH .300W BLK SA53-B/ SA106-B/C SEAMLESS PIPE (SPAIN)",PIPE,SEAMLESS PIPE,3.0,,,CARBON STEEL,SA53-B/SA106-B/C,,,EXTRA HEAVY,,SEAMLESS,BLACK,,,(SPAIN),0.9,3\\ XH .300W BLK SA53-B/ SA106-B/C SEAMLESS PIPE (SPAIN),,,,,,,,634,832.6403563,"3"" XH .300W BLK SA53-B/ SA106-B/C SEAMLESS PIPE (SPAIN)","3"" - SCH 160 A53 - B - A106B SMLS- SRL PIPE","3"" - SCH 160 A53 - B - A106B SMLS- SRL PIPE",pipe,seamless_pipe,3.0,,,carbon_steel,A53/A106,B,,160,,seamless,,,,SRL,0.9,"3"" - SCH 160 A53 - B - A106B SMLS- SRL PIPE"
"11100825-FLG,WN,RF,8,300#,XH (S80)-SA-105N",FWN010801X,"8"" 150# RF WELD NECK FLANGE XH BORE, SA105N-FGP",FWN010801X,"8"" 150# RF WELD NECK FLANGE XH BORE, SA105N-FGP",FLANGE,WELD NECK,8.0,,,CARBON STEEL,A105,N,150,XH,,,RF,,,FGP,0.9,8\\ 150# RF WELD NECK FLANGE XH BORE SA105N-FGP,,,,,,,,154,836.6964483,"8"" 150# RF WELD NECK FLANGE XH BORE, SA105N-FGP","11100825-FLG,WN,RF,8,300#,XH (S80)-SA-105N","11100825-FLG,WN,RF,8,300 ,XH (S80)-SA-105N",flange,weld_neck,8.0,,,carbon_steel,A105,N,300,XH,,,raised_face,,,,0.9,"11100825-FLG,WN,RF,8,300 ,XH (S80)-SA-105N"
"12700315-PIPE,SMLS,10,XH (S60)-SA-106B",IPA100XH,"10"" XH .500W SA106-B SEAMLESS PIPE",IPA100XH,"10"" XH .500W SA106-B SEAMLESS PIPE",PIPE,SEAMLESS,10.0,,,CARBON STEEL,A106,B,,XH,,SEAMLESS,,,,.500W,0.9,10\\ XH .500W SA106-B SEAMLESS PIPE,,,,,,,,958,840.6183314,"10"" XH .500W SA106-B SEAMLESS PIPE","12700315-PIPE,SMLS,10,XH (S60)-SA-106B","12700315-PIPE,SMLS,10,XH (S60)-SA-106B",pipe,seamless,10.0,,,carbon_steel,SA-106,B,,XH,,seamless,,,,,0.9,"12700315-PIPE,SMLS,10,XH (S60)-SA-106B"
"11101079-FLG,WN,RF,8,300#,S100-SA-105N",FWN010801S,"8"" 150# RF WELD NECK FLANGE STD BORE, SA105N-FGP",FWN010801S,"8"" 150# RF WELD NECK FLANGE STD BORE, SA105N-FGP",FLANGE,WELD NECK,8.0,,,CARBON STEEL,A105,N,150,STD,,,RAISED FACE,,,FGP,0.9,8\\ 150# RF WELD NECK FLANGE STD BORE SA105N-FGP,,,,,,,,156,847.224589,"8"" 150# RF WELD NECK FLANGE STD BORE, SA105N-FGP","11101079-FLG,WN,RF,8,300#,S100-SA-105N","11101079-FLG,WN,RF,8,300 ,S100-SA-105N",flange,weld_neck,8.0,,,carbon_steel,A105,N,300,,,,raised_face,,,S100,1.0,"11101079-FLG,WN,RF,8,300 ,S100-SA-105N"
"11100639-FLG,WN,RF,2,600#,S160-SA-105N",FWN06020116KU,"2"" 600# RF WELD NECK FLANGE S-160 BORE, SA105N-FGP",FWN06020116KU,"2"" 600# RF WELD NECK FLANGE S-160 BORE, SA105N-FGP",FLANGE,WELD NECK,2.0,,,CARBON STEEL,A105,N,600,160,,,RAISED FACE,,,FGP,0.9,2\\ 600# RF WELD NECK FLANGE S-160 BORE SA105N-FGP,,,,,,,,820,851.3755419,"2"" 600# RF WELD NECK FLANGE S-160 BORE, SA105N-FGP","11100639-FLG,WN,RF,2,600#,S160-SA-105N","11100639-FLG,WN,RF,2,600 ,S160-SA-105N",flange,weld_neck,2.0,,,carbon_steel,A105,N,600,160,,,raised_face,,,,1.0,"11100639-FLG,WN,RF,2,600 ,S160-SA-105N"
"12700464-PIPE,SMLS,20,S80-SA-106B",PA20008,"20"" S-80 1.031W BLK SA106-B SEAMLESS PIPE",PA20008,"20"" S-80 1.031W BLK SA106-B SEAMLESS PIPE",PIPE,SEAMLESS,20.0,,,CARBON STEEL,A106,B,,80,,SEAMLESS,BLACK,,,1.031W,0.9,20\\ S-80 1.031W BLK SA106-B SEAMLESS PIPE,,,,,,,,758,857.9728971,"20"" S-80 1.031W BLK SA106-B SEAMLESS PIPE","12700464-PIPE,SMLS,20,S80-SA-106B","12700464-PIPE,SMLS,20,S80-SA-106B",pipe,seamless_pipe,20.0,,,carbon_steel,A106,B,,80,,seamless,,,,,0.9,"12700464-PIPE,SMLS,20,S80-SA-106B"
"H31943 EL6,90,LR,WLD,S40S,ASTM A403 GRWP304/304L",IWL94060S,"6"" STD LR 90° WELD ELL, SA403-WP304L",IWL94060S,"6"" STD LR 90° WELD ELL, SA403-WP304L",FITTING,LONG RADIUS 90 ELBOW,6.0,,,STAINLESS STEEL,SA403,WP304L,,STANDARD,,,,BUTT WELD,,,0.9,6\\ STD LR 90° WELD ELL SA403-WP304L,,,,,,,,226,862.2982005,"6"" STD LR 90° WELD ELL, SA403-WP304L","H31943 EL6,90,LR,WLD,S40S,ASTM A403 GRWP304/304L","H31943 EL6,90,LR,WLD,S40S,ASTM A403 GRWP1.0L",fitting,90_degree_long_radius_elbow,6.0,,,stainless_steel,ASTM A403,WP1.0L,,40S,,WLD,,,,,0.9,"H31943 EL6,90,LR,WLD,S40S,ASTM A403 GRWP1.0L"
"12700335-PIPE,SMLS,12,XH-SA-106B",IPA120XHAM,"12"" XH .500W BLK ASTM/ASME/SA53B/API5L/X42/SA106B/C SEAMLESS PIPE",IPA120XHAM,"12"" XH .500W BLK ASTM/ASME/SA53B/API5L/X42/SA106B/C SEAMLESS PIPE",PIPE,SEAMLESS,12.0,,,CARBON STEEL,A53B/A106B/API5L,X42,,XH,,SEAMLESS,BLACK,,,.500W,0.9,12\\ XH .500W BLK ASTM/ASME/SA53B/API5L/X42/SA106B/C SEAMLESS PIPE,,,,,,,,902,868.0913584,"12"" XH .500W BLK ASTM/ASME/SA53B/API5L/X42/SA106B/C SEAMLESS PIPE","12700335-PIPE,SMLS,12,XH-SA-106B","12700335-PIPE,SMLS,12,XH-SA-106B",pipe,seamless,12.0,,,carbon_steel,A106,B,,extra_heavy,,seamless,,,,,0.9,"12700335-PIPE,SMLS,12,XH-SA-106B"
