Unnamed: 0,Description,category,type,primary_size,reducing_size,length,material_name,material_specification,material_grade,pressure_class,primary_schedule,reducing_schedule,manufacturing_process,end_finish,end_connections,trim,miscellaneous,confidence
27,12 IPS SDR11 PC100 HDPE Wye Fabricated,fitting,WYE,12,,,HDPE,,,100,SDR11,,FABRICATED,,,,IRON PIPE SIZE,0.85
28,12 X 6 IPS SDR11 PC100 HDPE Wye Fabricated,fitting,WYE,12,6    ,,HDPE,,,100,SDR11,,FABRICATED,,,,IRON PIPE SIZE,0.9
29,18 IPS SDR11 PC100 HDPE Wye Fabricated,fitting,WYE,18,,,HDPE,,,100,SDR11,,FABRICATED,,,,IRON PIPE SIZE,0.9
30,8 IPS SDR11 PC100 HDPE Wye Fabricated,fitting,WYE,8,,,HDPE,,,100,SDR11,,FABRICATED,,,,IRON PIPE SIZE,0.9
31,4 IPS SDR11 PC100 HDPE Fabricated Wye LAT,fitting,WYE LATERAL,4,,,HDPE,,,100,SDR11,,FABRICATED,,,,IRON PIPE SIZE,0.85
32,6 SDR11 PC100 HDPE Fabricated Wye LAT,fitting,WYE LATERAL,6,,,HDPE,,,100,SDR11,,FABRICATED,,,,,0.85
33,10 IPS SDR17 PC100 22-1/2 Elbow 2 Piece,fitting,22-1/2 DEGREE ELBOW,10,,,IRON,,,100,SDR17,,,,,,2-PIECE,0.8
34,18 IPS SDR17 PC100 22-1/2 Elbow 2 Piece,fitting,22-1/2 DEGREE ELBOW,18,,,IRON,,,100,SDR17,,,,,,2-PIECE,0.8
35,24 IPS SDR17 PC100 22-1/2 Elbow 2 Piece,fitting,22-1/2 DEGREE ELBOW,24,,,IRON,,,100,SDR17,,,,,,2-PIECE,0.8
36,10 IPS SDR17 PC100  45 Fabricated 2 Piece,fitting,45 DEGREE ELBOW,10,,,IRON,,,100,SDR17,,FABRICATED,,,,2-PIECE,0.8
37,16 DIPS SDR17 PC100 45 Elbow Fabricated 2 Piece,fitting,45 DEGREE ELBOW,16,,,IRON,,,100,SDR17,,FABRICATED,,,,2-PIECE,0.85
38,18 IPS SDR17 PC100  45 Fabricated 2 Piece,fitting,45 DEGREE ELBOW,18,,,IRON,,,100,SDR17,,FABRICATED,,,,2-PIECE,0.85
39,36 IPS SDR17 PC100 2 Piece 45 Elbow,fitting,45 DEGREE ELBOW,36,,,IRON,,,100,SDR17,,,,,,2-PIECE,0.8
40,16 IPS SDR17 PC100  90 Fabricated 3 Piece,fitting,90 DEGREE ELBOW,16,,,IRON,,,100,SDR17,,FABRICATED,,,,3-PIECE,0.85
41,10 IPS SDR17 PC100 BEV BFV FLG Adapter,valve,butterfly,10,,,iron,,,100,SDR17,,,BEV,flange,,adapter,0.85
42,12 IPS SDR17 PC100 BEV BFV FLG Adapter,valve,butterfly,12,,,iron,,,100,SDR17,,,BEV,flange,,adapter,0.8
43,16 IPS SDR17 PC100 BEV BFV FLG Adapter,valve,butterfly,16,,,iron,,,100,SDR17,,,BEV,flange,,adapter,0.8
44,42 X 36 IPS SDR17 PC100 Fabricated CONC Reducer,fitting,CONCENTRIC REDUCER,42,36    ,,IRON,,,100,SDR17,SDR17,FABRICATED,,,,PIPE SIZE,0.85
45,8 X 4 IPS SDR17 PC100 Fabricated ECC Reducer,fitting,ECCENTRIC REDUCER,8,4    ,,IRON,,,100,SDR17,,FABRICATED,,,,IPS,0.85
46,10 IPS SDR17 PC100  90 Fabricated Five Piece,pipe,fabricated pipe,10,,,iron,,,100,SDR17,,fabricated,,,,five piece 90 degree,0.8
47,30 IPS SDR17 PC100 BEV BFV FLG Adapter,fitting,FLANGE ADAPTER,30,,,IRON,,,100,SDR17,,,BEV,,,,0.8
48,10 IPS SDR17 PC100  90 Fabricated 3 Piece,pipe,pipe,10,,,iron,,,100,SDR17,,fabricated,,,,3-piece,0.8
49,24 IPS SDR17 PC100  45 Fabricated 2 Piece,pipe,pipe,24,,,IRON,,,100,SDR17,,FABRICATED,,,,2-PIECE,0.8
50,BLANKX4 IPS SDR17 PC100 Saddle Fabricated,fitting,saddle,4,,,iron,,,100,SDR17,,fabricated,,,,,0.85
51,BLANKX8 IPS SDR17 PC100 Saddle Fabricated,fitting,SADDLE,8,,,IRON,,,100,SDR17,,FABRICATED,,,,BLANK,0.8
52,12 X 8 IPS SDR17 PC100 BF SWAGE Reducer,fitting,SWAGE REDUCER,12,8    ,,IRON,,,100,SDR17,,,,SW,,BF,0.85
53,10 IPS SDR17 PC100  Tee Fabricated,fitting,TEE,10,,,IRON,,,100,SDR17,,FABRICATED,,,,,0.8
54,18 IPS SDR17 PC100  Tee Fabricated,fitting,TEE,18,,,IRON,,,100,SDR17,,FABRICATED,,,,IPS,0.85
55,24 IPS SDR17 PC100  Tee Fabricated,fitting,TEE,24,,,IRON,,,100,SDR17,,FABRICATED,,,,IPS,0.85
56,18 DIPS SDR11 PC100 Wye Fabricated,fitting,WYE,18,,,IRON,,,100,SDR11,,FABRICATED,,,,,0.8
57,3 IPS SDR17 PC100 22-1/2 Elbow 2P Fabricated,fitting,22-1/2 DEGREE ELBOW,3,,,,,,100,SDR17,,FABRICATED,,,,2P,0.8
58,36 IPS SDR17 PC100 22-1/2 Elbow 2 Piece,fitting,22-1/2 DEGREE ELBOW,36,,,,,,100,SDR17,,,,,,2-PIECE,0.8
59,4 IPS SDR17 PC100 22-1/2 Elbow 2P Fabricated,fitting,22-1/2 DEGREE ELBOW,4,,,,,,100,SDR17,,FABRICATED,,,,2P,0.8
60,8 IPS SDR17 PC100 22-1/2 Elbow 2P Fabricated,fitting,22-1/2 DEGREE ELBOW,8,,,,,,100,SDR17,,FABRICATED,,,,2P,0.8
61,20 IPS SDR17 PC100  45 Fabricated 2 Piece,fitting,45 DEGREE ELBOW,20,,,,,,100,SDR17,,FABRICATED,,,,2-PIECE,0.8
62,20 IPS SDR17 PC100  45 Fabricated 3 Piece,fitting,45 DEGREE ELBOW,20,,,,,,100,SDR17,,FABRICATED,,,,3-PIECE,0.8
63,12 IPS SDR17 PC100  90 Fabricated Five Piece,fitting,90 DEGREE ELBOW,12,,,,,,100,SDR17,,FABRICATED,,,,FIVE PIECE,0.8
64,14 IPS SDR17 PC100  90 Fabricated Five Piece,fitting,90 DEGREE ELBOW,14,,,,,,100,SDR17,,FABRICATED,,,,FIVE PIECE,0.85
65,16 IPS SDR17 PC100  90 Fabricated Five Piece,fitting,90 DEGREE ELBOW,16,,,,,,100,SDR17,,FABRICATED,,,,FIVE PIECE,0.8
66,18 IPS SDR17 PC100  90 Fabricated Five Piece,fitting,90 DEGREE ELBOW,18,,,,,,100,SDR17,,FABRICATED,,,,FIVE PIECE,0.85
67,24 IPS SDR17 PC100  90 Fabricated 3 Piece,fitting,90 DEGREE ELBOW,24,,,,,,100,SDR17,,FABRICATED,,,,3-PIECE,0.8
68,24 IPS SDR17 PC100  90 Fabricated Five Piece,fitting,90 DEGREE ELBOW,24,,,,,,100,SDR17,,FABRICATED,,,,FIVE PIECE,0.8
69,48 IPS SDR17 PC100 90  Fabricated Five Piece,fitting,90 DEGREE ELBOW,48,,,,,,100,SDR17,,FABRICATED,,,,FIVE PIECE,0.8
70,30 IPS SDR17 PC100  45 Fabricated 2 Piece,pipe,fabricated,30,,,,,,100,SDR17,,fabricated,,,,2-piece,0.8
71,36 IPS SDR17 PC100  45 Fabricated 3 Piece,pipe,fabricated,36,,,,,,100,SDR17,,fabricated,,,,3-piece,0.8
72,8 IPS SDR17 PC100  90 Fabricated 3 Piece,pipe,fabricated,8,,,,,,100,SDR17,,,,,,3-piece,0.8
73,48 IPS SDR17 PC100  45 Fabricated 3 Piece,pipe,fabricated pipe,48,,,,,,100,SDR17,,fabricated,,,,3-piece,0.8
74,3 Galvanized Grooved LR 90 Elbow 100,fitting,LR 90 DEGREE ELBOW,3,,,,,,100,,,,GALVANIZED,GROOVED,,,0.85
75,4 Galvanized Grooved LR 90 Elbow 100,fitting,LR 90 DEGREE ELBOW,4,,,,,,100,,,,GALVANIZED,GROOVED,,,0.85
76,6 Painted Grooved LR 90 Elbow 100,fitting,LR 90 DEGREE ELBOW,6,,,,,,100,,,,GROOVED,,,PAINTED,0.8
77,4 Painted Grooved LR 90 Elbow 100,fitting,LR 90 ELBOW,4,,,,,,100,,,,GROOVED,,,PAINTED,0.8
78,36 IPS SDR17 PC100  90 Fabricated 3 Piece,pipe,pipe,36,,,,,,100,SDR17,,fabricated,,,,3-piece,0.8
79,2 Pressure Gauge 0-100 1/4 LM,fitting,pressure_gauge,2, 1/4,,,,,100,,,,,lower_mount,,0-100 range,0.85
80,20 X 16 IPS SDR17 PC100 Reducer Fabricated,fitting,reducer,20,16    ,,,,,100,SDR17,SDR17,fabricated,,,,iron pipe size,0.85
81,12 IPS SDR17 PC100  Tee Fabricated,fitting,TEE,12,,,,,,100,SDR17,,FABRICATED,,,,IRON PIPE SIZE,0.8
82,14 IPS SDR17 PC100  Tee Fabricated,fitting,TEE,14,,,,,,100,SDR17,,FABRICATED,,,,IRON PIPE SIZE,0.85
83,16 IPS SDR17 PC100  Tee Fabricated,fitting,TEE,16,,,,,,100,SDR17,,FABRICATED,,,,IRON PIPE SIZE,0.8
84,20 IPS SDR17 PC100  Fabricated Tee,fitting,TEE,20,,,,,,100,SDR17,,FABRICATED,,,,IRON PIPE SIZE,0.8
85,1/4 AI 125# Threaded Rising Stem GATE Valve,valve,gate,1/4,,,aluminum,,,125,,,,,thd,rising stem,,0.9
86,Lead Law Compliant 2 Brass 125# Threaded Swing Check Valve,valve,swing check,2,,,brass,,,125,,,,,THD,lead law compliant,,0.95
87,Lead Law Compliant 1/2 Brass 125# Union,fitting,UNION,1/2,,,BRASS,,,125,,,,,,,LEAD LAW COMPLIANT,0.9
88,Lead Law Compliant 1-1/2 Brass 125# Union,fitting,UNION,1 1/2,,,BRASS,,,125,,,,,,,LEAD LAW COMPLIANT,0.85
89,Lead Law Compliant 1-1/4 Brass 125# Union,fitting,UNION,1 1/4,,,BRASS,,,125,,,,,,,LEAD LAW COMPLIANT,0.9
90,Lead Law Compliant 1-1/4 Brass 125# Union,fitting,UNION,1 1/4,,,BRASS,,,125,,,,,,,LEAD LAW COMPLIANT,0.9
91,2 Bronze 125# Threaded Rising Stem GATE Valve,valve,gate,2,,,bronze,,,125,,,,,THD,rising stem,,0.9
92,Lead Law Compliant 1 Bronze 125# Sweat NRS GATE,valve,gate,1,,,bronze,,,125,,,,,SW,non-rising stem,lead law compliant,0.9
93,Lead Law Compliant 1-1/2 Bronze 125# Threaded NRS GATE,valve,gate,1 1/2,,,bronze,,,125,,,,,THD,non-rising stem,lead law compliant,0.95
94,Lead Law Compliant 3/4 Bronze 125# Threaded NRS GATE,valve,gate,3/4,,,bronze,,,125,,,,,THD,non-rising stem,lead law compliant,0.9
95,Lead Law Compliant 3/4 Bronze 125# Threaded NRS Thread Bonnet GATE,valve,GATE,3/4,,,BRONZE,,,125,,,,,THD,NON-RISING STEM,LEAD LAW COMPLIANT,0.9
96,Not For Potable Use 1 Bronze 125# Threaded Rising Stem GATE Valve,valve,gate,1,,,bronze,,,125,,,,,THD,rising stem,not for potable use,0.9
97,Not For Potable Use 1 Bronze 125# Threaded Rising Stem Union Bonnet GATE Valve,valve,gate,1,,,bronze,,,125,,,,,THD,rising stem union bonnet,not for potable use,0.9
98,Not For Potable Use 1/4 Bronze 125# Threaded Rising Stem Thread Bonnet GATE Valve,valve,gate,1/4,,,bronze,,,125,,,,,thd,rising stem,not for potable use,0.9
99,Not For Potable Use 1-1/2 Bronze 125# Threaded NRS GATE Valve,valve,GATE,1 1/2,,,BRONZE,,,125,,,,,THD,NON-RISING STEM,NOT FOR POTABLE USE,0.9
100,Not For Potable Use 1-1/2 Bronze 125# Threaded Rising Stem Thread Bonnet GATE,valve,gate,1 1/2,,,bronze,,,125,,,,,THD,rising stem,not for potable use,0.9
101,Not For Potable Use 1-1/4 Bronze 125# Threaded NRS GATE Valve,valve,gate,1 1/4,,,bronze,,,125,,,,,THD,non-rising stem,not for potable use,0.9
102,Not For Potable Use 2 Bronze 125# Threaded NRS GATE Valve,valve,gate,2,,,bronze,,,125,,,,,THD,non-rising stem,not for potable use,0.95
103,Not For Potable Use 2 Bronze 125# Threaded Rising Stem GATE Valve,valve,gate,2,,,bronze,,,125,,,,,THD,rising stem,not for potable use,0.9
104,Not For Potable Use 2-1/2 Bronze 125# Threaded NRS GATE Valve,valve,gate,2 1/2,,,bronze,,,125,,,,,THD,non-rising stem,not for potable use,0.9
105,Not For Potable Use 2-1/2 Bronze 125# Threaded Rising Stem GATE Valve,valve,gate,2 1/2,,,bronze,,,125,,,,,THD,rising stem,not for potable use,0.9
106,Not For Potable Use 3/4 Bronze 125# Sweat NRS GATE,valve,gate,3/4,,,bronze,,,125,,,,,sw,non-rising stem,not for potable use,0.9
107,"3/8"" 125# RISING STEM THREAD BONNET GATE VALVE BRONZE NOT FOR POTABLE USE THREADED",valve,gate,3/8,,,bronze,,,125,,,,,THD,rising stem,not for potable use,0.9
108,Not For Potable Use 1/4 Bronze 125# Threaded NRS GATE Valve,valve,GATE VALVE,1/4,,,BRONZE,,,125,,,,,THD,NON-RISING STEM,NOT FOR POTABLE USE,0.9
109,Not For Potable Use 1 Bronze 125# Threaded GLOBE,valve,globe,1,,,bronze,,,125,,,,,THD,,not for potable use,0.9
110,Not For Potable Use 1-1/2 Bronze 125# IPS GLOBE Valve,valve,globe,1 1/2,,,bronze,,,125,,,,,ips,,not for potable use,0.9
111,Not For Potable Use 2 Bronze 125# Threaded GLOBE Valve,valve,globe,2,,,bronze,,,125,,,,,THD,,not for potable use,0.9
112,2 Bronze 125# Threaded Swing Check Valve,valve,swing check,2,,,bronze,,,125,,,,,threaded,,,0.9
113,Lead Law Compliant 1 Bronze 125# Threaded Swing Check Valve,valve,SWING CHECK,1,,,BRONZE,,,125,,,,,THD,,LEAD LAW COMPLIANT,0.95
114,Lead Law Compliant 3/4 Bronze 125# Sweat Thread Bonnet Swing Check,valve,swing check,3/4,,,bronze,,,125,,,,,sweat,thread bonnet,lead law compliant,0.9
115,Not For Potable Use 1/4 Bronze 125# Threaded Swing Check Valve,valve,SWING CHECK,1/4,,,BRONZE,,,125,,,,,THD,,NOT FOR POTABLE USE,0.95
116,1 NOT FOR POTABLE USE 1 BRZ CLASS 125 NPT MESH WYE STRAINER,valve,WYE STRAINER,1,,,BRONZE,,,125,,,,,NPT,MESH,NOT FOR POTABLE USE,0.9
117,3 Black Cast Iron 125# Flange 90 Elbow,fitting,90 DEGREE ELBOW,3,,,CAST IRON,,,125,,,,,FLANGED,,BLACK,0.8
118,4 Black Cast Iron 125# Flange 90 Elbow,fitting,90 DEGREE ELBOW,4,,,CAST IRON,,,125,,,CAST,,FLANGE,,BLACK,0.8
119,8 Black Cast Iron 125# Flange 90 Elbow,fitting,90 DEGREE ELBOW,8,,,CAST IRON,,,125,,,CAST,,FLANGED,,BLACK,0.8
120,4 Black Cast Iron 125# 90 Elbow,fitting,90 ELBOW,4,,,CAST IRON,,,125,,,CAST,,,,BLACK,0.8
121,3 Cast Iron 125# Flanged BV,valve,ball,3,,,cast iron,,,125,,,cast,,flanged,,,0.85
122,4 Cast Iron 125# Flanged BV,valve,ball,4,,,cast iron,,,125,,,cast,,flanged,,,0.85
123,*CVR* GATE CL 125 A126B FLG ENDS,valve,GATE,,,,CAST IRON,A126,B,125,,,CAST,,FLANGED,,CVR,0.6
124,2 Cast Iron 125# Flanged Outside Stem & Yoke GATE Valve,valve,gate,2,,,cast iron,,,125,,,cast,,flanged,OS&Y,,0.9
125,3 Cast Iron 125# Flanged Outside Stem & Yoke GATE Valve,valve,gate,3,,,cast iron,,,125,,,cast,,flanged,OS&Y,,0.9
126,4 Cast Iron 125# Flanged Outside Stem & Yoke GATE,valve,gate,4,,,cast iron,,,125,,,cast,,flanged,OS&Y,,0.95
127,4 Cast Iron 125# Flanged Outside Stem & Yoke GATE Valve,valve,gate,4,,,cast iron,,,125,,,cast,,flanged,OS&Y,,0.9
128,Not For Potable Use 2-1/2 Cast Iron 125# Flanged Outside Stem & Yoke GATE Valve,valve,gate,2 1/2,,,cast iron,,,125,,,cast,,flanged,os&y,not for potable use,0.9
129,Not For Potable Use 3 Cast Iron 125# Flanged Outside Stem & Yoke GATE Valve,valve,gate,3,,,cast iron,,,125,,,,,flanged,os&y,not for potable use,0.9
130,Not For Potable Use 6 Cast Iron 125# Flanged Outside Stem & Yoke GATE Valve,valve,gate,6,,,cast iron,,,125,,,cast,,flanged,os&y,not for potable use,0.9
131,3 Cast Iron 125# Flanged GLOBE Valve,valve,GLOBE,3,,,CAST IRON,,,125,,,CAST,,FLANGED,,,0.9
132,Not For Potable Use 4 Cast Iron 125# Flanged Outside Stem & Yoke GLOBE Valve,valve,globe,4,,,cast iron,,,125,,,cast,,flanged,os&y,not for potable use,0.9
133,2 X 1-1/2 X 1/2 Black Cast Iron 125# Tee,fitting,TEE,2,1 1/2,,CAST IRON,,,125,,,CAST,,,,BLACK,0.85
134,4 Black Cast Iron 125# Flange Tee,fitting,TEE,4,,,CAST IRON,,,125,,,CAST,,FLANGE,,BLACK,0.85
135,2-1/2X3/4X2-1/2 Black Cast Iron 125# Tee,fitting,reducing_tee,2 1/2, 3/4,,cast_iron,,,125,,,cast,,,,black,0.9
136,2 Cast Iron 125# Flange Mesh Wye Strainer,valve,Y_STRAINER,2,,,CAST_IRON,,,125,,,CAST,,FLANGED,MESH,,0.85
137,Lead Law Compliant 3 Cast Iron 125# IPS Flanged Wye Strainer,valve,y_strainer,3,,,cast_iron,,,125,,,cast,,flanged,,lead law compliant iron pipe size,0.9
138,10 X 8 IPS SDR17 PC125 HDPE BF Reducer,fitting,REDUCER,10,8    ,,HDPE,,,125,SDR17,,,BF,,,IRON PIPE SIZE,0.9
139,12 X 10 IPS SDR17 PC125 HDPE BF Reducer,fitting,reducer,12,10    ,,HDPE,,,125,SDR17,,,BF,,,IRON PIPE SIZE,0.9
140,12 X 8 IPS SDR17 PC125 HDPE BF Reducer,fitting,reducer,12,8    ,,HDPE,,,125,SDR17,,,BF,,,IRON PIPE SIZE,0.9
141,16X12 IPS SDR17 PC125 HDPE RED FAB,pipe,reducing pipe,16,12    ,,HDPE,,,125,SDR17,,FAB,,,,IPS,0.85
142,26 IPS SDR17 PC125  BF FLG Adapter,fitting,FLANGE ADAPTER,26,,,IRON,,,125,SDR17,,,,BF,,IPS,0.85
143,2 AI 125# Threaded Rising Stem GATE Valve,valve,gate,2,,,iron,,,125,,,,,THD,rising stem,AI,0.85
144,12 X 10 IPS SDR17 PC125 Tee Fabricated,fitting,tee,12,10    ,,iron,,,125,SDR17,,fabricated,,,,IPS,0.85
145,12 X 3 IPS SDR17 PC125 Tee Fabricated,fitting,tee,12,3    ,,iron,,,125,SDR17,,fabricated,,,,IPS,0.8
146,14 X 12 IPS SDR17 PC125 Tee Fabricated,fitting,TEE,14,12    ,,IRON,,,125,SDR17,,FABRICATED,,,,IPS,0.85
147,16 X 10 IPS SDR17 PC125 Tee Fabricated,fitting,TEE,16,10    ,,IRON,,,125,SDR17,,FABRICATED,,,,IPS,0.85
148,18 X 3 IPS SDR17 PC125 Tee Fabricated,fitting,TEE,18,3    ,,IRON,,,125,SDR17,,FABRICATED,,,,,0.8
149,24 X 6 IPS SDR17 PC125 Tee Fabricated,fitting,TEE,24,6    ,,IRON,,,125,SDR17,,FABRICATED,,,,IPS,0.85
150,4 X 2 IPS SDR17 PC125 Tee Fabricated,fitting,tee,4,2    ,,iron,,,125,SDR17,,fabricated,,,,ips,0.85
151,6 X 2 IPS SDR17 PC125 Tee Fabricated,fitting,tee,6,2    ,,iron,,,125,SDR17,,fabricated,,,,IPS,0.85
152,10 IPS SDR17 PC125  SWEEP 90 Elbow,fitting,90 DEGREE ELBOW,10,,,,,,125,SDR17,,,,SW,,SWEEP,0.8
153,8 IPS SDR17 PC125  SWEEP 90 Elbow,fitting,90 DEGREE ELBOW,8,,,,,,125,SDR17,,,,SW,,SWEEP,0.85
154,10 IPS SDR17 PC125  BF FLG Adapter,fitting,FLANGE ADAPTER,10,,,,,,125,SDR17,,,,BF,,IRON PIPE SIZE,0.85
155,12 IPS SDR17 PC125  BF FLG Adapter,fitting,FLANGE ADAPTER,12,,,,,,125,SDR17,,,,BF,,IPS,0.8
156,14 IPS SDR17 PC125  BF FLG Adapter,fitting,FLANGE ADAPTER,14,,,,,,125,SDR17,,,,BF,,IRON PIPE SIZE,0.85
157,16 IPS SDR17 PC125  BF FLG Adapter,fitting,FLANGE ADAPTER,16,,,,,,125,SDR17,,,,BF,,IRON PIPE SIZE,0.8
158,18 IPS SDR17 PC125  BF FLG Adapter,fitting,FLANGE ADAPTER,18,,,,,,125,SDR17,,,,BF,,IRON PIPE SIZE,0.85
159,24 IPS SDR17 PC125  BF FLG Adapter,flange,FLANGE ADAPTER,24,,,,,,125,SDR17,,,,BF,,IRON PIPE SIZE,0.85
160,3 IPS SDR17 PC125 BF FLG Adapter,fitting,FLANGE ADAPTER,3,,,,,,125,SDR17,,,,BF,,IRON PIPE SIZE,0.85
161,30 IPS SDR17 PC125 BF FLG Adapter,fitting,FLANGE ADAPTER,30,,,,,,125,SDR17,,,,BF,,IRON PIPE SIZE,0.8
162,6 IPS SDR17 PC125 BF FLG Adapter,fitting,FLANGE ADAPTER,6,,,,,,125,SDR17,,,,,,BF,0.8
163,8 IPS SDR17 PC125 BF FLG Adapter,fitting,FLANGE ADAPTER,8,,,,,,125,SDR17,,,,,,BF,0.8
164,1-1/2 AI 125# Flanged Rising Stem GATE Valve,valve,gate,1 1/2,,,,,,125,,,,,flanged,rising stem,ai,0.85
165,2 NI 125# Flanged Outside Stem & Yoke GATE Valve,valve,gate,2,,,,,,125,,,,,flanged,ni,os&y,0.85
166,2-1/2 NI 125# Flanged Outside Stem & Yoke GATE Valve,valve,gate,2 1/2,,,,,,125,,,,,flanged,ni,os&y,0.85
167,1 AI 125# Flanged Rising Stem GATE Valve,valve,GATE VALVE,1,,,,,,125,,,,,FLANGED,RISING STEM,AI,0.85
168,14 X 10 IPS SDR17 PC125 Reducer Fabricated,fitting,reducer,14,10    ,,,,,125,SDR17,SDR17,fabricated,,,,iron pipe size,0.8
169,14 X 12 IPS SDR17 PC125 Reducer Fabricated,fitting,REDUCER,14,12    ,,,,,125,SDR17,,FABRICATED,,,,IRON PIPE SIZE,0.85
170,16 X 14 IPS SDR17 PC125 Reducer Fabricated,fitting,reducer,16,14    ,,,,,125,SDR17,SDR17,fabricated,,,,iron pipe size,0.85
171,20 X 18 IPS SDR17 PC125 Reducer Fabricated,fitting,REDUCER,20,18    ,,,,,125,SDR17,,FABRICATED,,,,IRON PIPE SIZE,0.85
172,24 X 20 IPS SDR17 PC125 Reducer Fabricated,fitting,reducer,24,20    ,,,,,125,SDR17,SDR17,fabricated,,,,IPS,0.85
173,18 X 8 IPS SDR17 PC125 Tee Fabricated,fitting,reducing tee,18,8    ,,,,,125,SDR17,,fabricated,,,,iron pipe size,0.8
174,10 X 3 IPS SDR17 PC125 Tee Fabricated,fitting,tee,10,3    ,,,,,125,SDR17,,fabricated,,,,iron pipe size,0.8
175,10 X 4 IPS SDR17 PC125 Tee Fabricated,fitting,tee,10,4    ,,,,,125,SDR17,,fabricated,,,,iron pipe size,0.8
176,10 X 8 IPS SDR17 PC125 Tee Fabricated,fitting,TEE,10,8    ,,,,,125,SDR17,,FABRICATED,,,,IRON PIPE SIZE,0.8
