,i,start_time,gt_desc,inc_rfq_raw,inc_rfq,category,type,primary_size,reducing_size,length,material_name,material_specification,material_grade,pressure_class,primary_schedule,reducing_schedule,manufacturing_process,end_finish,end_connections,,miscellaneous,confidence,original_text
10,196,772.4443915,"6"" XH .432w BLK SA53B/SA106-B/C SEAMLESS PIPE (SPAIN)","6-XA106BS-PIPE,SMLS,6,XH (S80)-SA-106B","6-XA106BS-PIPE,SMLS,6,XH (S80)-SA-106B",pipe,seamless_pipe,6.0,,,carbon_steel,A106,B,,XH,,SMLS,,,,,0.9,"6-XA106BS-PIPE,SMLS,6,XH (S80)-SA-106B"
11,272,778.5781791,"6"" S-120LR 45°WELD ELL, SA234-WPB","15000222-ELBOW,LR45,6,S120-SA-234-WPB","15000222-ELBOW,LR45,6,S120-SA-234-WPB",fitting,long_radius_45_elbow,6.0,,,carbon_steel,SA234,WPB,,120,,,,,,,0.9,"15000222-ELBOW,LR45,6,S120-SA-234-WPB"
12,1004,785.4847702,"10"" 300# RF LONG WELD NECK x 14"" LG, SA105","FLG,LWN,RF,10,300#,13""LG-FLG,LWN,RF,10,300#,13""LG","FLG,LWN,RF,10,300 ,13 INCHLG-FLG,LWN,RF,10,300 ,13 INCHLG",flange,weld_neck,10.0,,13.0,,,,300,,,,raised_face,,,,0.8,"FLG,LWN,RF,10,300 ,13 INCHLG-FLG,LWN,RF,10,300 ,13 INCHLG"
13,252,789.1584955,"6"" STD .280w API-5L X52/SA333 GR 6/SA106B SEAMLESS PIPE","6"" Sch 40 A106B smls","6"" SCH 40 A106B SMLS",pipe,smls_pipe,6.0,,,carbon_steel,A106,B,,40,,smls,,,,,1.0,"6"" SCH 40 A106B SMLS"
14,894,793.939348,"14"" S-100 .938W SA106-B SEAMLESS PIPE","12700363-PIPE,SMLS,14,S100-SA-106B","12700363-PIPE,SMLS,14,S100-SA-106B",pipe,seamless_pipe,14.0,,,carbon_steel,SA-106,B,,S100,,seamless,,,,,0.9,"12700363-PIPE,SMLS,14,S100-SA-106B"
15,1126,798.1041557,"1"" 300# RF SOCKET WELD FLANGE XH BORE, SA105","1"" 300# RFSW Flange S/80 Bore A/SA105","1"" 300 RFSW FLANGE S/80 BORE A/SA105",flange,socket_weld,1.0,,,carbon_steel,A105,,300,80,,,raised_face,socket_weld,,bore,0.9,"1"" 300 RFSW FLANGE S/80 BORE A/SA105"
16,22,802.8736089,"8"" X 6"" S10 ECCENTRIC WELD REDUCER, A403 WP304/304L","887520 RED#ECC,WELD,8X6*SCH10S/SCH10S,ASTM A403","887520 RED ECC,WELD,8X6*SCH10S/SCH10S,ASTM A403",fitting,eccentric_reducer,8.0,6.0,,stainless_steel,A403,,,10S,10S,,,BW,,,0.9,"887520 RED ECC,WELD,8X6*SCH10S/SCH10S,ASTM A403"
17,694,806.5521159,"3"" S10 .120"" Wall SEAMLESS PIPE SA312-TP-304Lss","3"" S/10 Smls or Welded Pipe x SRL A/SA312-TP304","3"" S/10 SMLS OR WELDED PIPE X SRL A/SA312-TP304",pipe,pipe,3.0,,,stainless_steel,A312,TP304,,10,,smls_or_welded,,,,SRL,0.9,"3"" S/10 SMLS OR WELDED PIPE X SRL A/SA312-TP304"
18,556,811.2388342,"4"" 300# RF WELD NECK FLANGE STD BORE, SA105","4-300RFWNS-FLG,WN,RF,4,300#,STD (S40)","4-300RFWNS-FLG,WN,RF,4,300 ,STD (S40)",flange,weld_neck,4.0,,,,,,300,STD,,,raised_face,,,,0.9,"4-300RFWNS-FLG,WN,RF,4,300 ,STD (S40)"
19,642,816.1982619,"3"" XH .300W ASTM/ASME/SA53B/API5L/X42/SA106B/C SEAMLESS PIPE","3-XA106BS-PIPE,SMLS,3,XH(S80)-SA-106B","3-XA106BS-PIPE,SMLS,3,XH(S80)-SA-106B",pipe,seamless_pipe,3.0,,,carbon_steel,A106,B,,80,,seamless,,,,,0.9,"3-XA106BS-PIPE,SMLS,3,XH(S80)-SA-106B"
20,548,820.1508577,"4"" 600# RF BLIND FLANGE, SA105N-FGP/SA350-LF2 CL1/A694F42","4"" 600# A-105 Blind","4"" 600 A-105 BLIND",flange,blind,4.0,,,carbon_steel,A105,,600,,,,,,,,0.9,"4"" 600 A-105 BLIND"
21,664,823.8073538,"3"" STD .216W BLK QUAD STENCILED PSL2 SA53-B/API5L/B/X42 SA106B/C SEAMLESS PIPE","3"" Sch. Std. Pipe scarfed to suit 3"" NPS OD A106 Gr. B","3"" SCH. STD. PIPE SCARFED TO SUIT 3"" NPS OD A106 GR. B",pipe,pipe,3.0,,,carbon_steel,A106,B,,standard,,scarfed,,,,"scarfed to suit 3"" NPS OD",0.9,"3"" SCH. STD. PIPE SCARFED TO SUIT 3"" NPS OD A106 GR. B"
22,942,828.6972085,"1-1/2"" S-160 .281W BLK API-5L/X42/SA106-B SEAMLESS PIPE","1-.5-160-PIPE,SMLS,1 1/2,S160","1-.5-160-PIPE,SMLS,1.5,S160",pipe,smls,1.5,,,,,,,160,,seamless,,,,,0.7,"1-.5-160-PIPE,SMLS,1.5,S160"
23,634,832.6403563,"3"" XH .300W BLK SA53-B/ SA106-B/C SEAMLESS PIPE (SPAIN)","3"" - SCH 160 A53 - B - A106B SMLS- SRL PIPE","3"" - SCH 160 A53 - B - A106B SMLS- SRL PIPE",pipe,seamless_pipe,3.0,,,carbon_steel,A53/A106,B,,160,,seamless,,,,SRL,0.9,"3"" - SCH 160 A53 - B - A106B SMLS- SRL PIPE"
24,154,836.6964483,"8"" 150# RF WELD NECK FLANGE XH BORE, SA105N-FGP","11100825-FLG,WN,RF,8,300#,XH (S80)-SA-105N","11100825-FLG,WN,RF,8,300 ,XH (S80)-SA-105N",flange,weld_neck,8.0,,,carbon_steel,A105,N,300,XH,,,raised_face,,,,0.9,"11100825-FLG,WN,RF,8,300 ,XH (S80)-SA-105N"
25,958,840.6183314,"10"" XH .500W SA106-B SEAMLESS PIPE","12700315-PIPE,SMLS,10,XH (S60)-SA-106B","12700315-PIPE,SMLS,10,XH (S60)-SA-106B",pipe,seamless,10.0,,,carbon_steel,SA-106,B,,XH,,seamless,,,,,0.9,"12700315-PIPE,SMLS,10,XH (S60)-SA-106B"
26,156,847.224589,"8"" 150# RF WELD NECK FLANGE STD BORE, SA105N-FGP","11101079-FLG,WN,RF,8,300#,S100-SA-105N","11101079-FLG,WN,RF,8,300 ,S100-SA-105N",flange,weld_neck,8.0,,,carbon_steel,A105,N,300,,,,raised_face,,,S100,1.0,"11101079-FLG,WN,RF,8,300 ,S100-SA-105N"
27,820,851.3755419,"2"" 600# RF WELD NECK FLANGE S-160 BORE, SA105N-FGP","11100639-FLG,WN,RF,2,600#,S160-SA-105N","11100639-FLG,WN,RF,2,600 ,S160-SA-105N",flange,weld_neck,2.0,,,carbon_steel,A105,N,600,160,,,raised_face,,,,1.0,"11100639-FLG,WN,RF,2,600 ,S160-SA-105N"
28,758,857.9728971,"20"" S-80 1.031W BLK SA106-B SEAMLESS PIPE","12700464-PIPE,SMLS,20,S80-SA-106B","12700464-PIPE,SMLS,20,S80-SA-106B",pipe,seamless_pipe,20.0,,,carbon_steel,A106,B,,80,,seamless,,,,,0.9,"12700464-PIPE,SMLS,20,S80-SA-106B"
29,226,862.2982005,"6"" STD LR 90° WELD ELL, SA403-WP304L","H31943 EL6,90,LR,WLD,S40S,ASTM A403 GRWP304/304L","H31943 EL6,90,LR,WLD,S40S,ASTM A403 GRWP1.0L",fitting,90_degree_long_radius_elbow,6.0,,,stainless_steel,ASTM A403,WP1.0L,,40S,,WLD,,,,,0.9,"H31943 EL6,90,LR,WLD,S40S,ASTM A403 GRWP1.0L"
30,902,868.0913584,"12"" XH .500W BLK ASTM/ASME/SA53B/API5L/X42/SA106B/C SEAMLESS PIPE","12700335-PIPE,SMLS,12,XH-SA-106B","12700335-PIPE,SMLS,12,XH-SA-106B",pipe,seamless,12.0,,,carbon_steel,A106,B,,extra_heavy,,seamless,,,,,0.9,"12700335-PIPE,SMLS,12,XH-SA-106B"
31,338,873.0488797,"6"" 300# RF WN FLG XXH BORE, SA105N/FGP","11100817-FLG,WN,RF,6,300#,XXH-SA-105","11100817-FLG,WN,RF,6,300 ,XXH-SA-105",flange,weld_neck,6.0,,,carbon_steel,A105,,300,XXH,,,raised_face,,,,1.0,"11100817-FLG,WN,RF,6,300 ,XXH-SA-105"
32,580,878.7459207,"36"" - 3/4"" x 1/2"" 3000# FS THREADED FLEX-O-LET, SA182-F304L","XF0748 TOL,8X.5,CL3000,MSS SP-97,ASTM A182 GR.F304/304L","XF0748 TOL,8X.5,CL3000,MSS SP-97,ASTM A182 GR.F1.0L",fitting,threadolet,8.0,0.5,,stainless_steel,A182,F1.0L,3000,,,,,threaded,,MSS SP-97,0.9,"XF0748 TOL,8X.5,CL3000,MSS SP-97,ASTM A182 GR.F1.0L"
33,552,882.700663,"4"" 600# RF BLIND FLANGE, SA105N","4"" 600# A-105 Blind","4"" 600 A-105 BLIND",flange,blind,4.0,,,carbon_steel,A105,,600,,,,,,,,0.9,"4"" 600 A-105 BLIND"
34,918,887.769788,"1-1/2"" XXH .400W BLK SA106-B SEAMLESS PIPE","1-.5-XXA106BS-PIPE,SMLS,1 1/2,XXH","1-.5-XXA106BS-PIPE,SMLS,1.5,XXH",pipe,seamless,1.5,,,carbon_steel,A106,B,,XXH,,SMLS,,,,,0.9,"1-.5-XXA106BS-PIPE,SMLS,1.5,XXH"
35,522,890.9480844,"4"" 600# RF WELD NECK FLANGE XXH BORE, SA105N","11100758-FLG,WN,RF,4,600#,XXH-SA105N","11100758-FLG,WN,RF,4,600 ,XXH-SA105N",flange,weld_neck,4.0,,,carbon_steel,A105,N,600,XXH,,,raised_face,,,,1.0,"11100758-FLG,WN,RF,4,600 ,XXH-SA105N"
36,612,894.5164538,"3/4"" 3000# FS THREADED ROUND HEAD PLUG, SA182-F304/L","HL6846 ROUND HEAD PLUG,NPT .75,ASTM A182 GR F304/304L","HL6846 ROUND HEAD PLUG,NPT .75,ASTM A182 GR F1.0L",fitting,threaded_plug,0.75,,,stainless_steel,A182,F1.0L,,,,,round_head,THD,,,0.8,"HL6846 ROUND HEAD PLUG,NPT .75,ASTM A182 GR F1.0L"
37,112,898.7274215,"8"" S-10 .148W SEAMLESS PIPE, SA312 TP304/L","887483 PI8-10S,ASTM,A312,TP304L","887483 PI8-10S,ASTM,A312,TP304L",pipe,pipe,8.0,,10.0,stainless_steel,A312,TP304L,,,,,,,,,0.9,"887483 PI8-10S,ASTM,A312,TP304L"
38,472,901.8726858,"4"" S-160 LR 90° WELD ELL, SA234-WPB","15000391-ELBOW,LR90,4,S160-SA-234-WPB","15000391-ELBOW,LR90,4,S160-SA-234-WPB",fitting,long_radius_90_elbow,4.0,,,carbon_steel,A234,WPB,,160,,,,,,,0.9,"15000391-ELBOW,LR90,4,S160-SA-234-WPB"
39,734,907.4806767,"24"" S-30 .562W BLK SA106-B SEAMLESS PIPE","12700487-PIPE,SMLS,24,S30 Gr C-SA-106C","12700487-PIPE,SMLS,24,S30 GR C-SA-106C",pipe,seamless,24.0,,,carbon_steel,A106,C,,S30,,seamless,,,,,0.9,"12700487-PIPE,SMLS,24,S30 GR C-SA-106C"
40,214,911.1232888,"6"" X 4"" STD ECCENTRIC REDUCER, SA403 WP304/304L","H31984 RED#ECC.-WELD.6X4*SCH40S/SCH40S,ASTM A403","H31984 RED ECC.-WELD.6X4*SCH40S/SCH40S,ASTM A403",fitting,eccentric_reducer,6.0,4.0,,stainless_steel,A403,,,40S,40S,welded,,BW,,,0.9,"H31984 RED ECC.-WELD.6X4*SCH40S/SCH40S,ASTM A403"
41,216,916.7267651,"6"" X 4"" STD CONCENTRIC WELD REDUCER, SA403 304/304L","H32016 RED#CON.-WELD.6X4*SCH40S/SCH40S,ASTM A403","H32016 RED CON.-WELD.6X4*SCH40S/SCH40S,ASTM A403",fitting,concentric_reducer,6.0,4.0,,stainless_steel,A403,,,40S,40S,welded,,BW,,,0.9,"H32016 RED CON.-WELD.6X4*SCH40S/SCH40S,ASTM A403"
42,1132,920.7697255,"1"" 150# RF WELD NECK FLANGE STD BORE, SA182-F304H","H23242 FL1.5,150,WN,RF,S40S,A-182-F304H","H23242 FL1.5,150,WN,RF,S40S,A-182-F304H",flange,weld_neck,1.5,,,stainless_steel,A182,F304H,150,40S,,,raised_face,,,,1.0,"H23242 FL1.5,150,WN,RF,S40S,A-182-F304H"
43,96,924.7408957,"8"" S-10S .148W WELDED SA312 TP304/304L","H05617 PI8-S10S,WLD,ASTM A312TP304/304L","H05617 PI8-S10S,WLD,ASTM A312TP1.0L",pipe,welded,8.0,,,stainless_steel,A312,TP316L,,S10,,welded,,,,,0.8,"H05617 PI8-S10S,WLD,ASTM A312TP1.0L"
44,332,928.3371048,"6"" 600# RF WELD NECK FLANGE S-120 BORE, SA105N-FGP","11100805-FLG,WN,RF,6,600#,S120-SA-105N","11100805-FLG,WN,RF,6,600 ,S120-SA-105N",flange,weld_neck,6.0,,,carbon_steel,A105,N,600,120,,,raised_face,,,,1.0,"11100805-FLG,WN,RF,6,600 ,S120-SA-105N"
45,1030,932.313652,"10"" 150# RF BLIND FLANGE, SA105N-FGP","10-150RFBL-FLG,BL,RF,10,150#-SA-105","10-150RFBL-FLG,BL,RF,10,150 -SA-105",flange,blind,10.0,,,carbon_steel,A105,,150,,,,raised_face,,,,1.0,"10-150RFBL-FLG,BL,RF,10,150 -SA-105"
46,424,937.6259254,"4"" x 3"" STD CONCENTRIC WELD REDUCER, SA234-WPB","3"" X 4"" Sch. Std Wall Concentric Reducer A234 Fr. WPB","3"" X 4"" SCH. STD WALL CONCENTRIC REDUCER A234 FR. WPB",fitting,concentric_reducer,3.0,4.0,,carbon_steel,A234,WPB,,standard,,,,,,,0.9,"3"" X 4"" SCH. STD WALL CONCENTRIC REDUCER A234 FR. WPB"
47,812,942.4788663,"2"" 600# RF WELD NECK FLANGE XXH BORE, SA105N","2"" XXS 600# RF A105 WN B16.5 FLANGES","2"" XXS 600 RF A105 WN B16.5 FLANGES",flange,weld_neck,2.0,,,carbon_steel,A105,,600,XXS,,,raised_face,,,B16.5,1.0,"2"" XXS 600 RF A105 WN B16.5 FLANGES"
48,1002,946.5684526,"10"" 300# RF LONG WELD NECK x 14"" LG, SA105N-FGP/SA350LF2-FGP","FLG,LWN,RF,10,300#,13""LG-FLG,LWN,RF,10,300#,13""LG-SA-105N","FLG,LWN,RF,10,300 ,13 INCHLG-FLG,LWN,RF,10,300 ,13 INCHLG-SA-105N",flange,weld_neck,10.0,,13.0,carbon_steel,A105,N,300,,,,raised_face,,,,0.9,"FLG,LWN,RF,10,300 ,13 INCHLG-FLG,LWN,RF,10,300 ,13 INCHLG-SA-105N"
49,38,955.3349561,"8"" STD WELD TEE, SA234-WPB (VIETNAM)","933798 TEE STR, SMLS,8 X 8 * STD/STD, ASTM A234 GR,WPB","933798 TEE STR, SMLS,8 X 8 * STD/STD, ASTM A234 GR,WPB",fitting,straight_tee,8.0,8.0,,carbon_steel,A234,WPB,,standard,standard,seamless,,,,,0.9,"933798 TEE STR, SMLS,8 X 8 * STD/STD, ASTM A234 GR,WPB"
50,222,959.3419763,"6"" STD SR 90° WELD ELL, SA403-WP304L","J75513 EL6,90,SR,SCH40S,SMLS,ASTM A403 GR.WP304L","J75513 EL6,90,SR,SCH40S,SMLS,ASTM A403 GR.WP304L",fitting,90_degree_elbow_sr,6.0,,,stainless_steel,ASTM A403,WP304L,,40S,,SMLS,,,,,1.0,"J75513 EL6,90,SR,SCH40S,SMLS,ASTM A403 GR.WP304L"
51,870,966.3961694,"18"" 150# RF WELD NECK FLANGE STD BORE, SA350-LF2 CL1","18"" 300# RFWN Flange S/60 Bore A/SA350-LF2 Cl. 1","18"" 300 RFWN FLANGE S/60 BORE A/SA350-LF2 CL. 1",flange,weld_neck,18.0,,,carbon_steel,A350,LF2,300,60,,,raised_face,,,CL. 1,1.0,"18"" 300 RFWN FLANGE S/60 BORE A/SA350-LF2 CL. 1"
52,0,973.7441134,"8"" XH LR 45°WELD ELL, SA234-WPB","8-LR45X-ELBOW,LR45,8,XH","8-LR45X-ELBOW,LR45,8,XH",fitting,long_radius_45_elbow,8.0,,,,,,,extra_heavy,,,,,,,0.8,"8-LR45X-ELBOW,LR45,8,XH"
53,48,977.1199315,"8"" STD .322WAPI-5L GR-B/X42/SA53-B ERW PIPE","STD wall ASTM A53 gr. A or B Type F 8""","STD WALL ASTM A53 GR. A OR B TYPE F 8""",pipe,pipe,8.0,,,carbon_steel,A53,A/B,,standard,,type_f,,,,,0.9,"STD WALL ASTM A53 GR. A OR B TYPE F 8"""
54,1088,983.2327408,"1"" STD LR 45° WELD ELL, A403 WP304/304L","H23245 EL1,45,LR,S/40S,A403,GR.WP304L","H23245 EL1,45,LR,S/40S,A403,GR.WP304L",fitting,long_radius_45_elbow,1.0,,,stainless_steel,A403,WP304L,,40S,,,,,,,0.9,"H23245 EL1,45,LR,S/40S,A403,GR.WP304L"
55,774,989.5702739,"20"" 600# RF BLIND FLANGE, SA105N","11100114-FLG,BL,RF,20"",600#-SA-105N (NORMALIZED)","11100114-FLG,BL,RF,20"",600 -SA-105N (NORMALIZED)",flange,blind,20.0,,,carbon_steel,A105,N,600,,,normalized,raised_face,,,,1.0,"11100114-FLG,BL,RF,20"",600 -SA-105N (NORMALIZED)"
56,782,993.256544,"2"" XXH LR 90° WELD ELL, SA234-WPB","2"" XXS LR WN 90 DEG. A234WPB","2"" XXS LR WN 90 DEG. A234WPB",fitting,long_radius_90_elbow,2.0,,,carbon_steel,A234,WPB,,XXS,,,,,,weld_neck,0.9,"2"" XXS LR WN 90 DEG. A234WPB"
57,772,999.4402472,"20"" S-10 .250w API5L/X42/SA53-B ERW PIPE","12700032-PIPE,ERW,20,S10-SA-53B","12700032-PIPE,ERW,20,S10-SA-53B",pipe,erw_pipe,20.0,,,carbon_steel,A53,B,,10,,erw,,,,,0.9,"12700032-PIPE,ERW,20,S10-SA-53B"
58,218,1004.7158558,"6"" X 4"" S10 CONCENTRIC WELD REDUCER, SA403 304/304L","H30452 FL6,150,WN,RF,S10S,ASTM A182,GR. F304/304L","H30452 FL6,150,WN,RF,S10S,ASTM A182,GR. F1.0L",flange,weld_neck,6.0,,,stainless_steel,ASTM A182,F1.0L,150,10S,,,raised_face,,,,1.0,"H30452 FL6,150,WN,RF,S10S,ASTM A182,GR. F1.0L"
59,232,1010.9346662,"6"" STD .280W BLK SA53-B/SA106-B/C SEAMLESS PIPE (SPAIN)","STD wall ASTM A53 gr. A or B Type F 6""","STD WALL ASTM A53 GR. A OR B TYPE F 6""",pipe,pipe,6.0,,,carbon_steel,A53,A/B,,standard,,type_f,,,,,0.9,"STD WALL ASTM A53 GR. A OR B TYPE F 6"""
60,966,1016.3481739,"10"" x 8"" 80S (.500W)CONCENTRIC WELD REDUCER, 316/L","QV2438 RE#CONC.SMLS.10X8,SCH80S/SCH80S,ASTM A403","QV2438 RE CONC.SMLS.10X8,SCH80S/SCH80S,ASTM A403",fitting,concentric_reducer,10.0,8.0,,stainless_steel,A403,,,80S,80S,seamless,,,,,0.9,"QV2438 RE CONC.SMLS.10X8,SCH80S/SCH80S,ASTM A403"
61,294,1020.7934549,"6"" 900# RF WELD NECK FLANGE XH BORE, SA105N FGP","111008090-FLG,WN,RF,6,900#,XH (S80)-SA-105","111008090-FLG,WN,RF,6,900 ,XH (S80)-SA-105",flange,weld_neck,6.0,,,carbon_steel,A105,,900,XH,,,raised_face,,,,0.9,"111008090-FLG,WN,RF,6,900 ,XH (S80)-SA-105"
62,68,1025.8575274,"8"" STD .322W ASTM/ASME/SA53B/API5L/X42/SA106B/C SEAMLESS PIPE","933793 PIPE,8"", STD,SMLS,ASTM A106 GR.B","933793 PIPE,8"", STD,SMLS,ASTM A106 GR.B",pipe,smls_pipe,8.0,,,carbon_steel,A106,B,,standard,,seamless,,,,,0.9,"933793 PIPE,8"", STD,SMLS,ASTM A106 GR.B"
63,1040,1030.8708664,"1/4"" STD .088W BLK SA106-B SEAMLESS PIPE","1/4"" std A106B min smls or welded","0.25"" STD A106B MIN SMLS OR WELDED",pipe,pipe,0.25,,,carbon_steel,A106,B,,standard,,smls_or_welded,,,,MIN,0.9,"0.25"" STD A106B MIN SMLS OR WELDED"
64,486,1035.5308855,"4"" S-120 LR 90° WELD ELL, SA234-WPB","15000392-ELBOW,LR90,4,S120","15000392-ELBOW,LR90,4,S120",fitting,lr_90_elbow,4.0,,,,,,,120,,,,,,,0.8,"15000392-ELBOW,LR90,4,S120"
65,1000,1039.5073305,"10"" 600# RF WELD NECK FLANGE XH BORE, SA105N","11100576-FLG,WN,RF,10,600#,XH (S60)-SA-105","11100576-FLG,WN,RF,10,600 ,XH (S60)-SA-105",flange,weld_neck,10.0,,,carbon_steel,A105,,600,extra_heavy,,,raised_face,,,,0.9,"11100576-FLG,WN,RF,10,600 ,XH (S60)-SA-105"
66,744,1043.9904467,"22"" XH .500W SA106-B/C API5L/X42 SEAMLESS PIPE","12700485-PIPE,SMLS,22,S30 (XH)","12700485-PIPE,SMLS,22,S30 (XH)",pipe,smls_pipe,22.0,,,,S30,,,XH,,seamless,,,,,0.8,"12700485-PIPE,SMLS,22,S30 (XH)"
67,118,1048.3160699,"8"" 600# RF WELD NECK FLANGE XH BORE, SA105N","11100833-FLG,WN,RF,8,600#,XH (S80)-SA-105N","11100833-FLG,WN,RF,8,600 ,XH (S80)-SA-105N",flange,weld_neck,8.0,,,carbon_steel,A105,N,600,extra_heavy,,,raised_face,,,,1.0,"11100833-FLG,WN,RF,8,600 ,XH (S80)-SA-105N"
68,490,1054.1175871,"4"" S-120 .438W BLK SA53-B/ SA106-B/CSEAMLESS PIPE (SPAIN)","12700565-PIPE,SMLS,4,S120-SA-106B","12700565-PIPE,SMLS,4,S120-SA-106B",pipe,seamless_pipe,4.0,,,carbon_steel,A106,B,,120,,seamless,,,,,0.9,"12700565-PIPE,SMLS,4,S120-SA-106B"
69,1016,1058.0573937,"10"" 150# RF WELD NECK FLANGE S-80 BORE, SA105N-FGP/LF2","10-150RFWNS-FLG,WN,RF,10,150#,STD-SA-105","10-150RFWNS-FLG,WN,RF,10,150 ,STD-SA-105",flange,weld_neck,10.0,,,carbon_steel,A105,,150,standard,,,raised_face,,,,0.9,"10-150RFWNS-FLG,WN,RF,10,150 ,STD-SA-105"
70,360,1062.5050613,"6"" 150# RF WELD NECK FLANGE XH BORE, SA105N-FGP","11100786-FLG,WN,RF,6,150#,XH (S80)-SA-105N","11100786-FLG,WN,RF,6,150 ,XH (S80)-SA-105N",flange,weld_neck,6.0,,,carbon_steel,A105,N,150,XH,,,raised_face,,,,0.9,"11100786-FLG,WN,RF,6,150 ,XH (S80)-SA-105N"
71,992,1067.5474406,"10"" S-160 1.125W SA106-B SEAMLESS PIPE","12700321-PIPE,SMLS,10,S160-SA-106B","12700321-PIPE,SMLS,10,S160-SA-106B",pipe,seamless_pipe,10.0,,,carbon_steel,SA106,B,,160,,seamless,,,,,0.9,"12700321-PIPE,SMLS,10,S160-SA-106B"
72,816,1071.5068084,"2"" 600# RF WELD NECK FLANGE S-160 BORE, SA105N-FGP","11100639-FLG,WN,RF,2,600#,S160","11100639-FLG,WN,RF,2,600 ,S160",flange,weld_neck,2.0,,,carbon_steel,,S160,600,,,,raised_face,,,,0.9,"11100639-FLG,WN,RF,2,600 ,S160"
73,760,1077.6755168,"20"" S-80 1.031W BLK SA106-B SEAMLESS PIPE","12700464-PIPE,SMLS,20,S80","12700464-PIPE,SMLS,20,S80",pipe,seamless_pipe,20.0,,,,,,,80,,seamless,,,,,0.8,"12700464-PIPE,SMLS,20,S80"
